epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dad,0.0001,32,3,5,transformer,imdb,8,10,0.5961131453514099,600.035400390625,0.5749,0.50012,0.0,0.7316863536834717,568.8748779296875,0.5951,0.50484,0.0,0.50128,0.6289647221565247,0.50068,0.6408874988555908,0.0,0.0,0.0,0
1,dad,0.0001,32,3,5,transformer,imdb,8,10,0.57337486743927,481.7822265625,0.667,0.65624,0.0,0.5978538990020752,525.208740234375,0.6713,0.57364,0.0,0.66396,0.6665453314781189,0.67076,0.6976226568222046,0.0,0.0,0.0,0
2,dad,0.0001,32,3,5,transformer,imdb,8,10,0.4738158881664276,464.3470153808594,0.7453,0.67468,0.0,0.48740383982658386,445.7036437988281,0.7486,0.7062,0.0,0.6902,0.5894790887832642,0.70244,0.5811083614826202,0.0,0.0,0.0,0
3,dad,0.0001,32,3,5,transformer,imdb,8,10,0.40955376625061035,434.41339111328125,0.798,0.71264,0.0,0.4860038459300995,425.6355895996094,0.795,0.72044,0.0,0.71616,0.591539204120636,0.72536,0.5789019167423248,0.0,0.0,0.0,0
4,dad,0.0001,32,3,5,transformer,imdb,8,10,0.3020206093788147,429.36663818359375,0.8288,0.71644,0.0,0.2721320688724518,426.177490234375,0.8332,0.71964,0.0,0.71144,0.6015585660934448,0.7262,0.6058670580387115,0.0,0.0,0.0,0
5,dad,0.0001,32,3,5,transformer,imdb,8,10,0.5059248805046082,410.0276794433594,0.8589,0.7322,0.0,0.24394771456718445,407.6865539550781,0.8574,0.73772,0.0,0.73088,0.4310193955898285,0.74352,0.4240133762359619,0.0,0.0,0.0,0
6,dad,0.0001,32,3,5,transformer,imdb,8,10,0.43367648124694824,412.2196350097656,0.8819,0.73224,0.0,0.29005885124206543,420.1253356933594,0.8875,0.7298,0.0,0.72268,0.539484977722168,0.7394,0.552216649055481,0.0,0.0,0.0,0
7,dad,0.0001,32,3,5,transformer,imdb,8,10,0.2934848368167877,455.76708984375,0.9101,0.7048,0.0,0.38373151421546936,387.33544921875,0.9062,0.75496,0.0,0.72828,0.3636435568332672,0.74532,0.40282613039016724,0.0,0.0,0.0,0
8,dad,0.0001,32,3,5,transformer,imdb,8,10,0.25078269839286804,400.7899169921875,0.9262,0.7466,0.0,0.23059706389904022,387.9352722167969,0.9243,0.75484,0.0,0.7584,0.40929901599884033,0.77152,0.4483973830938339,0.0,0.0,0.0,0
9,dad,0.0001,32,3,5,transformer,imdb,8,10,0.16447538137435913,405.00946044921875,0.9485,0.7464,0.0,0.27211886644363403,405.38446044921875,0.9399,0.74848,0.0,0.74188,0.6408580541610718,0.758,0.6324423551559448,0.0,0.0,0.0,0
10,dad,0.0001,32,3,5,transformer,imdb,8,10,0.21787941455841064,389.2378234863281,0.9635,0.75692,0.0,0.17175647616386414,381.9700012207031,0.9607,0.76344,0.0,0.76236,0.5131676197052002,0.77728,0.5300388932228088,0.0,0.0,0.0,0
11,dad,0.0001,32,3,5,transformer,imdb,8,10,0.08589452505111694,389.767333984375,0.9754,0.76132,0.0,0.16721683740615845,395.53265380859375,0.9748,0.75968,0.0,0.7548,0.2798534035682678,0.772,0.27830642461776733,0.0,0.0,0.0,0
12,dad,0.0001,32,3,5,transformer,imdb,8,10,0.1224120631814003,402.8888854980469,0.985,0.755,0.0,0.09239497780799866,429.4320983886719,0.9834,0.7498,0.0,0.74496,0.4735243022441864,0.76648,0.46254026889801025,0.0,0.0,0.0,0
13,dad,0.0001,32,3,5,transformer,imdb,8,10,0.1181059405207634,399.0409851074219,0.992,0.76244,0.0,0.07823771983385086,385.79229736328125,0.989,0.7748,0.0,0.76452,0.5066131949424744,0.78284,0.5306057333946228,0.0,0.0,0.0,0
14,dad,0.0001,32,3,5,transformer,imdb,8,10,0.10358748584985733,397.7261047363281,0.9957,0.7654,0.0,0.053530819714069366,465.43304443359375,0.9957,0.74692,0.0,0.75272,0.43872058391571045,0.77208,0.44425414502620697,0.0,0.0,0.0,0
15,dad,0.0001,32,3,5,transformer,imdb,8,10,0.09566153585910797,431.31280517578125,0.9978,0.7562,0.0,0.06700270622968674,434.6958312988281,0.9973,0.76212,0.0,0.748,0.6223551034927368,0.77372,0.568749725818634,0.0,0.0,0.0,0
16,dad,0.0001,32,3,5,transformer,imdb,8,10,0.032228171825408936,441.56793212890625,0.9996,0.7604,0.0,0.03041192889213562,429.13629150390625,0.9987,0.76728,0.0,0.75244,0.7533702850341797,0.77724,0.7019322514533997,0.0,0.0,0.0,0
17,dad,0.0001,32,3,5,transformer,imdb,8,10,0.03707938641309738,500.2687683105469,0.9999,0.74724,0.0,0.016507454216480255,523.1181640625,0.9994,0.74796,0.0,0.73364,0.6799874305725098,0.75912,0.6769814789295197,0.0,0.0,0.0,0
18,dad,0.0001,32,3,5,transformer,imdb,8,10,0.03028743714094162,464.4705810546875,0.9998,0.76108,0.0,0.020461037755012512,449.6689147949219,0.9998,0.77444,0.0,0.76424,0.7973138093948364,0.78548,0.6484880745410919,0.0,0.0,0.0,0
19,dad,0.0001,32,3,5,transformer,imdb,8,10,0.011614993214607239,552.9407958984375,1.0,0.745,0.0,0.012133084237575531,489.8402404785156,0.9999,0.76768,0.0,0.74432,0.4324492812156677,0.773,0.5371990650892258,0.0,0.0,0.0,0
20,dad,0.0001,32,3,5,transformer,imdb,8,10,0.009694389998912811,486.48162841796875,1.0,0.76492,0.0,0.0053635090589523315,542.7208251953125,1.0,0.76356,0.0,0.75456,0.3869040310382843,0.78052,0.4398922473192215,0.0,0.0,0.0,0
21,dad,0.0001,32,3,5,transformer,imdb,8,10,0.009234383702278137,520.640625,1.0,0.764,0.0,0.004485711455345154,580.9727172851562,1.0,0.76132,0.0,0.75316,0.6617534160614014,0.77896,0.8300996720790863,0.0,0.0,0.0,0
22,dad,0.0001,32,3,5,transformer,imdb,8,10,0.004451334476470947,539.1385498046875,1.0,0.7626,0.0,0.0048688799142837524,538.428466796875,1.0,0.77636,0.0,0.76228,0.47292613983154297,0.78788,0.516774520277977,0.0,0.0,0.0,0
23,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0027722716331481934,560.853271484375,1.0,0.7626,0.0,0.0014276579022407532,578.4595336914062,1.0,0.77208,0.0,0.75648,0.5063092112541199,0.78468,0.5724687576293945,0.0,0.0,0.0,0
24,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0021786093711853027,576.4376831054688,1.0,0.76264,0.0,0.002674587070941925,584.7288818359375,1.0,0.77284,0.0,0.75912,0.7128735780715942,0.78408,0.8974594473838806,0.0,0.0,0.0,0
25,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0016396790742874146,588.0440673828125,1.0,0.76164,0.0,0.001230284571647644,659.097900390625,1.0,0.76744,0.0,0.75316,0.43570342659950256,0.78148,0.6968996822834015,0.0,0.0,0.0,0
26,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0018987953662872314,588.4441528320312,1.0,0.76612,0.0,0.0021395236253738403,674.6458740234375,1.0,0.76816,0.0,0.7578,1.2090697288513184,0.7842,1.1578969657421112,0.0,0.0,0.0,0
27,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0011919885873794556,618.01025390625,1.0,0.76384,0.0,0.0009601563215255737,668.7545166015625,1.0,0.77188,0.0,0.75804,0.9133877158164978,0.78584,1.023880660533905,0.0,0.0,0.0,0
28,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0007490366697311401,609.8997802734375,1.0,0.76776,0.0,0.0006111711263656616,675.2367553710938,1.0,0.77228,0.0,0.76184,1.1991007328033447,0.78756,1.135424554347992,0.0,0.0,0.0,0
29,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0007569044828414917,622.217041015625,1.0,0.76804,0.0,0.000490725040435791,741.3642578125,1.0,0.76696,0.0,0.75596,1.3582918643951416,0.7838,1.2914149761199951,0.0,0.0,0.0,0
30,dad,0.0001,32,3,5,transformer,imdb,8,10,0.00036300718784332275,660.8133544921875,1.0,0.76372,0.0,0.00029462575912475586,784.856689453125,1.0,0.76272,0.0,0.7506,0.7975873947143555,0.77916,0.9446783363819122,0.0,0.0,0.0,0
31,dad,0.0001,32,3,5,transformer,imdb,8,10,0.000339314341545105,693.1695556640625,1.0,0.7608,0.0,0.0005432963371276855,720.5700073242188,1.0,0.77208,0.0,0.7568,1.042641043663025,0.7844,1.615530014038086,0.0,0.0,0.0,0
32,dad,0.0001,32,3,5,transformer,imdb,8,10,0.00024837255477905273,681.7935791015625,1.0,0.76468,0.0,0.00020651519298553467,800.9606323242188,1.0,0.76516,0.0,0.75368,0.8379678726196289,0.78172,1.045633852481842,0.0,0.0,0.0,0
33,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0002461075782775879,693.8035278320312,1.0,0.76476,0.0,0.0002557486295700073,815.7168579101562,1.0,0.76728,0.0,0.75432,0.9835896492004395,0.78268,1.3593416810035706,0.0,0.0,0.0,0
34,dad,0.0001,32,3,5,transformer,imdb,8,10,0.00027523934841156006,702.8858032226562,1.0,0.76568,0.0,0.00035253167152404785,795.7217407226562,1.0,0.77156,0.0,0.76032,0.9065929055213928,0.78684,1.3193543553352356,0.0,0.0,0.0,0
35,dad,0.0001,32,3,5,transformer,imdb,8,10,0.00020363926887512207,715.2821044921875,1.0,0.76444,0.0,0.00018408894538879395,835.4854736328125,1.0,0.7698,0.0,0.75664,1.4952958822250366,0.78568,1.5728591680526733,0.0,0.0,0.0,0
36,dad,0.0001,32,3,5,transformer,imdb,8,10,0.00020591914653778076,749.5330810546875,1.0,0.7634,0.0,0.00759868323802948,713.3018798828125,0.9984,0.76008,0.0,0.74432,0.6361168622970581,0.77724,0.7757952511310577,0.0,0.0,0.0,0
37,dad,0.0001,32,3,5,transformer,imdb,8,10,0.00018918514251708984,712.0762329101562,1.0,0.76884,0.0,0.002726145088672638,647.903076171875,0.9997,0.77852,0.0,0.77304,0.7121145129203796,0.79244,0.7710210680961609,0.0,0.0,0.0,0
38,dad,0.0001,32,3,5,transformer,imdb,8,10,0.0001865178346633911,770.0670776367188,1.0,0.76276,0.0,0.00036069750785827637,838.3129272460938,1.0,0.76244,0.0,0.75456,1.4894187450408936,0.77996,1.6735899448394775,0.0,0.0,0.0,0
39,dad,0.0001,32,3,5,transformer,imdb,8,10,8.17030668258667e-05,799.6669921875,1.0,0.76176,0.0,0.00018624961376190186,822.2081298828125,1.0,0.77116,0.0,0.75936,1.3438674211502075,0.78444,1.2862632274627686,0.0,0.0,0.0,0
40,dad,0.0001,32,3,5,transformer,imdb,8,10,5.099177360534668e-05,785.8460693359375,1.0,0.76528,0.0,5.996227264404297e-05,839.1486206054688,1.0,0.77152,0.0,0.76124,1.2255148887634277,0.78764,1.5476041436195374,0.0,0.0,0.0,0
41,dad,0.0001,32,3,5,transformer,imdb,8,10,7.382035255432129e-05,870.0242919921875,1.0,0.75604,0.0,6.723403930664062e-05,874.2990112304688,1.0,0.77016,0.0,0.7578,0.6215025186538696,0.7804,0.8071110546588898,0.0,0.0,0.0,0
42,dad,0.0001,32,3,5,transformer,imdb,8,10,2.771615982055664e-05,875.276123046875,1.0,0.75672,0.0,9.392201900482178e-05,874.4264526367188,1.0,0.77036,0.0,0.75764,0.9127436280250549,0.78048,1.2547014355659485,0.0,0.0,0.0,0
43,dad,0.0001,32,3,5,transformer,imdb,8,10,4.060566425323486e-05,810.6648559570312,1.0,0.76632,0.0,5.9410929679870605e-05,916.9855346679688,1.0,0.76796,0.0,0.7616,1.1864829063415527,0.78796,1.301939606666565,0.0,0.0,0.0,0
