epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.6414247751235962,536.7930297851562,0.6096,0.54588,0.0,0.6575685143470764,535.0868530273438,0.6131,0.56736,0.0,0.55868,0.627395510673523,0.55784,0.6293808221817017,0.0,0.0,0.0,0
1,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.5152446627616882,478.0119934082031,0.6695,0.66232,0.0,0.609147310256958,502.9128112792969,0.677,0.626,0.0,0.64944,0.5710877776145935,0.64908,0.5805717408657074,0.0,0.0,0.0,0
2,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.36184564232826233,494.00994873046875,0.759,0.64528,0.0,0.3856867551803589,451.1585693359375,0.7622,0.69444,0.0,0.68696,0.6250181198120117,0.67608,0.6503494679927826,0.0,0.0,0.0,0
3,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.451815664768219,437.546142578125,0.8015,0.70936,0.0,0.544996440410614,429.07098388671875,0.8032,0.71796,0.0,0.72592,0.4469660520553589,0.72024,0.4385642856359482,0.0,0.0,0.0,0
4,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.4808320105075836,480.0265197753906,0.8466,0.67236,0.0,0.39859360456466675,407.2832946777344,0.8456,0.74004,0.0,0.72812,0.3989964425563812,0.72164,0.44172555208206177,0.0,0.0,0.0,0
5,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.28107166290283203,405.4673156738281,0.8767,0.74076,0.0,0.26946303248405457,399.9339599609375,0.8825,0.74468,0.0,0.74712,0.46400368213653564,0.7528,0.47073324024677277,0.0,0.0,0.0,0
6,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.338050901889801,396.35430908203125,0.9079,0.74992,0.0,0.3395019769668579,422.2611389160156,0.9032,0.73368,0.0,0.75212,0.5505473017692566,0.75636,0.54115429520607,0.0,0.0,0.0,0
7,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.2836936116218567,410.64556884765625,0.934,0.73968,0.0,0.28820332884788513,386.817138671875,0.9306,0.757,0.0,0.75576,0.45766955614089966,0.76068,0.49370597302913666,0.0,0.0,0.0,0
8,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.22419267892837524,398.4894714355469,0.9564,0.74932,0.0,0.24156998097896576,456.86236572265625,0.9557,0.72344,0.0,0.75364,0.5956922173500061,0.75084,0.6026777923107147,0.0,0.0,0.0,0
9,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.18455258011817932,429.7933349609375,0.9729,0.7338,0.0,0.16293999552726746,428.4893493652344,0.9745,0.74412,0.0,0.753,0.5789826512336731,0.75004,0.5941846370697021,0.0,0.0,0.0,0
10,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.143357515335083,439.2765808105469,0.9846,0.73332,0.0,0.12430078536272049,390.8961181640625,0.9834,0.76336,0.0,0.76384,0.43647298216819763,0.76344,0.4585134983062744,0.0,0.0,0.0,0
11,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.06673162430524826,413.9574890136719,0.9931,0.74832,0.0,0.06319337338209152,406.5047302246094,0.9915,0.762,0.0,0.76492,0.6217290759086609,0.76908,0.6297081708908081,0.0,0.0,0.0,0
12,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.08360613882541656,420.92523193359375,0.9972,0.74956,0.0,0.08163085579872131,394.3209533691406,0.9967,0.76628,0.0,0.76612,0.42278337478637695,0.77608,0.4889635294675827,0.0,0.0,0.0,0
13,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.07788639515638351,408.4464111328125,0.9995,0.75928,0.0,0.05487946420907974,437.0738220214844,0.9995,0.75668,0.0,0.76716,0.5840927958488464,0.7752,0.5735741853713989,0.0,0.0,0.0,0
14,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.038155943155288696,448.17633056640625,0.9999,0.7482,0.0,0.04392525181174278,487.7143859863281,0.9997,0.74848,0.0,0.76236,0.33775797486305237,0.7618,0.38294295966625214,0.0,0.0,0.0,0
15,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.041413314640522,461.40765380859375,0.9999,0.74732,0.0,0.04635322839021683,470.54498291015625,0.9999,0.7548,0.0,0.76668,0.3391150236129761,0.76496,0.3130491301417351,0.0,0.0,0.0,0
16,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.024087553843855858,457.7901306152344,1.0,0.7532,0.0,0.026211272925138474,476.0548400878906,0.9999,0.75816,0.0,0.76952,0.5180009603500366,0.77016,0.7124094069004059,0.0,0.0,0.0,0
17,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.019976038485765457,464.26458740234375,1.0,0.75352,0.0,0.015036758035421371,477.798583984375,1.0,0.75924,0.0,0.76996,0.72161465883255,0.77172,0.8302573263645172,0.0,0.0,0.0,0
18,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.020239509642124176,506.3636169433594,1.0,0.74728,0.0,0.011497572995722294,462.9571533203125,1.0,0.76836,0.0,0.76952,0.4439374804496765,0.77308,0.6210259199142456,0.0,0.0,0.0,0
19,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.010998799465596676,500.01422119140625,1.0,0.75072,0.0,0.008016541600227356,495.601806640625,1.0,0.76216,0.0,0.77,0.578092634677887,0.77024,0.5567880123853683,0.0,0.0,0.0,0
20,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.008012809790670872,536.1062622070312,1.0,0.74604,0.0,0.016153650358319283,560.7364501953125,1.0,0.74932,0.0,0.76652,0.6667467951774597,0.7612,0.6655295789241791,0.0,0.0,0.0,0
21,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.0065223234705626965,523.7300415039062,1.0,0.75172,0.0,0.004586347844451666,535.8981323242188,1.0,0.7578,0.0,0.76996,1.013343095779419,0.76872,0.9372923374176025,0.0,0.0,0.0,0
22,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.004780817311257124,501.2712707519531,1.0,0.75928,0.0,0.003514843760058284,551.1026000976562,1.0,0.75716,0.0,0.77124,0.8552466630935669,0.77356,0.7871856987476349,0.0,0.0,0.0,0
23,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.0037368014454841614,527.7938842773438,1.0,0.75508,0.0,0.0033596132416278124,564.2821655273438,1.0,0.75868,0.0,0.77052,0.4835507273674011,0.77136,0.6206641793251038,0.0,0.0,0.0,0
24,noshare,0.0001,32,3,5,transformer,imdb,8,10,0.0028241355903446674,546.5765991210938,1.0,0.75464,0.0,0.00283472309820354,542.7589111328125,1.0,0.76452,0.0,0.77276,0.9282804131507874,0.7738,1.2068604230880737,0.0,0.0,0.0,0
