epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.6117439866065979,136.07444763183594,0.6024,0.52648,0.0,0.52648,0.6629019379615784,0.52648,0.6629019379615784,0.0,0.0,0.0,0
1,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.5343020558357239,113.68304443359375,0.7027,0.6976,0.0,0.6976,0.6058091521263123,0.6976,0.6058091521263123,0.0,0.0,0.0,0
2,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.38385751843452454,116.5480728149414,0.75035,0.66812,0.0,0.66812,0.58188396692276,0.66812,0.58188396692276,0.0,0.0,0.0,0
3,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.4568195044994354,110.68863677978516,0.78755,0.69944,0.0,0.69944,0.6441402435302734,0.69944,0.6441402435302734,0.0,0.0,0.0,0
4,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.4296274185180664,107.29740142822266,0.81265,0.715,0.0,0.715,0.5502252578735352,0.715,0.5502252578735352,0.0,0.0,0.0,0
5,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.3268676996231079,101.83610534667969,0.8346,0.73688,0.0,0.73688,0.5079352259635925,0.73688,0.5079352259635925,0.0,0.0,0.0,0
6,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.39233389496803284,102.946044921875,0.85135,0.73136,0.0,0.73136,0.5003817081451416,0.73136,0.5003817081451416,0.0,0.0,0.0,0
7,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.3256925940513611,97.14356231689453,0.8677,0.7534,0.0,0.7534,0.5617237091064453,0.7534,0.5617237091064453,0.0,0.0,0.0,0
8,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.37164178490638733,96.06631469726562,0.88705,0.7558,0.0,0.7558,0.45322132110595703,0.7558,0.45322132110595703,0.0,0.0,0.0,0
9,pooled,0.0001,128,1,5,transformer,imdb,8,10,0.25532233715057373,102.89462280273438,0.90175,0.73676,0.0,0.73676,0.47694048285484314,0.73676,0.47694048285484314,0.0,0.0,0.0,0
