,epoch,mode,ls1,ls2,acc1,acc2,tls1,tls2,tacc1,tacc2,tlsa,tacca
0,0,dad,0.39182811975479126,0.39182811975479126,0.8395333333333334,0.8395333333333334,0.45067617297172546,0.45067617297172546,0.8709,0.8709,0.5468265414237976,0.8669
1,1,dad,0.34096378087997437,0.34096378087997437,0.8736333333333334,0.8736333333333334,0.41692012548446655,0.41692012548446655,0.88,0.88,0.49646544456481934,0.8769
2,2,dad,0.37572479248046875,0.37572479248046875,0.8769,0.8769,0.4221249520778656,0.4221249520778656,0.8674,0.8674,0.4675193727016449,0.871
3,3,dad,0.5537515878677368,0.5537515878677368,0.8782333333333333,0.8782333333333333,0.3769119083881378,0.3769119083881378,0.8856,0.8856,0.4111296534538269,0.8856
4,4,dad,0.48476216197013855,0.48476216197013855,0.8836,0.8836,0.412960946559906,0.412960946559906,0.8719,0.8719,0.4483344852924347,0.8732
5,5,dad,0.3957041800022125,0.3957041800022125,0.8869,0.8869,0.3989679515361786,0.3989679515361786,0.8769,0.8769,0.445696085691452,0.8711
6,6,dad,0.46394452452659607,0.46394452452659607,0.8931666666666667,0.8931666666666667,0.363847553730011,0.363847553730011,0.8929,0.8929,0.39643433690071106,0.8946
7,7,dad,0.4625691771507263,0.4625691771507263,0.899,0.899,0.3545967638492584,0.3545967638492584,0.8901,0.8901,0.3956051766872406,0.885
8,8,dad,0.3507795035839081,0.3507795035839081,0.8990666666666667,0.8990666666666667,0.34977424144744873,0.34977424144744873,0.894,0.894,0.3723066747188568,0.8931
9,9,dad,0.442668616771698,0.442668616771698,0.8969,0.8969,0.35503295063972473,0.35503295063972473,0.8919,0.8919,0.3811332881450653,0.8943
10,10,dad,0.445628821849823,0.445628821849823,0.9013333333333333,0.9013333333333333,0.33994337916374207,0.33994337916374207,0.8982,0.8982,0.3710002601146698,0.9004
11,11,dad,0.5208256244659424,0.5208256244659424,0.8969666666666667,0.8969666666666667,0.32841256260871887,0.32841256260871887,0.9037,0.9037,0.3623950779438019,0.9034
12,12,dad,0.6202248930931091,0.6202248930931091,0.9066333333333333,0.9066333333333333,0.34571462869644165,0.34571462869644165,0.8962,0.8962,0.36687740683555603,0.8963
13,13,dad,0.3229126036167145,0.3229126036167145,0.9056333333333333,0.9056333333333333,0.31682321429252625,0.31682321429252625,0.9065,0.9065,0.3438622057437897,0.9062
14,14,dad,0.24133138358592987,0.24133138358592987,0.9130666666666667,0.9130666666666667,0.32010728120803833,0.32010728120803833,0.9022,0.9022,0.3334883153438568,0.9016
15,15,dad,0.5299584865570068,0.5299584865570068,0.9053333333333333,0.9053333333333333,0.30659249424934387,0.30659249424934387,0.9066,0.9066,0.3218412697315216,0.9072
16,16,dad,0.6052793264389038,0.6052793264389038,0.9076,0.9076,0.31307071447372437,0.31307071447372437,0.9058,0.9058,0.3477940559387207,0.9047
17,17,dad,0.38959476351737976,0.38959476351737976,0.9071,0.9071,0.3027551770210266,0.3027551770210266,0.9077,0.9077,0.3305048942565918,0.9063
