epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dAD,0.001,64,0,5,transformer,imdb,8,10,0.642098605632782,266.80419921875,0.6317107371794872,0.55756,0.0,0.5939638018608093,306.2487487792969,0.621895032051282,0.5014,0.0,0.50872,0.46967560052871704,0.51284,0.48910218477249146,0.0,0.0,0.0,0
1,dAD,0.001,64,0,5,transformer,imdb,8,10,0.5441738367080688,292.510986328125,0.7034254807692307,0.53904,0.0,0.4721519649028778,362.1370544433594,0.6967147435897436,0.5266,0.0,0.543,0.44632235169410706,0.53484,0.4878014326095581,0.0,0.0,0.0,0
2,dAD,0.001,64,0,5,transformer,imdb,8,10,0.41011548042297363,366.76007080078125,0.7977764423076923,0.53236,0.0,0.3215221166610718,460.9129638671875,0.7888621794871795,0.53052,0.0,0.53956,0.48885378241539,0.53328,0.5208271592855453,0.0,0.0,0.0,0
3,dAD,0.001,64,0,5,transformer,imdb,8,10,0.23229682445526123,471.155029296875,0.8722956730769231,0.52256,0.0,0.19037659466266632,527.9296264648438,0.8729967948717948,0.52456,0.0,0.53432,0.5467215776443481,0.52176,0.5317538678646088,0.0,0.0,0.0,0
4,dAD,0.001,64,0,5,transformer,imdb,8,10,0.18167348206043243,545.9940185546875,0.9115584935897436,0.52524,0.0,0.17307224869728088,852.9247436523438,0.9330929487179487,0.51236,0.0,0.53104,0.6559178233146667,0.51444,0.47467079758644104,0.0,0.0,0.0,0
5,dAD,0.001,64,0,5,transformer,imdb,8,10,0.04886944964528084,642.8331298828125,0.9349959935897436,0.52356,0.0,0.07241086661815643,650.4288330078125,0.9342948717948718,0.5214,0.0,0.53348,0.6984148025512695,0.51956,0.6215943247079849,0.0,0.0,0.0,0
6,dAD,0.001,64,0,5,transformer,imdb,8,10,0.038899943232536316,686.4618530273438,0.9537259615384616,0.52136,0.0,0.04662063345313072,666.5526733398438,0.9548277243589743,0.51968,0.0,0.53432,1.237683892250061,0.52516,1.4936243891716003,0.0,0.0,0.0,0
7,dAD,0.001,64,0,5,transformer,imdb,8,10,0.02927951142191887,637.1917114257812,0.9759615384615384,0.522,0.0,0.026420705020427704,795.2151489257812,0.9876802884615384,0.51544,0.0,0.53268,1.1526527404785156,0.51524,0.9711630642414093,0.0,0.0,0.0,0
8,dAD,0.001,64,0,5,transformer,imdb,8,10,0.02282026968896389,683.6207885742188,0.9841746794871795,0.52184,0.0,0.002876739948987961,862.5037841796875,0.9967948717948718,0.51668,0.0,0.53352,1.6937053203582764,0.51852,1.6833715438842773,0.0,0.0,0.0,0
9,dAD,0.001,64,0,5,transformer,imdb,8,10,0.014819348230957985,625.699462890625,0.9860777243589743,0.52436,0.0,0.0007297135889530182,1055.3072509765625,0.9989983974358975,0.51788,0.0,0.53392,1.6404269933700562,0.51892,1.570271909236908,0.0,0.0,0.0,0
10,dAD,0.001,64,0,5,transformer,imdb,8,10,0.05403400957584381,763.3671875,0.9877804487179487,0.5248,0.0,7.915496826171875e-05,1318.628173828125,0.9997996794871795,0.5152,0.0,0.53316,1.1499671936035156,0.52076,1.4918707609176636,0.0,0.0,0.0,0
