epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.6854190826416016,519.7138671875,0.52872,0.60564,0.0,0.7055302858352661,522.0922241210938,0.53064,0.58572,0.0,0.59992,0.6635307669639587,0.60204,0.6627472937107086,0.0,0.0,0.0,0
1,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.574307918548584,493.7929992675781,0.6748,0.63468,0.0,0.5279209613800049,465.5402526855469,0.66392,0.67916,0.0,0.68876,0.6359643936157227,0.68524,0.6547450721263885,0.0,0.0,0.0,0
2,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.579359233379364,424.18243408203125,0.756,0.72256,0.0,0.5104584097862244,442.9913024902344,0.74832,0.69616,0.0,0.71812,0.6192724108695984,0.72212,0.6290392577648163,0.0,0.0,0.0,0
3,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.5429426431655884,406.2505798339844,0.80064,0.74084,0.0,0.3665589392185211,412.03369140625,0.79208,0.73144,0.0,0.74088,0.418973833322525,0.74836,0.42322802543640137,0.0,0.0,0.0,0
4,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.4141361713409424,389.44384765625,0.83864,0.75356,0.0,0.36874866485595703,396.37811279296875,0.82632,0.74644,0.0,0.75448,0.607886791229248,0.76176,0.5924592912197113,0.0,0.0,0.0,0
5,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.3840528130531311,390.9327697753906,0.87,0.752,0.0,0.3660609722137451,424.41717529296875,0.85496,0.71856,0.0,0.76112,0.5244806408882141,0.77044,0.5504945814609528,0.0,0.0,0.0,0
6,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.37017080187797546,372.7569274902344,0.89464,0.7662,0.0,0.3295500576496124,379.3921813964844,0.88728,0.76192,0.0,0.76416,0.4807455241680145,0.77612,0.46793095767498016,0.0,0.0,0.0,0
7,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.257852703332901,395.370361328125,0.9188,0.7528,0.0,0.23706769943237305,380.506591796875,0.91064,0.75932,0.0,0.77136,0.50804203748703,0.78304,0.526057094335556,0.0,0.0,0.0,0
8,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.2972733676433563,364.9210205078125,0.9368,0.77496,0.0,0.2336234599351883,383.98284912109375,0.9276,0.75948,0.0,0.77548,0.4740268588066101,0.78312,0.5200965106487274,0.0,0.0,0.0,0
9,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.2002844214439392,381.69476318359375,0.958,0.76276,0.0,0.20086641609668732,368.672607421875,0.94712,0.77196,0.0,0.7762,0.49479255080223083,0.7802,0.5281029343605042,0.0,0.0,0.0,0
10,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.21479961276054382,370.0087585449219,0.96952,0.77632,0.0,0.12207600474357605,367.39971923828125,0.96464,0.77952,0.0,0.77772,0.4148474633693695,0.79308,0.4996204972267151,0.0,0.0,0.0,0
11,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.16829073429107666,370.8078308105469,0.98176,0.77736,0.0,0.17607936263084412,365.0515441894531,0.97648,0.78336,0.0,0.78012,0.383932501077652,0.7946,0.3886912167072296,0.0,0.0,0.0,0
12,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.11616537719964981,376.17974853515625,0.98936,0.77872,0.0,0.13735347986221313,371.9345703125,0.982,0.7832,0.0,0.7812,0.45472660660743713,0.79696,0.42648380994796753,0.0,0.0,0.0,0
13,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.052406251430511475,378.4532775878906,0.9944,0.78176,0.0,0.1589176058769226,379.19793701171875,0.99168,0.78272,0.0,0.78396,0.7009655833244324,0.80096,0.737703800201416,0.0,0.0,0.0,0
14,dad,0.0001,32,-1,5,transformer,imdb,8,10,0.04854375869035721,390.5228576660156,0.99744,0.77912,0.0,0.08555877953767776,381.7674560546875,0.9956,0.785,0.0,0.78476,0.4210898280143738,0.80004,0.4194614142179489,0.0,0.0,0.0,0
