epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.6704288125038147,126.48127746582031,0.56076,0.6156,0.0,0.6156,0.642760694026947,0.6156,0.642760694026947,0.0,0.0,0.0,0
1,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.5490242838859558,109.16960906982422,0.7048,0.71704,0.0,0.71704,0.5950380563735962,0.71704,0.5950380563735962,0.0,0.0,0.0,0
2,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.5353929996490479,103.94195556640625,0.75048,0.7338,0.0,0.7338,0.5724489092826843,0.7338,0.5724489092826843,0.0,0.0,0.0,0
3,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.4422702193260193,100.77379608154297,0.78156,0.74532,0.0,0.74532,0.5234041213989258,0.74532,0.5234041213989258,0.0,0.0,0.0,0
4,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.4546942114830017,96.44038391113281,0.80952,0.75832,0.0,0.75832,0.472406804561615,0.75832,0.472406804561615,0.0,0.0,0.0,0
5,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.3711833655834198,93.2737045288086,0.82536,0.77156,0.0,0.77156,0.49106529355049133,0.77156,0.49106529355049133,0.0,0.0,0.0,0
6,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.3264072835445404,92.64340209960938,0.84772,0.76812,0.0,0.76812,0.4982772171497345,0.76812,0.4982772171497345,0.0,0.0,0.0,0
7,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.241728276014328,90.62598419189453,0.86572,0.77792,0.0,0.77792,0.47032153606414795,0.77792,0.47032153606414795,0.0,0.0,0.0,0
8,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.29701298475265503,88.14077758789062,0.88244,0.78512,0.0,0.78512,0.4777248203754425,0.78512,0.4777248203754425,0.0,0.0,0.0,0
9,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.28212934732437134,86.41571044921875,0.90012,0.78972,0.0,0.78972,0.5173077583312988,0.78972,0.5173077583312988,0.0,0.0,0.0,0
10,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.27384480834007263,88.032470703125,0.91216,0.78412,0.0,0.78412,0.4447377324104309,0.78412,0.4447377324104309,0.0,0.0,0.0,0
11,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.23020601272583008,85.56591796875,0.92652,0.79404,0.0,0.79404,0.4219706952571869,0.79404,0.4219706952571869,0.0,0.0,0.0,0
12,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.26661303639411926,88.6043701171875,0.93656,0.78924,0.0,0.78924,0.507962167263031,0.78924,0.507962167263031,0.0,0.0,0.0,0
13,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.1801377683877945,85.09766387939453,0.94888,0.80056,0.0,0.80056,0.4185241758823395,0.80056,0.4185241758823395,0.0,0.0,0.0,0
14,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.17250652611255646,85.83394622802734,0.961,0.79764,0.0,0.79764,0.44765523076057434,0.79764,0.44765523076057434,0.0,0.0,0.0,0
15,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.16081281006336212,84.93919372558594,0.96912,0.8,0.0,0.8,0.29312223196029663,0.8,0.29312223196029663,0.0,0.0,0.0,0
16,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.10500468313694,85.87841796875,0.97796,0.8018,0.0,0.8018,0.38648560643196106,0.8018,0.38648560643196106,0.0,0.0,0.0,0
17,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.11224716901779175,87.62211608886719,0.98304,0.79756,0.0,0.79756,0.3731231093406677,0.79756,0.3731231093406677,0.0,0.0,0.0,0
18,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.10859308391809464,88.78081512451172,0.98932,0.79896,0.0,0.79896,0.373846173286438,0.79896,0.373846173286438,0.0,0.0,0.0,0
19,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.08194415271282196,88.28968811035156,0.99336,0.803,0.0,0.803,0.4085441827774048,0.803,0.4085441827774048,0.0,0.0,0.0,0
20,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.07469434291124344,89.39825439453125,0.99628,0.80444,0.0,0.80444,0.4945969879627228,0.80444,0.4945969879627228,0.0,0.0,0.0,0
21,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.0727519690990448,91.86508178710938,0.99812,0.80456,0.0,0.80456,0.45048126578330994,0.80456,0.45048126578330994,0.0,0.0,0.0,0
22,pooled,0.0001,128,-1,5,transformer,imdb,8,10,0.04299886152148247,92.5937271118164,0.999,0.80484,0.0,0.80484,0.5643361210823059,0.80484,0.5643361210823059,0.0,0.0,0.0,0
