epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.001,256,0,5,transformer,imdb,8,10,0.6534136533737183,69.47726440429688,0.6140324519230769,0.5,0.0,0.5,0.5276557207107544,0.5,0.5276557207107544,0.0,0.0,0.0,0
1,pooled,0.001,256,0,5,transformer,imdb,8,10,0.6558546423912048,69.39122009277344,0.6249499198717948,0.5,0.0,0.5,0.5317102074623108,0.5,0.5317102074623108,0.0,0.0,0.0,0
2,pooled,0.001,256,0,5,transformer,imdb,8,10,0.6558915376663208,69.37097930908203,0.6249499198717948,0.5,0.0,0.5,0.5320211052894592,0.5,0.5320211052894592,0.0,0.0,0.0,0
3,pooled,0.001,256,0,5,transformer,imdb,8,10,0.6174126863479614,74.92283630371094,0.6286057692307693,0.52436,0.0,0.52436,0.3968217074871063,0.5244,0.3968217074871063,0.0,0.0,0.0,0
4,pooled,0.001,256,0,5,transformer,imdb,8,10,0.5262079834938049,76.56451416015625,0.7007211538461539,0.54244,0.0,0.54244,0.6778321862220764,0.54244,0.6778321862220764,0.0,0.0,0.0,0
5,pooled,0.001,256,0,5,transformer,imdb,8,10,0.38898828625679016,88.53510284423828,0.7974759615384616,0.52776,0.0,0.52776,0.684964656829834,0.52776,0.684964656829834,0.0,0.0,0.0,0
6,pooled,0.001,256,0,5,transformer,imdb,8,10,0.27508482336997986,113.58329772949219,0.866035657051282,0.5172,0.0,0.5172,0.8289157152175903,0.5172,0.8289157152175903,0.0,0.0,0.0,0
7,pooled,0.001,256,0,5,transformer,imdb,8,10,0.1843351572751999,137.70510864257812,0.9118589743589743,0.51188,0.0,0.51188,1.000439167022705,0.51188,1.000439167022705,0.0,0.0,0.0,0
8,pooled,0.001,256,0,5,transformer,imdb,8,10,0.1264445185661316,151.54017639160156,0.9399539262820513,0.50836,0.0,0.50836,0.9048148393630981,0.50836,0.9048148393630981,0.0,0.0,0.0,0
9,pooled,0.001,256,0,5,transformer,imdb,8,10,0.07074667513370514,170.00161743164062,0.9684495192307693,0.51116,0.0,0.51116,1.6954855918884277,0.51116,1.6954855918884277,0.0,0.0,0.0,0
10,pooled,0.001,256,0,5,transformer,imdb,8,10,0.10048548877239227,240.8386993408203,0.9810196314102564,0.5072,0.0,0.5072,1.0558384656906128,0.5072,1.0558384656906128,0.0,0.0,0.0,0
11,pooled,0.001,256,0,5,transformer,imdb,8,10,0.026856308802962303,277.3265686035156,0.9800681089743589,0.50964,0.0,0.50964,1.0650289058685303,0.50964,1.0650289058685303,0.0,0.0,0.0,0
12,pooled,0.001,256,0,5,transformer,imdb,8,10,0.047192640602588654,224.85247802734375,0.9741586538461539,0.51404,0.0,0.51404,1.3905500173568726,0.51404,1.3905500173568726,0.0,0.0,0.0,0
13,pooled,0.001,256,0,5,transformer,imdb,8,10,0.010081246495246887,249.47439575195312,0.9868289262820513,0.5114,0.0,0.5114,1.7914602756500244,0.5114,1.7914602756500244,0.0,0.0,0.0,0
14,pooled,0.001,256,0,5,transformer,imdb,8,10,0.005896298214793205,288.5995178222656,0.9935396634615384,0.51488,0.0,0.51488,2.0247251987457275,0.51488,2.0247251987457275,0.0,0.0,0.0,0
15,pooled,0.001,256,0,5,transformer,imdb,8,10,0.025570200756192207,311.9136047363281,0.9948417467948718,0.51324,0.0,0.51324,2.5941455364227295,0.51324,2.5941455364227295,0.0,0.0,0.0,0
16,pooled,0.001,256,0,5,transformer,imdb,8,10,0.018356936052441597,296.21826171875,0.9956430288461539,0.51468,0.0,0.51468,2.9336555004119873,0.51468,2.9336555004119873,0.0,0.0,0.0,0
17,pooled,0.001,256,0,5,transformer,imdb,8,10,0.10874781757593155,300.9576721191406,0.9952423878205128,0.51412,0.0,0.51412,3.9863085746765137,0.51412,3.9863085746765137,0.0,0.0,0.0,0
18,pooled,0.001,256,0,5,transformer,imdb,8,10,0.0036854231730103493,285.43035888671875,0.9926883012820513,0.51412,0.0,0.51412,3.480595827102661,0.51412,3.480595827102661,0.0,0.0,0.0,0
19,pooled,0.001,256,0,5,transformer,imdb,8,10,0.018051400780677795,305.71112060546875,0.9922876602564102,0.51308,0.0,0.51308,2.251939296722412,0.51308,2.251939296722412,0.0,0.0,0.0,0
20,pooled,0.001,256,0,5,transformer,imdb,8,10,0.017012134194374084,286.2660827636719,0.9918870192307693,0.51268,0.0,0.51268,2.2966220378875732,0.51268,2.2966220378875732,0.0,0.0,0.0,0
21,pooled,0.001,256,0,5,transformer,imdb,8,10,0.009076924994587898,321.1528625488281,0.9954427083333334,0.51296,0.0,0.51296,1.862327218055725,0.51296,1.862327218055725,0.0,0.0,0.0,0
22,pooled,0.001,256,0,5,transformer,imdb,8,10,0.00036370567977428436,372.4757995605469,0.998848157051282,0.51328,0.0,0.51328,2.2121119499206543,0.51328,2.2121119499206543,0.0,0.0,0.0,0
23,pooled,0.001,256,0,5,transformer,imdb,8,10,0.00018602050840854645,380.18817138671875,0.9994491185897436,0.51364,0.0,0.51364,2.2222118377685547,0.51364,2.2222118377685547,0.0,0.0,0.0,0
24,pooled,0.001,256,0,5,transformer,imdb,8,10,0.0001740744337439537,380.11669921875,0.9997495993589743,0.5142,0.0,0.5142,2.3204569816589355,0.5142,2.3204569816589355,0.0,0.0,0.0,0
25,pooled,0.001,256,0,5,transformer,imdb,8,10,0.00014671310782432556,405.7349548339844,0.9998497596153846,0.51268,0.0,0.51268,2.30884051322937,0.51268,2.30884051322937,0.0,0.0,0.0,0
