epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.659512460231781,70.8971939086914,0.6237479967948718,0.50152,0.0,0.50152,0.4721124768257141,0.50152,0.4721124768257141,0.0,0.0,0.0,0
1,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6590793132781982,70.87413024902344,0.6233974358974359,0.50148,0.0,0.50148,0.4713967740535736,0.50148,0.4713967740535736,0.0,0.0,0.0,0
2,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6587123274803162,70.83604431152344,0.6233974358974359,0.50164,0.0,0.50164,0.4712260663509369,0.50164,0.4712260663509369,0.0,0.0,0.0,0
3,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6583554744720459,70.79916381835938,0.6234475160256411,0.5016,0.0,0.5016,0.47106751799583435,0.5016,0.47106751799583435,0.0,0.0,0.0,0
4,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6580085754394531,70.7625732421875,0.6235977564102564,0.50156,0.0,0.50156,0.4709346294403076,0.50156,0.4709346294403076,0.0,0.0,0.0,0
5,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6576664447784424,70.7265396118164,0.6237980769230769,0.50144,0.0,0.50144,0.47081029415130615,0.50144,0.47081029415130615,0.0,0.0,0.0,0
6,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6573276519775391,70.69232940673828,0.6238982371794872,0.50152,0.0,0.50152,0.4706621766090393,0.50152,0.4706621766090393,0.0,0.0,0.0,0
7,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6569998264312744,70.65840911865234,0.623848157051282,0.5014,0.0,0.5014,0.47050729393959045,0.5014,0.47050729393959045,0.0,0.0,0.0,0
8,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6566802859306335,70.62572479248047,0.6237980769230769,0.50132,0.0,0.50132,0.4703398644924164,0.50132,0.4703398644924164,0.0,0.0,0.0,0
9,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.656369686126709,70.59297943115234,0.6239483173076923,0.50148,0.0,0.50148,0.470213383436203,0.50148,0.470213383436203,0.0,0.0,0.0,0
10,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6560715436935425,70.56050872802734,0.6239983974358975,0.5018,0.0,0.5018,0.47010666131973267,0.5018,0.47010666131973267,0.0,0.0,0.0,0
11,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6557779908180237,70.53093719482422,0.6239983974358975,0.50192,0.0,0.50192,0.46993669867515564,0.50192,0.46993669867515564,0.0,0.0,0.0,0
12,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6554960608482361,70.50091552734375,0.624198717948718,0.50188,0.0,0.50188,0.4697997272014618,0.50188,0.4697997272014618,0.0,0.0,0.0,0
13,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.655217707157135,70.47086334228516,0.6244491185897436,0.50204,0.0,0.50204,0.46968546509742737,0.50204,0.46968546509742737,0.0,0.0,0.0,0
14,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6549412608146667,70.44091033935547,0.6244991987179487,0.5022,0.0,0.5022,0.46959713101387024,0.5022,0.46959713101387024,0.0,0.0,0.0,0
15,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6546626091003418,70.41173553466797,0.6245993589743589,0.50236,0.0,0.50236,0.4695011377334595,0.50236,0.4695011377334595,0.0,0.0,0.0,0
16,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6543947458267212,70.38297271728516,0.6248497596153846,0.50268,0.0,0.50268,0.4694054126739502,0.50268,0.4694054126739502,0.0,0.0,0.0,0
17,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6541193723678589,70.35444641113281,0.6248497596153846,0.5026,0.0,0.5026,0.4693211615085602,0.5026,0.4693211615085602,0.0,0.0,0.0,0
18,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6538331508636475,70.32636260986328,0.6248998397435898,0.50264,0.0,0.50264,0.4692421555519104,0.50264,0.4692421555519104,0.0,0.0,0.0,0
19,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6535438895225525,70.29853820800781,0.6248497596153846,0.50272,0.0,0.50272,0.4691735804080963,0.50272,0.4691735804080963,0.0,0.0,0.0,0
20,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6532561182975769,70.27115631103516,0.6248998397435898,0.50276,0.0,0.50276,0.4691097140312195,0.50276,0.4691097140312195,0.0,0.0,0.0,0
21,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6529637575149536,70.24356079101562,0.6248998397435898,0.50292,0.0,0.50292,0.46906375885009766,0.50292,0.46906375885009766,0.0,0.0,0.0,0
22,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6526641249656677,70.21673583984375,0.6250500801282052,0.50284,0.0,0.50284,0.46900105476379395,0.50284,0.46900105476379395,0.0,0.0,0.0,0
23,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6523727178573608,70.19042205810547,0.6250500801282052,0.50268,0.0,0.50268,0.4689509868621826,0.50268,0.4689509868621826,0.0,0.0,0.0,0
24,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.652090847492218,70.1646728515625,0.6252504006410257,0.50276,0.0,0.50276,0.4688926339149475,0.50276,0.4688926339149475,0.0,0.0,0.0,0
25,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6518176794052124,70.13798522949219,0.6251502403846154,0.50288,0.0,0.50288,0.46887198090553284,0.50288,0.46887198090553284,0.0,0.0,0.0,0
26,pooled,1e-06,256,0,5,transformer,imdb,8,10,0.6515417098999023,70.11277770996094,0.6253004807692307,0.5028,0.0,0.5028,0.4688072204589844,0.5028,0.4688072204589844,0.0,0.0,0.0,0
