epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=True)32",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99104286628279,6.0,6.0,5.984644913627639,6.0,6.0,11.975687779910428,12.0,12.0,0.5925442576408386,1937.429443359375,0.5428,0.66116,0.0,0.7250838279724121,1995.9112548828125,0.55712,0.6178,0.0,0.65896,0.5992423295974731,0.66772,0.6343169808387756,0.0,0.0,0.0,0
1,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99616122840691,6.0,6.0,5.998080614203455,6.0,6.0,11.994241842610364,12.0,12.0,0.6960554122924805,1667.6265869140625,0.72256,0.72924,0.0,1.4053562879562378,1773.900390625,0.71464,0.70164,0.0,0.71588,0.41834375262260437,0.72476,0.41266992688179016,0.0,0.0,0.0,0
2,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99744081893794,6.0,6.0,5.994241842610364,6.0,6.0,11.991682661548305,12.0,12.0,0.5250571966171265,1774.9267578125,0.78952,0.70036,0.0,0.1790960729122162,1526.8131103515625,0.79048,0.75692,0.0,0.7478,0.5933725237846375,0.7572,0.6721219718456268,0.0,0.0,0.0,0
3,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,5.999360204734485,6.0,6.0,11.99872040946897,12.0,12.0,0.19373753666877747,1584.3353271484375,0.83864,0.74992,0.0,0.5253911018371582,1635.675048828125,0.83432,0.7364,0.0,0.76624,0.40706565976142883,0.7782,0.5205066204071045,0.0,0.0,0.0,0
4,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.992322456813819,6.0,6.0,11.99232245681382,12.0,12.0,0.8786441087722778,1586.3958740234375,0.88224,0.75572,0.0,0.2045045793056488,1477.4610595703125,0.8752,0.77464,0.0,0.7676,0.5402825474739075,0.77968,0.7324090898036957,0.0,0.0,0.0,0
5,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99872040946897,6.0,6.0,5.999360204734485,6.0,6.0,11.998080614203454,12.0,12.0,0.21575576066970825,1551.431640625,0.91584,0.76648,0.0,0.2971644699573517,1523.0438232421875,0.9104,0.76764,0.0,0.77792,0.2593189775943756,0.79504,0.32584963738918304,0.0,0.0,0.0,0
6,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,0.28257906436920166,1572.1607666015625,0.94336,0.77132,0.0,0.07727944850921631,1478.2235107421875,0.94056,0.78096,0.0,0.78296,0.7120071649551392,0.79844,0.8286796510219574,0.0,0.0,0.0,0
7,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,0.043850719928741455,1521.22021484375,0.9672,0.78172,0.0,0.24040944874286652,1513.356201171875,0.96232,0.78828,0.0,0.78216,0.3695918023586273,0.80036,0.3490453213453293,0.0,0.0,0.0,0
8,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,0.3215984106063843,1567.2132568359375,0.98296,0.78284,0.0,0.08520512282848358,1630.75048828125,0.98016,0.786,0.0,0.78688,0.33375462889671326,0.80432,0.4599468261003494,0.0,0.0,0.0,0
9,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99616122840691,6.0,6.0,11.99616122840691,12.0,12.0,0.01992332935333252,1638.2769775390625,0.9904,0.78648,0.0,0.060506224632263184,1730.172607421875,0.98984,0.78428,0.0,0.78544,0.24492251873016357,0.80476,0.2622162029147148,0.0,0.0,0.0,0
10,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99872040946897,6.0,6.0,5.99616122840691,6.0,6.0,11.99488163787588,12.0,12.0,0.04094836115837097,2039.2945556640625,0.99616,0.76376,0.0,0.02733173966407776,1781.166748046875,0.99488,0.78928,0.0,0.77624,0.3163934350013733,0.79844,0.3877343535423279,0.0,0.0,0.0,0
11,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,5.998080614203455,6.0,6.0,11.99744081893794,12.0,12.0,0.004777580499649048,1912.865478515625,0.99872,0.7826,0.0,0.003924936056137085,1913.1888427734375,0.99824,0.7904,0.0,0.78684,0.30197298526763916,0.80756,0.5152715742588043,0.0,0.0,0.0,0
12,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,5.999360204734485,6.0,6.0,11.99872040946897,12.0,12.0,0.011892914772033691,2013.263916015625,0.99952,0.78208,0.0,0.016113609075546265,2064.69091796875,0.99976,0.79204,0.0,0.79036,0.011836379766464233,0.81124,0.05174550414085388,0.0,0.0,0.0,0
13,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,0.002957254648208618,2094.1513671875,0.99992,0.78588,0.0,0.0018014907836914062,2168.180908203125,0.99984,0.79064,0.0,0.78932,0.714897096157074,0.81072,0.620805524289608,0.0,0.0,0.0,0
14,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,0.0016666054725646973,2242.46240234375,1.0,0.78436,0.0,0.0005573630332946777,2295.89990234375,0.99992,0.78964,0.0,0.7898,0.05728870630264282,0.80924,0.09454941749572754,0.0,0.0,0.0,0
15,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.0014635920524597168,2244.15087890625,1.0,0.78336,0.0,0.0023078322410583496,2394.856201171875,0.99992,0.7898,0.0,0.7916,0.3316040635108948,0.80832,0.5364384353160858,0.0,0.0,0.0,0
16,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.0010896623134613037,2481.059326171875,1.0,0.78316,0.0,0.006871670484542847,2471.311767578125,1.0,0.7866,0.0,0.79296,0.36143216490745544,0.80736,0.4079058989882469,0.0,0.0,0.0,0
17,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.004135221242904663,2619.424560546875,1.0,0.77776,0.0,0.00015151500701904297,2713.82958984375,1.0,0.78552,0.0,0.79028,1.2260022163391113,0.81004,1.13456529378891,0.0,0.0,0.0,0
18,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,5.99872040946897,6.0,6.0,11.998080614203454,12.0,12.0,0.0009236931800842285,2581.2900390625,1.0,0.78696,0.0,0.0009745359420776367,2630.944091796875,1.0,0.78948,0.0,0.7904,0.3164716958999634,0.81084,0.28381139039993286,0.0,0.0,0.0,0
19,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,0.0001825094223022461,2703.249267578125,1.0,0.78992,0.0,8.314847946166992e-05,2835.4404296875,0.99976,0.78756,0.0,0.7908,0.029975682497024536,0.8094,0.16826573014259338,0.0,0.0,0.0,0
