,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,test_acc_avg
0,0,dsgd,1e-05,32,1.14400315284729,2.1232621669769287,0.6224156692056583,0.7594,1.3283841609954834,2.1232621669769287,0.4887770371378044,0.7594,0.7594
1,1,dsgd,1e-05,32,0.28395867347717285,1.3170228004455566,0.8351809031556039,0.8392,0.4991614520549774,1.3170228004455566,0.7613589987756768,0.8392,0.8392
2,2,dsgd,1e-05,32,0.06014561653137207,1.0068128108978271,0.876598204570185,0.8663,0.33304306864738464,1.0068128108978271,0.8215208815127194,0.8663,0.8663
3,3,dsgd,1e-05,32,0.0120200514793396,0.8311108350753784,0.8960486942328618,0.883,0.24481293559074402,0.8311108350753784,0.8536593660726431,0.883,0.883
4,4,dsgd,1e-05,32,0.010311275720596313,0.7151979207992554,0.9084602829162133,0.8932,0.21417704224586487,0.7151979207992554,0.8715820976737859,0.8932,0.8932
5,5,dsgd,1e-05,32,0.006962239742279053,0.631209671497345,0.9176414581066377,0.9023,0.20036058127880096,0.631209671497345,0.8850836620867909,0.9023,0.9023
6,6,dsgd,1e-05,32,0.004585891962051392,0.5677607655525208,0.9254964635473341,0.9087,0.1961083710193634,0.5677607655525208,0.8966127057543192,0.9087,0.9087
7,7,dsgd,1e-05,32,0.0016106963157653809,0.5187271237373352,0.9325693688792165,0.915,0.19497178494930267,0.5187271237373352,0.9056931029791865,0.915,0.915
8,8,dsgd,1e-05,32,0.0005282461643218994,0.47921231389045715,0.938282100108814,0.9196,0.19783835113048553,0.47921231389045715,0.9138212488096857,0.9196,0.9196
9,9,dsgd,1e-05,32,0.00031501054763793945,0.44653382897377014,0.9434167573449401,0.9246,0.20099712908267975,0.44653382897377014,0.9215072779213712,0.9246,0.9246
10,10,dsgd,1e-05,32,0.00020053982734680176,0.41997626423835754,0.9472932535364527,0.9274,0.2020949423313141,0.41997626423835754,0.9273568222010611,0.9274,0.9274
11,11,dsgd,1e-05,32,0.00014656782150268555,0.3974800705909729,0.9513397714907508,0.9301,0.19795621931552887,0.3974800705909729,0.9330363215888995,0.9301,0.9301
12,12,dsgd,1e-05,32,0.0001382380723953247,0.3783711791038513,0.9555563112078346,0.9331,0.1931827962398529,0.3783711791038513,0.9377295606039995,0.9331,0.9331
13,13,dsgd,1e-05,32,0.00016675889492034912,0.3624275028705597,0.9588887377584331,0.9353,0.17711201310157776,0.3624275028705597,0.9427628894028023,0.9353,0.9353
14,14,dsgd,1e-05,32,0.0002052783966064453,0.3480759859085083,0.9622891730141458,0.9368,0.16166117787361145,0.3480759859085083,0.9467079308937559,0.9368,0.9368
15,15,dsgd,1e-05,32,0.000250011682510376,0.3359147906303406,0.9644994559303591,0.938,0.14921605587005615,0.3359147906303406,0.9502108556658958,0.938,0.938
16,16,dsgd,1e-05,32,0.0003132820129394531,0.32472923398017883,0.9669137649619152,0.9394,0.13621029257774353,0.32472923398017883,0.9538838253298871,0.9394,0.9394
17,17,dsgd,1e-05,32,0.0003891885280609131,0.31493234634399414,0.9693280739934712,0.941,0.12326765060424805,0.31493234634399414,0.9563664807509182,0.941,0.941
18,18,dsgd,1e-05,32,0.0005242675542831421,0.30649951100349426,0.9713343307943417,0.9423,0.10800480842590332,0.30649951100349426,0.9595633247177254,0.9423,0.9423
19,19,dsgd,1e-05,32,0.0005833655595779419,0.2992241382598877,0.9730005440696409,0.9434,0.09378273785114288,0.2992241382598877,0.962556114814311,0.9434,0.9434
20,20,dsgd,1e-05,32,0.000692710280418396,0.2924483120441437,0.9750748095756256,0.9441,0.08206123113632202,0.2924483120441437,0.9645966535165283,0.9441,0.9441
21,21,dsgd,1e-05,32,0.0008410662412643433,0.2868449091911316,0.9771150707290533,0.9452,0.07072850316762924,0.2868449091911316,0.9670452999591892,0.9452,0.9452
22,22,dsgd,1e-05,32,0.0010588914155960083,0.2820207178592682,0.9788832970620239,0.9462,0.06056094169616699,0.2820207178592682,0.9696299823153313,0.9462,0.9462
