,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,test_acc_avg
0,0,edad,1e-05,32,1.1440030336380005,2.1232621669769287,0.6224156692056583,0.7594,1.3283835649490356,2.1232621669769287,0.4887770371378044,0.7594,0.7594
1,1,edad,1e-05,32,0.2839587330818176,1.3170228004455566,0.8351809031556039,0.8392,0.4991613030433655,1.3170228004455566,0.7613589987756768,0.8392,0.8392
2,2,edad,1e-05,32,0.06014573574066162,1.0068129301071167,0.876598204570185,0.8663,0.33304327726364136,1.0068129301071167,0.8215208815127194,0.8663,0.8663
3,3,edad,1e-05,32,0.012019991874694824,0.831110954284668,0.8960486942328618,0.883,0.24481269717216492,0.831110954284668,0.8536593660726431,0.883,0.883
4,4,edad,1e-05,32,0.010311275720596313,0.7151979207992554,0.9084602829162133,0.8932,0.21417687833309174,0.7151979207992554,0.8715820976737859,0.8932,0.8932
5,5,edad,1e-05,32,0.006962239742279053,0.631209671497345,0.9176414581066377,0.9023,0.2003605216741562,0.631209671497345,0.8850836620867909,0.9023,0.9023
6,6,edad,1e-05,32,0.004585891962051392,0.5677607655525208,0.9254964635473341,0.9087,0.19610847532749176,0.5677607655525208,0.8966127057543192,0.9087,0.9087
7,7,edad,1e-05,32,0.0016106367111206055,0.5187271237373352,0.9325693688792165,0.915,0.19497181475162506,0.5187271237373352,0.9056931029791865,0.915,0.915
8,8,edad,1e-05,32,0.0005282461643218994,0.47921231389045715,0.938282100108814,0.9196,0.19783838093280792,0.47921231389045715,0.9138212488096857,0.9196,0.9196
9,9,edad,1e-05,32,0.00031501054763793945,0.44653382897377014,0.9434167573449401,0.9246,0.20099712908267975,0.44653382897377014,0.9215072779213712,0.9246,0.9246
10,10,edad,1e-05,32,0.00020053982734680176,0.41997626423835754,0.9472932535364527,0.9274,0.2020949423313141,0.41997626423835754,0.9273568222010611,0.9274,0.9274
11,11,edad,1e-05,32,0.00014656782150268555,0.3974800705909729,0.9513397714907508,0.9301,0.19795621931552887,0.3974800705909729,0.9330363215888995,0.9301,0.9301
12,12,edad,1e-05,32,0.0001382380723953247,0.3783711791038513,0.9555563112078346,0.9331,0.19318269193172455,0.3783711791038513,0.9377295606039995,0.9331,0.9331
13,13,edad,1e-05,32,0.00016675889492034912,0.3624274730682373,0.9588887377584331,0.9353,0.17711205780506134,0.3624274730682373,0.9427628894028023,0.9353,0.9353
14,14,edad,1e-05,32,0.0002052783966064453,0.3480759561061859,0.9622891730141458,0.9368,0.16166111826896667,0.3480759561061859,0.9467079308937559,0.9368,0.9368
