,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,train_loss_site_2,test_loss_site_2,train_acc_site_2,test_acc_site_2,test_acc_avg
0,0,edad,1e-05,32,5.950498580932617,2.9704205989837646,0.5283985102420856,0.687,4.096560955047607,2.9704205989837646,0.4458995401897445,0.687,4.0192694664001465,2.9704205989837646,0.4065409683426443,0.687,0.687
1,1,edad,1e-05,32,3.218878984451294,1.7730046510696411,0.7807262569832403,0.7967,2.668264389038086,1.7730046510696411,0.748850474361213,0.7967,2.7600367069244385,1.7730046510696411,0.6987895716945997,0.7967,0.7967
2,2,edad,1e-05,32,2.1103744506835938,1.3370954990386963,0.8375814711359404,0.8375,2.242520809173584,1.3370954990386963,0.820499388859787,0.8375,2.232954502105713,1.3370954990386963,0.7749650837988827,0.8375,0.8375
3,3,edad,1e-05,32,1.5717118978500366,1.0999618768692017,0.8652816573556797,0.8604,2.0006377696990967,1.0999618768692017,0.855072463768116,0.8604,1.961726188659668,1.0999618768692017,0.8116852886405959,0.8604,0.8604
4,4,edad,1e-05,32,1.231199026107788,0.9463184475898743,0.8829725325884544,0.8747,1.797813057899475,0.9463184475898743,0.8794016646295326,0.8747,1.7420213222503662,0.9463184475898743,0.8332751396648045,0.8747,0.8747
5,5,edad,1e-05,32,1.0347626209259033,0.8352729678153992,0.8961243016759777,0.8851,1.6726521253585815,0.8352729678153992,0.892963156975729,0.8851,1.553297758102417,0.8352729678153992,0.8511405959031657,0.8851,0.8851
6,6,edad,1e-05,32,0.8796467781066895,0.7513642311096191,0.9028747672253259,0.8917,1.5807569026947021,0.7513642311096191,0.9035562540015133,0.8917,1.378882884979248,0.7513642311096191,0.8633030726256983,0.8917,0.8917
7,7,edad,1e-05,32,0.7620174884796143,0.6860651969909668,0.9089851024208566,0.8976,1.5118190050125122,0.6860651969909668,0.9114137710261335,0.8976,1.2394076585769653,0.6860651969909668,0.8740107076350093,0.8976,0.8976
8,8,edad,1e-05,32,0.6510646939277649,0.6330313682556152,0.9153282122905028,0.9021,1.4719550609588623,0.6330313682556152,0.9179908037948897,0.9021,1.1069984436035156,0.6330313682556152,0.8827979515828678,0.9021,0.9021
9,9,edad,1e-05,32,0.5525311827659607,0.5895797610282898,0.9205074487895717,0.9065,1.4413955211639404,0.5895797610282898,0.9243932250742098,0.9065,0.9909543991088867,0.5895797610282898,0.8910614525139665,0.9065,0.9065
10,10,edad,1e-05,32,0.47340160608291626,0.5527346730232239,0.9256284916201117,0.9102,1.4164901971817017,0.5527346730232239,0.929806181246726,0.9102,0.903247058391571,0.5527346730232239,0.8987430167597765,0.9102,0.9102
11,11,edad,1e-05,32,0.41300803422927856,0.5222318172454834,0.9291783054003724,0.9134,1.3960464000701904,0.5222318172454834,0.9341132646528142,0.9134,0.8297853469848633,0.5222318172454834,0.904562383612663,0.9134,0.9134
12,12,edad,1e-05,32,0.3538840711116791,0.4956812560558319,0.9342993482309124,0.9166,1.3720206022262573,0.4956812560558319,0.9391769978464583,0.9166,0.7680469751358032,0.4956812560558319,0.9108472998137802,0.9166,0.9166
13,13,edad,1e-05,32,0.29483357071876526,0.4727349579334259,0.9389548417132216,0.9193,1.3453055620193481,0.4727349579334259,0.9424364123159303,0.9193,0.7125622034072876,0.4727349579334259,0.9164338919925512,0.9193,0.9193
14,14,edad,1e-05,32,0.23990929126739502,0.45271968841552734,0.9438431098696461,0.9216,1.3210383653640747,0.45271968841552734,0.9453466038065305,0.9216,0.6610519289970398,0.45271968841552734,0.9206238361266295,0.9216,0.9216
15,15,edad,1e-05,32,0.19471174478530884,0.434573769569397,0.946927374301676,0.9232,1.2967242002487183,0.434573769569397,0.9480821838076946,0.9232,0.607209324836731,0.434573769569397,0.9247555865921788,0.9232,0.9232
16,16,edad,1e-05,32,0.15209171175956726,0.41887304186820984,0.9498370577281192,0.9247,1.2789298295974731,0.41887304186820984,0.9514580059367906,0.9247,0.5509458780288696,0.41887304186820984,0.9285963687150838,0.9247,0.9247
17,17,edad,1e-05,32,0.12747757136821747,0.4043870270252228,0.9522811918063314,0.928,1.2667620182037354,0.4043870270252228,0.9540771782783307,0.928,0.49487370252609253,0.4043870270252228,0.932786312849162,0.928,0.928
18,18,edad,1e-05,32,0.10403066128492355,0.3913414478302002,0.9552490689013036,0.9302,1.2493884563446045,0.3913414478302002,0.9575112042372388,0.9302,0.44121843576431274,0.3913414478302002,0.9365107076350093,0.9302,0.9302
19,19,edad,1e-05,32,0.08548994362354279,0.37936413288116455,0.9576932029795159,0.9314,1.2301499843597412,0.37936413288116455,0.9601303765787789,0.9314,0.39728760719299316,0.37936413288116455,0.9399441340782123,0.9314,0.9314
20,20,edad,1e-05,32,0.07184868305921555,0.36907169222831726,0.9605446927374302,0.9329,1.2087763547897339,0.36907169222831726,0.962982364239567,0.9329,0.3585514426231384,0.36907169222831726,0.9430283985102421,0.9329,0.9329
21,21,edad,1e-05,32,0.05504297465085983,0.3596412241458893,0.9626396648044693,0.9343,1.1851379871368408,0.3596412241458893,0.965834351900355,0.9343,0.33090415596961975,0.3596412241458893,0.9459962756052142,0.9343,0.9343
22,22,edad,1e-05,32,0.04375826567411423,0.35105645656585693,0.9651419925512105,0.9361,1.1590123176574707,0.35105645656585693,0.9686863395611431,0.9361,0.30456286668777466,0.35105645656585693,0.9492551210428305,0.9361,0.9361
23,23,edad,1e-05,32,0.03417462110519409,0.3435693681240082,0.9670041899441341,0.938,1.1357992887496948,0.3435693681240082,0.9710726965834352,0.938,0.2820712625980377,0.3435693681240082,0.9518738361266295,0.938,0.938
24,24,edad,1e-05,32,0.02685413509607315,0.33647170662879944,0.96875,0.9388,1.1100738048553467,0.33647170662879944,0.9722949770094872,0.9388,0.26420333981513977,0.33647170662879944,0.9544343575418994,0.9388,0.9388
