epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,1.1991169452667236,6.378417015075684,0.53125,0.41304347826086957,0.0,1.484328269958496,6.378417015075684,0.1875,0.41304347826086957,0.0,0.41304347826086957,1.3953779935836792,0.41304347826086957,1.3953779935836792,0.0,0.0,0.0,0
1,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,1.0704621076583862,5.805292129516602,0.6875,0.5144927536231884,0.0,1.1545255184173584,5.805292129516602,0.46875,0.5144927536231884,0.0,0.5144927536231884,1.181255578994751,0.5144927536231884,1.181255578994751,0.0,0.0,0.0,0
2,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.974608302116394,5.359640121459961,0.75,0.5942028985507246,0.0,0.9018563032150269,5.359640121459961,0.9375,0.5942028985507246,0.0,0.5942028985507246,1.0102455615997314,0.5942028985507246,1.0102455615997314,0.0,0.0,0.0,0
3,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.8937891125679016,4.9981279373168945,0.75,0.6304347826086957,0.0,0.7129068374633789,4.9981279373168945,1.0,0.6304347826086957,0.0,0.6304347826086957,0.873379111289978,0.6304347826086957,0.873379111289978,0.0,0.0,0.0,0
4,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.817373514175415,4.697201728820801,0.78125,0.6376811594202898,0.0,0.5758867859840393,4.697201728820801,1.0,0.6376811594202898,0.0,0.6376811594202898,0.768539547920227,0.6376811594202898,0.768539547920227,0.0,0.0,0.0,0
5,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.7422433495521545,4.442198276519775,0.78125,0.6594202898550725,0.0,0.4760136008262634,4.442198276519775,1.0,0.6594202898550725,0.0,0.6594202898550725,0.6862489581108093,0.6594202898550725,0.6862489581108093,0.0,0.0,0.0,0
6,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.6691271662712097,4.224351406097412,0.8125,0.6666666666666666,0.0,0.40092596411705017,4.224351406097412,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6207073926925659,0.6666666666666666,0.6207073926925659,0.0,0.0,0.0,0
7,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.5986747741699219,4.035661220550537,0.875,0.6739130434782609,0.0,0.34347301721572876,4.035661220550537,1.0,0.6739130434782609,0.0,0.6739130434782609,0.5679454207420349,0.6739130434782609,0.5679454207420349,0.0,0.0,0.0,0
8,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.5308859944343567,3.8738319873809814,0.90625,0.6811594202898551,0.0,0.2990933060646057,3.8738319873809814,1.0,0.6811594202898551,0.0,0.6811594202898551,0.524773895740509,0.6811594202898551,0.524773895740509,0.0,0.0,0.0,0
9,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.46807873249053955,3.733887195587158,0.9375,0.6956521739130435,0.0,0.26347726583480835,3.733887195587158,1.0,0.6956521739130435,0.0,0.6956521739130435,0.48582878708839417,0.6956521739130435,0.48582878708839417,0.0,0.0,0.0,0
10,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.41122251749038696,3.613248109817505,0.9375,0.7028985507246377,0.0,0.2335401028394699,3.613248109817505,1.0,0.7028985507246377,0.0,0.7028985507246377,0.44868868589401245,0.7028985507246377,0.44868868589401245,0.0,0.0,0.0,0
11,dsgd,0.0001,32,2,5,gru,tapnet-Epilepsy,8,10,0.3610861599445343,3.5073235034942627,1.0,0.717391304347826,0.0,0.20679493248462677,3.5073235034942627,1.0,0.717391304347826,0.0,0.717391304347826,0.4112716317176819,0.717391304347826,0.4112716317176819,0.0,0.0,0.0,0
