epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.7175489068031311,5.13122034072876,0.40625,0.33658536585365856,0.0,0.6682678461074829,5.13122034072876,0.5625,0.33658536585365856,0.0,0.33658536585365856,0.7919763922691345,0.33658536585365856,0.7919763922691345,0.0,0.0,0.0,0
1,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.5265264511108398,5.064927577972412,0.96875,0.35609756097560974,0.0,0.7028518319129944,5.064927577972412,0.375,0.35609756097560974,0.0,0.35609756097560974,0.7813053131103516,0.35609756097560974,0.7813053131103516,0.0,0.0,0.0,0
2,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.4892962872982025,4.932370185852051,0.96875,0.4097560975609756,0.0,0.6296401023864746,4.932370185852051,0.65625,0.4097560975609756,0.0,0.4097560975609756,0.7484443187713623,0.4097560975609756,0.7484443187713623,0.0,0.0,0.0,0
3,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.47932979464530945,4.891275405883789,0.96875,0.4634146341463415,0.0,0.5548585653305054,4.891275405883789,0.8125,0.4634146341463415,0.0,0.4634146341463415,0.7408079504966736,0.4634146341463415,0.7408079504966736,0.0,0.0,0.0,0
4,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.45379748940467834,4.943912029266357,0.96875,0.44878048780487806,0.0,0.5088954567909241,4.943912029266357,0.84375,0.44878048780487806,0.0,0.44878048780487806,0.7612844109535217,0.44878048780487806,0.7612844109535217,0.0,0.0,0.0,0
5,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.409755676984787,5.037588119506836,0.96875,0.43902439024390244,0.0,0.4863211512565613,5.037588119506836,0.84375,0.43902439024390244,0.0,0.43902439024390244,0.7923308610916138,0.43902439024390244,0.7923308610916138,0.0,0.0,0.0,0
6,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.3660471737384796,5.0993194580078125,0.96875,0.4292682926829268,0.0,0.46949195861816406,5.0993194580078125,0.9375,0.4292682926829268,0.0,0.4292682926829268,0.8124215602874756,0.4292682926829268,0.8124215602874756,0.0,0.0,0.0,0
7,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.334949791431427,5.096223831176758,0.96875,0.4634146341463415,0.0,0.4450128972530365,5.096223831176758,0.9375,0.4634146341463415,0.0,0.4634146341463415,0.8118733167648315,0.4634146341463415,0.8118733167648315,0.0,0.0,0.0,0
8,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.3163212239742279,5.0649733543396,0.96875,0.47317073170731705,0.0,0.4111921191215515,5.0649733543396,0.96875,0.47317073170731705,0.0,0.47317073170731705,0.8000624775886536,0.47317073170731705,0.8000624775886536,0.0,0.0,0.0,0
9,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.30347293615341187,5.05602502822876,0.96875,0.4975609756097561,0.0,0.37475886940956116,5.05602502822876,1.0,0.4975609756097561,0.0,0.4975609756097561,0.7933064699172974,0.4975609756097561,0.7933064699172974,0.0,0.0,0.0,0
10,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.28906044363975525,5.107206344604492,0.96875,0.5073170731707317,0.0,0.3435860276222229,5.107206344604492,1.0,0.5073170731707317,0.0,0.5073170731707317,0.8056519031524658,0.5073170731707317,0.8056519031524658,0.0,0.0,0.0,0
11,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.2679397761821747,5.210997104644775,0.96875,0.48292682926829267,0.0,0.3214375972747803,5.210997104644775,1.0,0.48292682926829267,0.0,0.48292682926829267,0.8348103165626526,0.48292682926829267,0.8348103165626526,0.0,0.0,0.0,0
12,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.24318139255046844,5.327549934387207,0.96875,0.4878048780487805,0.0,0.3054606020450592,5.327549934387207,1.0,0.4878048780487805,0.0,0.4878048780487805,0.867027997970581,0.4878048780487805,0.867027997970581,0.0,0.0,0.0,0
13,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.2204715460538864,5.408034324645996,0.96875,0.4975609756097561,0.0,0.29003793001174927,5.408034324645996,1.0,0.4975609756097561,0.0,0.4975609756097561,0.8858097791671753,0.4975609756097561,0.8858097791671753,0.0,0.0,0.0,0
14,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.20349517464637756,5.446779251098633,0.96875,0.5073170731707317,0.0,0.2709862291812897,5.446779251098633,1.0,0.5073170731707317,0.0,0.5073170731707317,0.8897942900657654,0.5073170731707317,0.8897942900657654,0.0,0.0,0.0,0
15,dsgd,0.0001,32,1,5,gru,tapnet-Heartbeat,8,10,0.191299170255661,5.468422889709473,0.96875,0.5219512195121951,0.0,0.24906492233276367,5.468422889709473,1.0,0.5219512195121951,0.0,0.5219512195121951,0.8873131275177002,0.5219512195121951,0.8873131275177002,0.0,0.0,0.0,0
