epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.6858841180801392,10.145197868347168,0.359375,0.2833333333333333,0.0,1.8879753351211548,10.145197868347168,0.078125,0.2833333333333333,0.0,0.2833333333333333,1.6514921188354492,0.2833333333333333,1.6514921188354492,0.0,0.0,0.0,0
1,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.580906629562378,9.464493751525879,0.40625,0.3611111111111111,0.0,1.7096526622772217,9.464493751525879,0.28125,0.3611111111111111,0.0,0.3611111111111111,1.5616859197616577,0.3611111111111111,1.5616859197616577,0.0,0.0,0.0,0
2,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.495874047279358,8.890774726867676,0.484375,0.5611111111111111,0.0,1.5617526769638062,8.890774726867676,0.578125,0.5611111111111111,0.0,0.5611111111111111,1.4803733825683594,0.5611111111111111,1.4803733825683594,0.0,0.0,0.0,0
3,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.429404377937317,8.357832908630371,0.515625,0.6166666666666667,0.0,1.4246759414672852,8.357832908630371,0.765625,0.6166666666666667,0.0,0.6166666666666667,1.403228521347046,0.6166666666666667,1.403228521347046,0.0,0.0,0.0,0
4,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.3739519119262695,7.824228286743164,0.53125,0.6666666666666666,0.0,1.286371111869812,7.824228286743164,0.859375,0.6666666666666666,0.0,0.6666666666666666,1.3210065364837646,0.6666666666666666,1.3210065364837646,0.0,0.0,0.0,0
5,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.3248056173324585,7.286648273468018,0.59375,0.6777777777777778,0.0,1.1428344249725342,7.286648273468018,0.890625,0.6777777777777778,0.0,0.6777777777777778,1.232002854347229,0.6777777777777778,1.232002854347229,0.0,0.0,0.0,0
6,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.28020179271698,6.7618889808654785,0.65625,0.7055555555555556,0.0,1.0013914108276367,6.7618889808654785,0.921875,0.7055555555555556,0.0,0.7055555555555556,1.1433435678482056,0.7055555555555556,1.1433435678482056,0.0,0.0,0.0,0
7,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.240986943244934,6.271241188049316,0.65625,0.7277777777777777,0.0,0.8672512173652649,6.271241188049316,0.921875,0.7277777777777777,0.0,0.7277777777777777,1.0579510927200317,0.7277777777777777,1.0579510927200317,0.0,0.0,0.0,0
8,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.2042945623397827,5.82551383972168,0.71875,0.7388888888888889,0.0,0.7481245994567871,5.82551383972168,0.953125,0.7388888888888889,0.0,0.7388888888888889,0.9781771898269653,0.7388888888888889,0.9781771898269653,0.0,0.0,0.0,0
9,dsgd,0.0001,32,2,5,gru,tapnet-NATOPS,8,10,1.1675291061401367,5.424720287322998,0.65625,0.7444444444444445,0.0,0.6475831866264343,5.424720287322998,0.96875,0.7444444444444445,0.0,0.7444444444444445,0.905193030834198,0.7444444444444445,0.905193030834198,0.0,0.0,0.0,0
