epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.7885202169418335,117.57405853271484,0.6440972222222222,0.44986072423398327,0.0,0.7285467982292175,122.88826751708984,0.6896551724137931,0.42618384401114207,0.0,0.7360724233983287,0.8826395273208618,0.7597493036211699,2.23392117023468,0.0,0.0,0.0,0
1,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.3737998604774475,149.72897338867188,0.9149305555555556,0.4742339832869081,0.0,0.11399146169424057,160.542236328125,0.9056261343012704,0.45403899721448465,0.0,0.8133704735376045,0.5204206109046936,0.8370473537604457,2.9422846264205873,0.0,0.0,0.0,0
2,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.2517852783203125,169.3090362548828,0.9583333333333334,0.4958217270194986,0.0,0.03937298804521561,182.62474060058594,0.9618874773139746,0.4637883008356546,0.0,0.8342618384401114,0.4794917404651642,0.8816155988857939,3.5094553232192993,0.0,0.0,0.0,0
3,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.16531719267368317,179.86558532714844,0.9791666666666666,0.5034818941504178,0.0,0.023395266383886337,193.1824951171875,0.9745916515426497,0.4672701949860724,0.0,0.834958217270195,0.4602196216583252,0.8941504178272981,3.8831023063976318,0.0,0.0,0.0,0
4,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.10569043457508087,187.5703887939453,0.9861111111111112,0.5055710306406686,0.0,0.014573301188647747,200.39903259277344,0.985480943738657,0.4700557103064067,0.0,0.8377437325905293,0.42607054114341736,0.8962395543175488,4.108980459859595,0.0,0.0,0.0,0
5,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.07008551061153412,194.06089782714844,0.9895833333333334,0.5062674094707521,0.0,0.010697909630835056,206.54177856445312,0.9963702359346642,0.46935933147632314,0.0,0.8391364902506964,0.3973005712032318,0.9025069637883009,4.30489663570188,0.0,0.0,0.0,0
6,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.05214279890060425,199.5286102294922,0.9930555555555556,0.5090529247910863,0.0,0.008191040717065334,212.1385955810547,0.9963702359346642,0.4700557103064067,0.0,0.8391364902506964,0.37577909231185913,0.9059888579387186,4.500787854194641,0.0,0.0,0.0,0
7,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.04211430251598358,204.4164276123047,0.9947916666666666,0.5097493036211699,0.0,0.006242820061743259,217.20497131347656,1.0,0.4700557103064067,0.0,0.8426183844011143,0.3576635718345642,0.9108635097493036,4.679231822490692,0.0,0.0,0.0,0
8,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.03361368179321289,208.92601013183594,0.9965277777777778,0.5104456824512534,0.0,0.004981313366442919,221.70327758789062,1.0,0.4700557103064067,0.0,0.841225626740947,0.34595808386802673,0.9143454038997214,4.829757988452911,0.0,0.0,0.0,0
9,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.027888596057891846,213.0183563232422,0.9965277777777778,0.5104456824512534,0.0,0.00399834755808115,225.64971923828125,1.0,0.4700557103064067,0.0,0.8419220055710307,0.33402714133262634,0.9143454038997214,4.9558045864105225,0.0,0.0,0.0,0
10,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.023976877331733704,216.73263549804688,0.9982638888888888,0.5118384401114207,0.0,0.0033039364498108625,229.217529296875,1.0,0.47075208913649025,0.0,0.841225626740947,0.3239782154560089,0.9157381615598886,5.065114949422423,0.0,0.0,0.0,0
11,noshare,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,8,10,0.02060145139694214,220.0688934326172,0.9982638888888888,0.5132311977715878,0.0,0.0027837753295898438,232.5790557861328,1.0,0.47075208913649025,0.0,0.8419220055710307,0.314497709274292,0.9171309192200557,5.168357295624446,0.0,0.0,0.0,0
