epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,1.8486149311065674,11.698102951049805,0.24347826086956523,0.17341040462427745,0.0,1.8610608577728271,11.704886436462402,0.22448979591836735,0.12138728323699421,0.0,0.23121387283236994,1.9457157850265503,0.2254335260115607,1.9534696340560913,0.0,0.0,0.0,0
1,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,1.7061512470245361,11.865053176879883,0.3652173913043478,0.1329479768786127,0.0,1.6618702411651611,11.890707969665527,0.3469387755102041,0.12138728323699421,0.0,0.24855491329479767,1.9360103607177734,0.23121387283236994,1.9844723343849182,0.0,0.0,0.0,0
2,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,1.525596261024475,12.64766788482666,0.3130434782608696,0.1329479768786127,0.0,1.4075075387954712,12.603618621826172,0.336734693877551,0.12138728323699421,0.0,0.23699421965317918,1.925973653793335,0.24277456647398843,2.115427017211914,0.0,0.0,0.0,0
3,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,1.3665835857391357,14.492427825927734,0.3130434782608696,0.1329479768786127,0.0,1.1448585987091064,14.451370239257812,0.336734693877551,0.15606936416184972,0.0,0.23699421965317918,1.9132107496261597,0.24855491329479767,2.4308156967163086,0.0,0.0,0.0,0
4,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,1.2537014484405518,16.863666534423828,0.3130434782608696,0.2138728323699422,0.0,0.9627249836921692,17.45058250427246,0.45918367346938777,0.27167630057803466,0.0,0.24277456647398843,1.8896453380584717,0.30057803468208094,2.8730266094207764,0.0,0.0,0.0,0
5,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,1.163232445716858,19.24308204650879,0.5043478260869565,0.3063583815028902,0.0,0.8831474781036377,20.888004302978516,0.6428571428571429,0.2658959537572254,0.0,0.24855491329479767,1.8611913919448853,0.2774566473988439,3.3415560722351074,0.0,0.0,0.0,0
6,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,1.081342339515686,21.752790451049805,0.5304347826086957,0.3063583815028902,0.0,0.8471018075942993,24.271820068359375,0.6122448979591837,0.27167630057803466,0.0,0.2658959537572254,1.8374568223953247,0.3872832369942196,3.825654625892639,0.0,0.0,0.0,0
7,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,0.9992661476135254,24.077442169189453,0.5304347826086957,0.3063583815028902,0.0,0.7855556011199951,27.32482147216797,0.6938775510204082,0.28901734104046245,0.0,0.2658959537572254,1.8181742429733276,0.4277456647398844,4.274622440338135,0.0,0.0,0.0,0
8,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,0.9306894540786743,26.29903793334961,0.5391304347826087,0.3063583815028902,0.0,0.6995165348052979,30.007171630859375,0.7653061224489796,0.28901734104046245,0.0,0.2658959537572254,1.7970435619354248,0.36416184971098264,4.676743507385254,0.0,0.0,0.0,0
9,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,0.8846638202667236,28.338926315307617,0.5391304347826087,0.3236994219653179,0.0,0.6256201267242432,32.369361877441406,0.7755102040816326,0.3179190751445087,0.0,0.2658959537572254,1.7720544338226318,0.37572254335260113,5.028443098068237,0.0,0.0,0.0,0
10,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,0.8501937389373779,30.168224334716797,0.5391304347826087,0.3063583815028902,0.0,0.5626633167266846,34.573890686035156,0.8061224489795918,0.3179190751445087,0.0,0.2658959537572254,1.7506294250488281,0.37572254335260113,5.356926918029785,0.0,0.0,0.0,0
11,noshare,0.0001,32,1,5,gru,tapnet-PEMS-SF,8,10,0.8306989073753357,31.69066047668457,0.5391304347826087,0.32947976878612717,0.0,0.4900238513946533,36.71968460083008,0.8673469387755102,0.3063583815028902,0.0,0.2658959537572254,1.7366955280303955,0.36416184971098264,5.655174255371094,0.0,0.0,0.0,0
