epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.3000869154930115,371.5830383300781,0.7836277173913043,0.4468267581475129,0.0,0.31170138716697693,401.8440856933594,0.7713404182379157,0.4311034877072613,0.0,0.6143510577472842,1.5904719829559326,0.7264150943396226,3.6389580965042114,0.0,0.0,0.0,0
1,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.12221541255712509,449.66156005859375,0.9256114130434783,0.47684391080617494,0.0,0.1368483603000641,473.7198791503906,0.9129242372300308,0.4525443110348771,0.0,0.6509433962264151,1.3579492568969727,0.7498570611778159,4.360291600227356,0.0,0.0,0.0,0
2,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.07661034166812897,492.343505859375,0.9527853260869565,0.4834190966266438,0.0,0.06480779498815536,520.9016723632812,0.9554336647240316,0.45969125214408235,0.0,0.6803887935963407,1.2428492307662964,0.7672955974842768,4.800787448883057,0.0,0.0,0.0,0
3,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.051452815532684326,520.079833984375,0.96875,0.4885648942252716,0.0,0.034894753247499466,552.9702758789062,0.9677751114158382,0.46369353916523726,0.0,0.7004002287021155,1.1686750650405884,0.7795883361921098,5.091853380203247,0.0,0.0,0.0,0
4,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.03647822141647339,543.0257568359375,0.9792798913043478,0.4908519153802173,0.0,0.019530486315488815,578.4498901367188,0.9773740143983545,0.46569468267581476,0.0,0.7089765580331618,1.1028008460998535,0.7841623785020011,5.315217018127441,0.0,0.0,0.0,0
5,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.0266038179397583,561.6436157226562,0.9823369565217391,0.4922813036020583,0.0,0.011574363335967064,598.8082275390625,0.9818306479259513,0.4665523156089194,0.0,0.7149799885648942,1.0380560159683228,0.7878787878787878,5.4855204820632935,0.0,0.0,0.0,0
6,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.020669937133789062,578.773193359375,0.9864130434782609,0.4917095483133219,0.0,0.007141781039535999,615.8407592773438,0.9856016455262255,0.46798170383076043,0.0,0.7152658662092625,0.9880759119987488,0.7915951972555746,5.630886912345886,0.0,0.0,0.0,0
7,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.01650853455066681,594.5390625,0.9894701086956522,0.4925671812464265,0.0,0.0044769286178052425,630.7001342773438,0.9880013712718546,0.46855345911949686,0.0,0.7149799885648942,0.9480819702148438,0.7964551172098342,5.754302263259888,0.0,0.0,0.0,0
8,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.013704672455787659,609.4030151367188,0.9891304347826086,0.4937106918238994,0.0,0.0028532028663903475,645.5027465820312,0.9917723688721289,0.4696969696969697,0.0,0.7184105202973128,0.9220200777053833,0.7978845054316752,5.872108697891235,0.0,0.0,0.0,0
9,noshare,0.0001,32,4,5,gru,tapnet-PenDigits,8,10,0.012047484517097473,622.9700317382812,0.990828804347826,0.4957118353344768,0.0,0.0018722533714026213,658.4229736328125,0.9931436407267741,0.4705546026300743,0.0,0.7221269296740995,0.896851658821106,0.807032590051458,5.969546437263489,0.0,0.0,0.0,0
