epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,1.4106619358062744,31.073984146118164,0.4947275922671353,0.7597493036211699,0.0,0.7597493036211699,0.3061591684818268,0.7597493036211699,0.3061591684818268,0.0,0.0,0.0,0
1,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.5212714672088623,14.218235969543457,0.8224956063268892,0.8544568245125348,0.0,0.8544568245125348,0.08748519420623779,0.8544568245125348,0.08748519420623779,0.0,0.0,0.0,0
2,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.27839377522468567,9.0704984664917,0.8998242530755711,0.9011142061281338,0.0,0.9011142061281338,0.05515296012163162,0.9011142061281338,0.05515296012163162,0.0,0.0,0.0,0
3,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.1826968789100647,6.556110382080078,0.9332161687170475,0.9303621169916435,0.0,0.9303621169916435,0.03098428249359131,0.9303621169916435,0.03098428249359131,0.0,0.0,0.0,0
4,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.12833666801452637,5.1482834815979,0.9578207381370826,0.9491643454038997,0.0,0.9491643454038997,0.020766308531165123,0.9491643454038997,0.020766308531165123,0.0,0.0,0.0,0
5,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.09265930950641632,4.2610578536987305,0.9718804920913884,0.9596100278551533,0.0,0.9596100278551533,0.015632834285497665,0.9596100278551533,0.015632834285497665,0.0,0.0,0.0,0
6,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.06994032114744186,3.6379847526550293,0.9797891036906854,0.9665738161559888,0.0,0.9665738161559888,0.012319291941821575,0.9665738161559888,0.012319291941821575,0.0,0.0,0.0,0
7,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.055113669484853745,3.198859214782715,0.9859402460456942,0.9700557103064067,0.0,0.9700557103064067,0.010410666465759277,0.9700557103064067,0.010410666465759277,0.0,0.0,0.0,0
8,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.04429583624005318,2.8668665885925293,0.9894551845342706,0.9700557103064067,0.0,0.9700557103064067,0.00882712472230196,0.9700557103064067,0.00882712472230196,0.0,0.0,0.0,0
9,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.03624340891838074,2.621042490005493,0.9903339191564148,0.9735376044568245,0.0,0.9735376044568245,0.007195251528173685,0.9735376044568245,0.007195251528173685,0.0,0.0,0.0,0
10,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.030308399349451065,2.427424669265747,0.9929701230228472,0.9735376044568245,0.0,0.9735376044568245,0.006062490399926901,0.9735376044568245,0.006062490399926901,0.0,0.0,0.0,0
11,pooled,0.0001,64,2,5,gru,tapnet-CharacterTrajectories,8,10,0.025758180767297745,2.276318073272705,0.9964850615114236,0.9763231197771588,0.0,0.9763231197771588,0.005197729449719191,0.9763231197771588,0.005197729449719191,0.0,0.0,0.0,0
