epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,1.5244786739349365,3.994551658630371,0.140625,0.4057971014492754,0.0,0.4057971014492754,1.5017428398132324,0.4057971014492754,1.5017428398132324,0.0,0.0,0.0,0
1,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,1.2520898580551147,3.47977876663208,0.4375,0.5289855072463768,0.0,0.5289855072463768,1.2088252305984497,0.5289855072463768,1.2088252305984497,0.0,0.0,0.0,0
2,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,1.046990990638733,3.087784767150879,0.734375,0.6014492753623188,0.0,0.6014492753623188,0.9743391275405884,0.6014492753623188,0.9743391275405884,0.0,0.0,0.0,0
3,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.8932253122329712,2.7879531383514404,0.90625,0.6376811594202898,0.0,0.6376811594202898,0.7915856242179871,0.6376811594202898,0.7915856242179871,0.0,0.0,0.0,0
4,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.7722549438476562,2.5539817810058594,0.890625,0.6231884057971014,0.0,0.6231884057971014,0.6510328054428101,0.6231884057971014,0.6510328054428101,0.0,0.0,0.0,0
5,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.6742519736289978,2.368968963623047,0.875,0.6304347826086957,0.0,0.6304347826086957,0.5443142056465149,0.6304347826086957,0.5443142056465149,0.0,0.0,0.0,0
6,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.5928575396537781,2.222869873046875,0.890625,0.644927536231884,0.0,0.644927536231884,0.46592846512794495,0.644927536231884,0.46592846512794495,0.0,0.0,0.0,0
7,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.522736132144928,2.105316638946533,0.90625,0.6521739130434783,0.0,0.6521739130434783,0.4089670777320862,0.6521739130434783,0.4089670777320862,0.0,0.0,0.0,0
8,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.4612157344818115,2.0095162391662598,0.921875,0.6521739130434783,0.0,0.6521739130434783,0.36821022629737854,0.6521739130434783,0.36821022629737854,0.0,0.0,0.0,0
9,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.4068910777568817,1.93143892288208,0.921875,0.6666666666666666,0.0,0.6666666666666666,0.3408252000808716,0.6666666666666666,0.3408252000808716,0.0,0.0,0.0,0
10,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.35900959372520447,1.8662000894546509,0.9375,0.6884057971014492,0.0,0.6884057971014492,0.3214506208896637,0.6884057971014492,0.3214506208896637,0.0,0.0,0.0,0
11,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.31639981269836426,1.811732292175293,0.984375,0.7028985507246377,0.0,0.7028985507246377,0.3078421950340271,0.7028985507246377,0.3078421950340271,0.0,0.0,0.0,0
12,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.27873513102531433,1.765315294265747,0.984375,0.7101449275362319,0.0,0.7101449275362319,0.2972032129764557,0.7101449275362319,0.2972032129764557,0.0,0.0,0.0,0
13,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.2456224411725998,1.7240829467773438,1.0,0.717391304347826,0.0,0.717391304347826,0.2862146496772766,0.717391304347826,0.2862146496772766,0.0,0.0,0.0,0
14,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.21659253537654877,1.6866306066513062,1.0,0.7391304347826086,0.0,0.7391304347826086,0.27294787764549255,0.7391304347826086,0.27294787764549255,0.0,0.0,0.0,0
15,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.19089466333389282,1.6511602401733398,1.0,0.7391304347826086,0.0,0.7391304347826086,0.25637489557266235,0.7391304347826086,0.25637489557266235,0.0,0.0,0.0,0
16,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.16790686547756195,1.6172899007797241,1.0,0.7318840579710145,0.0,0.7318840579710145,0.23624718189239502,0.7318840579710145,0.23624718189239502,0.0,0.0,0.0,0
17,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.147379532456398,1.5859081745147705,1.0,0.7246376811594203,0.0,0.7246376811594203,0.21444392204284668,0.7246376811594203,0.21444392204284668,0.0,0.0,0.0,0
18,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.12916579842567444,1.5577970743179321,1.0,0.7246376811594203,0.0,0.7246376811594203,0.19292175769805908,0.7246376811594203,0.19292175769805908,0.0,0.0,0.0,0
19,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.11322858929634094,1.5337966680526733,1.0,0.717391304347826,0.0,0.717391304347826,0.17303720116615295,0.717391304347826,0.17303720116615295,0.0,0.0,0.0,0
20,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.09943370521068573,1.5133801698684692,1.0,0.7246376811594203,0.0,0.7246376811594203,0.1554366797208786,0.7246376811594203,0.1554366797208786,0.0,0.0,0.0,0
21,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.08750689029693604,1.4958524703979492,1.0,0.7318840579710145,0.0,0.7318840579710145,0.1406114548444748,0.7318840579710145,0.1406114548444748,0.0,0.0,0.0,0
22,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.07715465128421783,1.4804019927978516,1.0,0.7318840579710145,0.0,0.7318840579710145,0.12845614552497864,0.7318840579710145,0.12845614552497864,0.0,0.0,0.0,0
23,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.06812172383069992,1.4665944576263428,1.0,0.7101449275362319,0.0,0.7101449275362319,0.1185169667005539,0.7101449275362319,0.1185169667005539,0.0,0.0,0.0,0
24,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.06026556342840195,1.4543979167938232,1.0,0.7318840579710145,0.0,0.7318840579710145,0.11032402515411377,0.7318840579710145,0.11032402515411377,0.0,0.0,0.0,0
25,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.05345320701599121,1.4437800645828247,1.0,0.7318840579710145,0.0,0.7318840579710145,0.10359201580286026,0.7318840579710145,0.10359201580286026,0.0,0.0,0.0,0
26,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.047555308789014816,1.4345089197158813,1.0,0.7318840579710145,0.0,0.7318840579710145,0.09785223007202148,0.7318840579710145,0.09785223007202148,0.0,0.0,0.0,0
27,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.042466696351766586,1.4266198873519897,1.0,0.7318840579710145,0.0,0.7318840579710145,0.09272251278162003,0.7318840579710145,0.09272251278162003,0.0,0.0,0.0,0
28,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.03807080164551735,1.4203689098358154,1.0,0.7318840579710145,0.0,0.7318840579710145,0.0880158394575119,0.7318840579710145,0.0880158394575119,0.0,0.0,0.0,0
29,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.03424249216914177,1.415730595588684,1.0,0.7391304347826086,0.0,0.7391304347826086,0.08340432494878769,0.7391304347826086,0.08340432494878769,0.0,0.0,0.0,0
30,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.030894208699464798,1.4125772714614868,1.0,0.7391304347826086,0.0,0.7391304347826086,0.07879579067230225,0.7391304347826086,0.07879579067230225,0.0,0.0,0.0,0
31,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.027958594262599945,1.410912275314331,1.0,0.7391304347826086,0.0,0.7391304347826086,0.07424376159906387,0.7391304347826086,0.07424376159906387,0.0,0.0,0.0,0
32,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.025372780859470367,1.4107500314712524,1.0,0.7391304347826086,0.0,0.7391304347826086,0.06979682296514511,0.7391304347826086,0.06979682296514511,0.0,0.0,0.0,0
33,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.023084532469511032,1.4120306968688965,1.0,0.7391304347826086,0.0,0.7391304347826086,0.06551313400268555,0.7391304347826086,0.06551313400268555,0.0,0.0,0.0,0
34,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.021063420921564102,1.4145922660827637,1.0,0.7391304347826086,0.0,0.7391304347826086,0.06143081188201904,0.7391304347826086,0.06143081188201904,0.0,0.0,0.0,0
35,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.019282866269350052,1.4183619022369385,1.0,0.7391304347826086,0.0,0.7391304347826086,0.05759279802441597,0.7391304347826086,0.05759279802441597,0.0,0.0,0.0,0
36,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.017707306891679764,1.4229917526245117,1.0,0.7391304347826086,0.0,0.7391304347826086,0.0540892593562603,0.7391304347826086,0.0540892593562603,0.0,0.0,0.0,0
37,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.016312964260578156,1.4283198118209839,1.0,0.7391304347826086,0.0,0.7391304347826086,0.05093793943524361,0.7391304347826086,0.05093793943524361,0.0,0.0,0.0,0
38,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.01507522165775299,1.434048056602478,1.0,0.7391304347826086,0.0,0.7391304347826086,0.04810526221990585,0.7391304347826086,0.04810526221990585,0.0,0.0,0.0,0
39,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.013977978378534317,1.4400802850723267,1.0,0.7391304347826086,0.0,0.7391304347826086,0.0455874428153038,0.7391304347826086,0.0455874428153038,0.0,0.0,0.0,0
40,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.0130007304251194,1.446092963218689,1.0,0.7391304347826086,0.0,0.7391304347826086,0.04337134212255478,0.7391304347826086,0.04337134212255478,0.0,0.0,0.0,0
41,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.012129798531532288,1.4519267082214355,1.0,0.7391304347826086,0.0,0.7391304347826086,0.04146141931414604,0.7391304347826086,0.04146141931414604,0.0,0.0,0.0,0
42,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.011351101100444794,1.4574435949325562,1.0,0.7391304347826086,0.0,0.7391304347826086,0.039775848388671875,0.7391304347826086,0.039775848388671875,0.0,0.0,0.0,0
43,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.010650292038917542,1.4626168012619019,1.0,0.7391304347826086,0.0,0.7391304347826086,0.038291312754154205,0.7391304347826086,0.038291312754154205,0.0,0.0,0.0,0
44,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.0100179985165596,1.4674582481384277,1.0,0.7391304347826086,0.0,0.7391304347826086,0.036969758570194244,0.7391304347826086,0.036969758570194244,0.0,0.0,0.0,0
45,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.0094464011490345,1.4719237089157104,1.0,0.7391304347826086,0.0,0.7391304347826086,0.03577995300292969,0.7391304347826086,0.03577995300292969,0.0,0.0,0.0,0
46,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.008928030729293823,1.4760420322418213,1.0,0.7391304347826086,0.0,0.7391304347826086,0.03471546247601509,0.7391304347826086,0.03471546247601509,0.0,0.0,0.0,0
47,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.008456084877252579,1.4798436164855957,1.0,0.7391304347826086,0.0,0.7391304347826086,0.03375701978802681,0.7391304347826086,0.03375701978802681,0.0,0.0,0.0,0
48,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.008025690913200378,1.4833307266235352,1.0,0.7391304347826086,0.0,0.7391304347826086,0.03288569301366806,0.7391304347826086,0.03288569301366806,0.0,0.0,0.0,0
49,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.0076331570744514465,1.4865660667419434,1.0,0.7391304347826086,0.0,0.7391304347826086,0.032071638852357864,0.7391304347826086,0.032071638852357864,0.0,0.0,0.0,0
50,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.0072748735547065735,1.4896186590194702,1.0,0.7391304347826086,0.0,0.7391304347826086,0.03132343292236328,0.7391304347826086,0.03132343292236328,0.0,0.0,0.0,0
51,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.006947163492441177,1.4924689531326294,1.0,0.7391304347826086,0.0,0.7391304347826086,0.03063330613076687,0.7391304347826086,0.03063330613076687,0.0,0.0,0.0,0
52,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.00664554163813591,1.4951766729354858,1.0,0.7391304347826086,0.0,0.7391304347826086,0.02997717820107937,0.7391304347826086,0.02997717820107937,0.0,0.0,0.0,0
53,pooled,0.0001,64,4,5,gru,tapnet-Epilepsy,8,10,0.0063683874905109406,1.4978282451629639,1.0,0.7391304347826086,0.0,0.7391304347826086,0.0293457992374897,0.7391304347826086,0.0293457992374897,0.0,0.0,0.0,0
