epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.7299011945724487,2.4715757369995117,0.640625,0.7219512195121951,0.0,0.7219512195121951,0.4475335478782654,0.7219512195121951,0.4475335478782654,0.0,0.0,0.0,0
1,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.653632402420044,2.491790771484375,0.703125,0.7170731707317073,0.0,0.7170731707317073,0.5337852239608765,0.7170731707317073,0.5337852239608765,0.0,0.0,0.0,0
2,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.5923685431480408,2.5447802543640137,0.78125,0.7317073170731707,0.0,0.7317073170731707,0.5957753658294678,0.7317073170731707,0.5957753658294678,0.0,0.0,0.0,0
3,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.5481884479522705,2.481645107269287,0.8359375,0.7219512195121951,0.0,0.7219512195121951,0.5413774251937866,0.7219512195121951,0.5413774251937866,0.0,0.0,0.0,0
4,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.5123716592788696,2.441710948944092,0.8359375,0.7317073170731707,0.0,0.7317073170731707,0.4711861312389374,0.7317073170731707,0.4711861312389374,0.0,0.0,0.0,0
5,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.4818992614746094,2.447868824005127,0.828125,0.7219512195121951,0.0,0.7219512195121951,0.4649936556816101,0.7219512195121951,0.4649936556816101,0.0,0.0,0.0,0
6,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.442017525434494,2.47100830078125,0.8515625,0.7024390243902439,0.0,0.7024390243902439,0.5053862929344177,0.7024390243902439,0.5053862929344177,0.0,0.0,0.0,0
7,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.4077187776565552,2.484851360321045,0.859375,0.7024390243902439,0.0,0.7024390243902439,0.5145448446273804,0.7024390243902439,0.5145448446273804,0.0,0.0,0.0,0
8,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.37624144554138184,2.482693910598755,0.890625,0.7073170731707317,0.0,0.7073170731707317,0.4667145609855652,0.7073170731707317,0.4667145609855652,0.0,0.0,0.0,0
9,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.34911301732063293,2.4990899562835693,0.8828125,0.7073170731707317,0.0,0.7073170731707317,0.4293839633464813,0.7073170731707317,0.4293839633464813,0.0,0.0,0.0,0
10,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.3210151493549347,2.5131731033325195,0.90625,0.7121951219512195,0.0,0.7121951219512195,0.4434152841567993,0.7121951219512195,0.4434152841567993,0.0,0.0,0.0,0
11,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.29273614287376404,2.536360502243042,0.9375,0.7024390243902439,0.0,0.7024390243902439,0.46427828073501587,0.7024390243902439,0.46427828073501587,0.0,0.0,0.0,0
12,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.26782846450805664,2.5622832775115967,0.96875,0.7170731707317073,0.0,0.7170731707317073,0.4424942433834076,0.7170731707317073,0.4424942433834076,0.0,0.0,0.0,0
13,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.24541394412517548,2.602351427078247,0.96875,0.7073170731707317,0.0,0.7073170731707317,0.40590593218803406,0.7073170731707317,0.40590593218803406,0.0,0.0,0.0,0
14,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.22458282113075256,2.641319751739502,0.96875,0.7024390243902439,0.0,0.7024390243902439,0.4026050567626953,0.7024390243902439,0.4026050567626953,0.0,0.0,0.0,0
15,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.20356382429599762,2.6769261360168457,0.9765625,0.6878048780487804,0.0,0.6878048780487804,0.4184969663619995,0.6878048780487804,0.4184969663619995,0.0,0.0,0.0,0
16,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.18491798639297485,2.7227931022644043,0.9765625,0.6926829268292682,0.0,0.6926829268292682,0.407690167427063,0.6926829268292682,0.407690167427063,0.0,0.0,0.0,0
17,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.16856150329113007,2.782630443572998,0.9765625,0.6829268292682927,0.0,0.6829268292682927,0.37526562809944153,0.6829268292682927,0.37526562809944153,0.0,0.0,0.0,0
18,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.15381021797657013,2.8368489742279053,0.9765625,0.6878048780487804,0.0,0.6878048780487804,0.3643238842487335,0.6878048780487804,0.3643238842487335,0.0,0.0,0.0,0
19,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.1392686516046524,2.8795673847198486,0.984375,0.6780487804878049,0.0,0.6780487804878049,0.3745555281639099,0.6780487804878049,0.3745555281639099,0.0,0.0,0.0,0
20,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.12620627880096436,2.9356837272644043,0.984375,0.6780487804878049,0.0,0.6780487804878049,0.3667556643486023,0.6780487804878049,0.3667556643486023,0.0,0.0,0.0,0
21,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.11463091522455215,3.0094099044799805,0.984375,0.6780487804878049,0.0,0.6780487804878049,0.3374878168106079,0.6780487804878049,0.3374878168106079,0.0,0.0,0.0,0
22,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.10435651987791061,3.082226037979126,0.984375,0.6829268292682927,0.0,0.6829268292682927,0.31742212176322937,0.6829268292682927,0.31742212176322937,0.0,0.0,0.0,0
23,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.09467457234859467,3.1374433040618896,0.9921875,0.6878048780487804,0.0,0.6878048780487804,0.3150329291820526,0.6878048780487804,0.3150329291820526,0.0,0.0,0.0,0
24,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.0857575535774231,3.2024893760681152,1.0,0.6878048780487804,0.0,0.6878048780487804,0.30860984325408936,0.6878048780487804,0.30860984325408936,0.0,0.0,0.0,0
25,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.07770619541406631,3.2908103466033936,1.0,0.6829268292682927,0.0,0.6829268292682927,0.28701847791671753,0.6829268292682927,0.28701847791671753,0.0,0.0,0.0,0
26,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.07039971649646759,3.3884596824645996,1.0,0.6829268292682927,0.0,0.6829268292682927,0.2643253207206726,0.6829268292682927,0.2643253207206726,0.0,0.0,0.0,0
27,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.06385023891925812,3.4696786403656006,1.0,0.6829268292682927,0.0,0.6829268292682927,0.2542765438556671,0.6829268292682927,0.2542765438556671,0.0,0.0,0.0,0
28,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.057869575917720795,3.5398128032684326,1.0,0.6829268292682927,0.0,0.6829268292682927,0.24990063905715942,0.6829268292682927,0.24990063905715942,0.0,0.0,0.0,0
29,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.05253174528479576,3.6269445419311523,1.0,0.7024390243902439,0.0,0.7024390243902439,0.2375812530517578,0.7024390243902439,0.2375812530517578,0.0,0.0,0.0,0
30,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.04769052565097809,3.735248327255249,1.0,0.697560975609756,0.0,0.697560975609756,0.21744130551815033,0.697560975609756,0.21744130551815033,0.0,0.0,0.0,0
31,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.04335929453372955,3.838587999343872,1.0,0.697560975609756,0.0,0.697560975609756,0.20150382816791534,0.697560975609756,0.20150382816791534,0.0,0.0,0.0,0
32,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.03946620225906372,3.9220480918884277,1.0,0.7024390243902439,0.0,0.7024390243902439,0.19470229744911194,0.7024390243902439,0.19470229744911194,0.0,0.0,0.0,0
33,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.03595577925443649,4.003678798675537,1.0,0.7073170731707317,0.0,0.7073170731707317,0.18985134363174438,0.7073170731707317,0.18985134363174438,0.0,0.0,0.0,0
34,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.03280164301395416,4.099481582641602,1.0,0.7073170731707317,0.0,0.7073170731707317,0.1805933117866516,0.7073170731707317,0.1805933117866516,0.0,0.0,0.0,0
35,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.029948025941848755,4.20460319519043,1.0,0.7073170731707317,0.0,0.7073170731707317,0.16941112279891968,0.7073170731707317,0.16941112279891968,0.0,0.0,0.0,0
36,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.027374712750315666,4.304880619049072,1.0,0.6926829268292682,0.0,0.6926829268292682,0.160272017121315,0.6926829268292682,0.160272017121315,0.0,0.0,0.0,0
37,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.025062676519155502,4.394837379455566,1.0,0.6878048780487804,0.0,0.6878048780487804,0.15432292222976685,0.6878048780487804,0.15432292222976685,0.0,0.0,0.0,0
38,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.0229843370616436,4.480164527893066,1.0,0.6926829268292682,0.0,0.6926829268292682,0.1498148888349533,0.6926829268292682,0.1498148888349533,0.0,0.0,0.0,0
39,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.021133119240403175,4.571956634521484,1.0,0.6926829268292682,0.0,0.6926829268292682,0.14381834864616394,0.6926829268292682,0.14381834864616394,0.0,0.0,0.0,0
40,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.019479956477880478,4.670795440673828,1.0,0.6926829268292682,0.0,0.6926829268292682,0.13660311698913574,0.6926829268292682,0.13660311698913574,0.0,0.0,0.0,0
41,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.01799207180738449,4.764863967895508,1.0,0.6926829268292682,0.0,0.6926829268292682,0.1301511824131012,0.6926829268292682,0.1301511824131012,0.0,0.0,0.0,0
42,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.016639892011880875,4.850435256958008,1.0,0.6878048780487804,0.0,0.6878048780487804,0.12545718252658844,0.6878048780487804,0.12545718252658844,0.0,0.0,0.0,0
43,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.01541656069457531,4.932085990905762,1.0,0.6780487804878049,0.0,0.6780487804878049,0.12147242575883865,0.6780487804878049,0.12147242575883865,0.0,0.0,0.0,0
44,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.014305677264928818,5.012326717376709,1.0,0.6780487804878049,0.0,0.6780487804878049,0.11760573834180832,0.6780487804878049,0.11760573834180832,0.0,0.0,0.0,0
45,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.013298439793288708,5.091151237487793,1.0,0.6829268292682927,0.0,0.6829268292682927,0.11413073539733887,0.6829268292682927,0.11413073539733887,0.0,0.0,0.0,0
46,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.012386137619614601,5.170719623565674,1.0,0.6878048780487804,0.0,0.6878048780487804,0.11070416867733002,0.6878048780487804,0.11070416867733002,0.0,0.0,0.0,0
47,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.011548751965165138,5.250147819519043,1.0,0.6926829268292682,0.0,0.6926829268292682,0.10714030265808105,0.6926829268292682,0.10714030265808105,0.0,0.0,0.0,0
48,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.01078646071255207,5.325501918792725,1.0,0.6878048780487804,0.0,0.6878048780487804,0.10400530695915222,0.6878048780487804,0.10400530695915222,0.0,0.0,0.0,0
49,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.010091286152601242,5.39709997177124,1.0,0.6829268292682927,0.0,0.6829268292682927,0.1011536568403244,0.6829268292682927,0.1011536568403244,0.0,0.0,0.0,0
50,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.009458452463150024,5.467347145080566,1.0,0.6829268292682927,0.0,0.6829268292682927,0.09847810864448547,0.6829268292682927,0.09847810864448547,0.0,0.0,0.0,0
51,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.008879435248672962,5.533783435821533,1.0,0.6829268292682927,0.0,0.6829268292682927,0.09619645029306412,0.6829268292682927,0.09619645029306412,0.0,0.0,0.0,0
52,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.008348587900400162,5.597020626068115,1.0,0.6829268292682927,0.0,0.6829268292682927,0.09427736699581146,0.6829268292682927,0.09427736699581146,0.0,0.0,0.0,0
53,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.007861475460231304,5.661919116973877,1.0,0.6829268292682927,0.0,0.6829268292682927,0.09231038391590118,0.6829268292682927,0.09231038391590118,0.0,0.0,0.0,0
54,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.007415903732180595,5.726329803466797,1.0,0.6829268292682927,0.0,0.6829268292682927,0.09034383296966553,0.6829268292682927,0.09034383296966553,0.0,0.0,0.0,0
55,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.007006834261119366,5.79055643081665,1.0,0.6829268292682927,0.0,0.6829268292682927,0.08836890757083893,0.6829268292682927,0.08836890757083893,0.0,0.0,0.0,0
56,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.006630764342844486,5.851171493530273,1.0,0.6829268292682927,0.0,0.6829268292682927,0.08679588884115219,0.6829268292682927,0.08679588884115219,0.0,0.0,0.0,0
57,pooled,0.0001,64,1,5,gru,tapnet-Heartbeat,8,10,0.006281223148107529,5.909347057342529,1.0,0.6829268292682927,0.0,0.6829268292682927,0.08535166829824448,0.6829268292682927,0.08535166829824448,0.0,0.0,0.0,0
