epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.7772659063339233,5.016635894775391,0.15625,0.3055555555555556,0.0,0.3055555555555556,1.6738173961639404,0.3055555555555556,1.6738173961639404,0.0,0.0,0.0,0
1,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.639235019683838,4.695950984954834,0.390625,0.5777777777777777,0.0,0.5777777777777777,1.550989031791687,0.5777777777777777,1.550989031791687,0.0,0.0,0.0,0
2,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.5225645303726196,4.4123334884643555,0.7109375,0.6722222222222223,0.0,0.6722222222222223,1.44366455078125,0.6722222222222223,1.44366455078125,0.0,0.0,0.0,0
3,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.4211721420288086,4.150610446929932,0.78125,0.7,0.0,0.7,1.3466709852218628,0.7,1.3466709852218628,0.0,0.0,0.0,0
4,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.3317737579345703,3.8984715938568115,0.78125,0.7111111111111111,0.0,0.7111111111111111,1.2553527355194092,0.7111111111111111,1.2553527355194092,0.0,0.0,0.0,0
5,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.2493927478790283,3.651571273803711,0.78125,0.7166666666666667,0.0,0.7166666666666667,1.1689263582229614,0.7166666666666667,1.1689263582229614,0.0,0.0,0.0,0
6,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.1734819412231445,3.415057420730591,0.78125,0.7166666666666667,0.0,0.7166666666666667,1.0889546871185303,0.7166666666666667,1.0889546871185303,0.0,0.0,0.0,0
7,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.1026389598846436,3.193530559539795,0.796875,0.7055555555555556,0.0,0.7055555555555556,1.0158835649490356,0.7055555555555556,1.0158835649490356,0.0,0.0,0.0,0
8,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,1.0366865396499634,2.9871420860290527,0.78125,0.7277777777777777,0.0,0.7277777777777777,0.9479750394821167,0.7277777777777777,0.9479750394821167,0.0,0.0,0.0,0
9,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,0.9747933149337769,2.79894757270813,0.78125,0.7333333333333333,0.0,0.7333333333333333,0.8853883147239685,0.7333333333333333,0.8853883147239685,0.0,0.0,0.0,0
10,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,0.9155489802360535,2.6280808448791504,0.7890625,0.7388888888888889,0.0,0.7388888888888889,0.8272171020507812,0.7388888888888889,0.8272171020507812,0.0,0.0,0.0,0
11,pooled,0.0001,64,0,5,gru,tapnet-NATOPS,8,10,0.8595031499862671,2.4752182960510254,0.7734375,0.7388888888888889,0.0,0.7388888888888889,0.7751861810684204,0.7388888888888889,0.7751861810684204,0.0,0.0,0.0,0
