epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.7598074674606323,48.60481262207031,0.6953965053763441,0.7767295597484277,0.0,0.7767295597484277,0.6226460337638855,0.7767295597484277,0.6226460337638855,0.0,0.0,0.0,0
1,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.39164793491363525,30.341354370117188,0.8472782258064516,0.8270440251572327,0.0,0.8270440251572327,0.2625657320022583,0.8270440251572327,0.2625657320022583,0.0,0.0,0.0,0
2,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.26507967710494995,23.22989273071289,0.8956653225806451,0.8659233847913094,0.0,0.8659233847913094,0.16791002452373505,0.8659233847913094,0.16791002452373505,0.0,0.0,0.0,0
3,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.20815610885620117,19.513547897338867,0.9254032258064516,0.8910806174957119,0.0,0.8910806174957119,0.12605765461921692,0.8910806174957119,0.12605765461921692,0.0,0.0,0.0,0
4,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.17762987315654755,17.409082412719727,0.9403561827956989,0.9028016009148084,0.0,0.9028016009148084,0.10373157262802124,0.9028016009148084,0.10373157262802124,0.0,0.0,0.0,0
5,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.1562846601009369,16.054920196533203,0.9487567204301075,0.9108061749571184,0.0,0.9108061749571184,0.08958236128091812,0.9108061749571184,0.08958236128091812,0.0,0.0,0.0,0
6,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.1392051875591278,15.12554931640625,0.9558131720430108,0.9150943396226415,0.0,0.9150943396226415,0.07856164872646332,0.9150943396226415,0.07856164872646332,0.0,0.0,0.0,0
7,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.12414491176605225,14.383781433105469,0.9603494623655914,0.91852487135506,0.0,0.91852487135506,0.070295549929142,0.91852487135506,0.070295549929142,0.0,0.0,0.0,0
8,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.10961038619279861,13.83322525024414,0.9653897849462365,0.9228130360205832,0.0,0.9228130360205832,0.06291055679321289,0.9228130360205832,0.06291055679321289,0.0,0.0,0.0,0
9,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0963975340127945,13.41219711303711,0.9679099462365591,0.9262435677530018,0.0,0.9262435677530018,0.05548028647899628,0.9262435677530018,0.05548028647899628,0.0,0.0,0.0,0
10,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.08457278460264206,13.062475204467773,0.9717741935483871,0.9296740994854202,0.0,0.9296740994854202,0.04975607246160507,0.9296740994854202,0.04975607246160507,0.0,0.0,0.0,0
11,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0741717666387558,12.777610778808594,0.9751344086021505,0.9308176100628931,0.0,0.9308176100628931,0.04404550418257713,0.9308176100628931,0.04404550418257713,0.0,0.0,0.0,0
12,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.06458078324794769,12.550442695617676,0.9773185483870968,0.933390508862207,0.0,0.933390508862207,0.038663048297166824,0.933390508862207,0.038663048297166824,0.0,0.0,0.0,0
13,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0574093833565712,12.315681457519531,0.9793346774193549,0.9356775300171527,0.0,0.9356775300171527,0.03362474963068962,0.9356775300171527,0.03362474963068962,0.0,0.0,0.0,0
14,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.05102703720331192,12.154413223266602,0.9816868279569892,0.9359634076615209,0.0,0.9359634076615209,0.029451552778482437,0.9359634076615209,0.029451552778482437,0.0,0.0,0.0,0
15,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.04564491659402847,12.013100624084473,0.9835349462365591,0.9368210405946255,0.0,0.9368210405946255,0.025557801127433777,0.9368210405946255,0.025557801127433777,0.0,0.0,0.0,0
16,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.040663301944732666,11.892669677734375,0.9840389784946236,0.9371069182389937,0.0,0.9371069182389937,0.022127503529191017,0.9371069182389937,0.022127503529191017,0.0,0.0,0.0,0
17,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.03657214343547821,11.791061401367188,0.985383064516129,0.9385363064608347,0.0,0.9385363064608347,0.019487902522087097,0.9385363064608347,0.019487902522087097,0.0,0.0,0.0,0
18,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.03308997303247452,11.685680389404297,0.9865591397849462,0.9399656946826758,0.0,0.9399656946826758,0.01696702465415001,0.9399656946826758,0.01696702465415001,0.0,0.0,0.0,0
19,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.030147366225719452,11.609835624694824,0.9877352150537635,0.9425385934819898,0.0,0.9425385934819898,0.015095699578523636,0.9425385934819898,0.015095699578523636,0.0,0.0,0.0,0
20,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.027478255331516266,11.563386917114258,0.9897513440860215,0.9428244711263579,0.0,0.9428244711263579,0.013348113745450974,0.9428244711263579,0.013348113745450974,0.0,0.0,0.0,0
21,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.025247052311897278,11.508913040161133,0.9915994623655914,0.9425385934819898,0.0,0.9425385934819898,0.011936732567846775,0.9428244711263579,0.011936732567846775,0.0,0.0,0.0,0
22,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.023179814219474792,11.501240730285645,0.9922715053763441,0.9439679817038308,0.0,0.9439679817038308,0.010641404427587986,0.9439679817038308,0.010641404427587986,0.0,0.0,0.0,0
23,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.021369121968746185,11.514333724975586,0.9926075268817204,0.9445397369925672,0.0,0.9445397369925672,0.009752466343343258,0.9448256146369354,0.009752466343343258,0.0,0.0,0.0,0
24,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.019656911492347717,11.507817268371582,0.9927755376344086,0.9459691252144082,0.0,0.9459691252144082,0.008747724816203117,0.9459691252144082,0.008747724816203117,0.0,0.0,0.0,0
25,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.018273040652275085,11.569328308105469,0.9934475806451613,0.9459691252144082,0.0,0.9459691252144082,0.008043958805501461,0.9459691252144082,0.008043958805501461,0.0,0.0,0.0,0
26,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.01673080027103424,11.584501266479492,0.9939516129032258,0.9459691252144082,0.0,0.9459691252144082,0.00731950718909502,0.9459691252144082,0.00731950718909502,0.0,0.0,0.0,0
27,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.015645749866962433,11.639810562133789,0.9944556451612904,0.9462550028587764,0.0,0.9462550028587764,0.006775106769055128,0.9462550028587764,0.006775106769055128,0.0,0.0,0.0,0
28,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.014572478830814362,11.713611602783203,0.995127688172043,0.9471126357918811,0.0,0.9471126357918811,0.006296419072896242,0.9471126357918811,0.006296419072896242,0.0,0.0,0.0,0
29,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.013562515377998352,11.795157432556152,0.9956317204301075,0.9476843910806175,0.0,0.9476843910806175,0.005745592527091503,0.9476843910806175,0.005745592527091503,0.0,0.0,0.0,0
30,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.012796297669410706,11.844139099121094,0.9963037634408602,0.9473985134362493,0.0,0.9473985134362493,0.005183049477636814,0.9473985134362493,0.005183049477636814,0.0,0.0,0.0,0
31,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.01187443733215332,11.956938743591309,0.9966397849462365,0.9468267581475128,0.0,0.9468267581475128,0.004798775538802147,0.9468267581475128,0.004798775538802147,0.0,0.0,0.0,0
32,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.01120835542678833,12.040857315063477,0.9969758064516129,0.9465408805031447,0.0,0.9465408805031447,0.004363116808235645,0.9465408805031447,0.004363116808235645,0.0,0.0,0.0,0
33,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.010430075228214264,12.1292724609375,0.9969758064516129,0.9468267581475128,0.0,0.9468267581475128,0.003985359333455563,0.9468267581475128,0.003985359333455563,0.0,0.0,0.0,0
34,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.00988362729549408,12.230572700500488,0.9971438172043011,0.9465408805031447,0.0,0.9465408805031447,0.0036451362539082766,0.9465408805031447,0.0036451362539082766,0.0,0.0,0.0,0
35,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.009282596409320831,12.336796760559082,0.9974798387096774,0.9462550028587764,0.0,0.9462550028587764,0.0033368610311299562,0.9462550028587764,0.0033368610311299562,0.0,0.0,0.0,0
36,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.008868493139743805,12.424720764160156,0.9974798387096774,0.9456832475700401,0.0,0.9456832475700401,0.003010363783687353,0.9456832475700401,0.003010363783687353,0.0,0.0,0.0,0
37,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.008484788239002228,12.53643798828125,0.9978158602150538,0.9462550028587764,0.0,0.9462550028587764,0.002805005991831422,0.9462550028587764,0.002805005991831422,0.0,0.0,0.0,0
38,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.008116230368614197,12.639457702636719,0.9981518817204301,0.9459691252144082,0.0,0.9459691252144082,0.002531312871724367,0.9462550028587764,0.002531312871724367,0.0,0.0,0.0,0
39,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.00791408121585846,12.752490043640137,0.9981518817204301,0.9462550028587764,0.0,0.9462550028587764,0.0023577099200338125,0.9462550028587764,0.0023577099200338125,0.0,0.0,0.0,0
40,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.007473789155483246,12.836594581604004,0.9981518817204301,0.9465408805031447,0.0,0.9465408805031447,0.0020902042742818594,0.9465408805031447,0.0020902042742818594,0.0,0.0,0.0,0
41,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.007456265389919281,12.956038475036621,0.9984879032258065,0.9456832475700401,0.0,0.9456832475700401,0.0019356182310730219,0.9456832475700401,0.0019356182310730219,0.0,0.0,0.0,0
42,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.006952054798603058,13.025490760803223,0.9986559139784946,0.9456832475700401,0.0,0.9456832475700401,0.0017197473207488656,0.9456832475700401,0.0017197473207488656,0.0,0.0,0.0,0
43,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0066037774085998535,13.108208656311035,0.9986559139784946,0.9456832475700401,0.0,0.9456832475700401,0.0015887079061940312,0.9456832475700401,0.0015887079061940312,0.0,0.0,0.0,0
44,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.006632804870605469,13.17846965789795,0.9988239247311828,0.9459691252144082,0.0,0.9459691252144082,0.0014284225180745125,0.9459691252144082,0.0014284225180745125,0.0,0.0,0.0,0
45,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.006528228521347046,13.275788307189941,0.998991935483871,0.9459691252144082,0.0,0.9459691252144082,0.0013229278847575188,0.9459691252144082,0.0013229278847575188,0.0,0.0,0.0,0
46,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0063896700739860535,13.315999031066895,0.9991599462365591,0.9462550028587764,0.0,0.9462550028587764,0.0012071927776560187,0.9462550028587764,0.0012071927776560187,0.0,0.0,0.0,0
47,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0061768218874931335,13.41758918762207,0.9993279569892473,0.9465408805031447,0.0,0.9465408805031447,0.00112077163066715,0.9465408805031447,0.00112077163066715,0.0,0.0,0.0,0
48,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0061425864696502686,13.470646858215332,0.9993279569892473,0.9471126357918811,0.0,0.9471126357918811,0.0010347366333007812,0.9471126357918811,0.0010347366333007812,0.0,0.0,0.0,0
49,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.005819939076900482,13.519625663757324,0.9993279569892473,0.9471126357918811,0.0,0.9471126357918811,0.0009347824961878359,0.9471126357918811,0.0009347824961878359,0.0,0.0,0.0,0
50,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0056430622935295105,13.574490547180176,0.9993279569892473,0.9485420240137221,0.0,0.9485420240137221,0.0008820579387247562,0.9485420240137221,0.0008820579387247562,0.0,0.0,0.0,0
51,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.005510948598384857,13.624954223632812,0.9993279569892473,0.9485420240137221,0.0,0.9485420240137221,0.0008233388070948422,0.9485420240137221,0.0008233388070948422,0.0,0.0,0.0,0
52,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.005386427044868469,13.726189613342285,0.9993279569892473,0.9491137793024585,0.0,0.9491137793024585,0.0007625761209055781,0.9491137793024585,0.0007625761209055781,0.0,0.0,0.0,0
53,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.0052061378955841064,13.749253273010254,0.9993279569892473,0.9493996569468267,0.0,0.9493996569468267,0.0007031077402643859,0.9493996569468267,0.0007031077402643859,0.0,0.0,0.0,0
54,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.004991911351680756,13.794458389282227,0.9993279569892473,0.9491137793024585,0.0,0.9491137793024585,0.0006655511679127812,0.9491137793024585,0.0006655511679127812,0.0,0.0,0.0,0
55,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.00471101701259613,13.900200843811035,0.9993279569892473,0.9491137793024585,0.0,0.9491137793024585,0.0006163914804346859,0.9491137793024585,0.0006163914804346859,0.0,0.0,0.0,0
56,pooled,0.0001,64,1,5,gru,tapnet-PenDigits,8,10,0.004699431359767914,13.887372970581055,0.9993279569892473,0.9493996569468267,0.0,0.9493996569468267,0.0005833989125676453,0.9493996569468267,0.0005833989125676453,0.0,0.0,0.0,0
