epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.3828619718551636,9.761241912841797,0.7823932926829268,0.9554342883128695,0.0,0.9554342883128695,0.1730019897222519,0.9554342883128695,0.1730019897222519,0.0,0.0,0.0,0
1,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.14848706126213074,4.711602210998535,0.9468368902439024,0.9708958617553434,0.0,0.9708958617553434,0.04902619868516922,0.9708958617553434,0.04902619868516922,0.0,0.0,0.0,0
2,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.08062337338924408,3.309886932373047,0.9719893292682927,0.975443383356071,0.0,0.975443383356071,0.01558245811611414,0.975443383356071,0.01558245811611414,0.0,0.0,0.0,0
3,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.05155009776353836,2.6254217624664307,0.9857088414634146,0.9786266484765803,0.0,0.9786266484765803,0.006917310878634453,0.9786266484765803,0.006917310878634453,0.0,0.0,0.0,0
4,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.03602784872055054,2.2628889083862305,0.9923780487804879,0.9813551614370168,0.0,0.9813551614370168,0.004236262757331133,0.9813551614370168,0.004236262757331133,0.0,0.0,0.0,0
5,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.027272500097751617,2.067636013031006,0.9956173780487805,0.9831741700773079,0.0,0.9831741700773079,0.00275354809127748,0.9831741700773079,0.00275354809127748,0.0,0.0,0.0,0
6,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.02168682962656021,1.9857484102249146,0.9967606707317073,0.9827194179172352,0.0,0.9827194179172352,0.0018340816022828221,0.9827194179172352,0.0018340816022828221,0.0,0.0,0.0,0
7,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.01791854202747345,1.9662033319473267,0.9975228658536586,0.9827194179172352,0.0,0.9827194179172352,0.0011612020898610353,0.9827194179172352,0.0011612020898610353,0.0,0.0,0.0,0
8,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.015258945524692535,1.967647671699524,0.9986661585365854,0.9822646657571623,0.0,0.9822646657571623,0.0007619028328917921,0.9822646657571623,0.0007619028328917921,0.0,0.0,0.0,0
9,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.012563392519950867,1.951127052307129,0.9994283536585366,0.9822646657571623,0.0,0.9822646657571623,0.0005375405889935791,0.9822646657571623,0.0005375405889935791,0.0,0.0,0.0,0
10,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.010556705296039581,1.9179110527038574,0.9998094512195121,0.9818099135970896,0.0,0.9818099135970896,0.000385284423828125,0.9818099135970896,0.000385284423828125,0.0,0.0,0.0,0
11,pooled,0.0001,64,0,5,gru,tapnet-SpokenArabicDigits,8,10,0.00861213356256485,1.8635387420654297,0.9998094512195121,0.9822646657571623,0.0,0.9822646657571623,0.00030372454784810543,0.9822646657571623,0.00030372454784810543,0.0,0.0,0.0,0
