epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,1.880043625831604,79.11637878417969,0.4809027777777778,0.7249303621169917,0.0,1.8413082361221313,79.11637878417969,0.4781818181818182,0.7249303621169917,0.0,0.7249303621169917,0.8687819838523865,0.7249303621169917,0.8687819838523865,0.0,0.0,0.0,0
1,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,1.182599425315857,47.98870086669922,0.7534722222222222,0.7841225626740947,0.0,0.8496136665344238,47.98870086669922,0.7854545454545454,0.7841225626740947,0.0,0.7841225626740947,0.18275579810142517,0.7841225626740947,0.18275579810142517,0.0,0.0,0.0,0
2,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.8287222385406494,32.31917190551758,0.8194444444444444,0.8523676880222841,0.0,0.37095582485198975,32.31917190551758,0.8545454545454545,0.8523676880222841,0.0,0.8523676880222841,0.08287791907787323,0.8523676880222841,0.08287791907787323,0.0,0.0,0.0,0
3,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.6471952199935913,24.149194717407227,0.8767361111111112,0.8774373259052924,0.0,0.16891412436962128,24.149194717407227,0.8963636363636364,0.8774373259052924,0.0,0.8774373259052924,0.05036785081028938,0.8774373259052924,0.05036785081028938,0.0,0.0,0.0,0
4,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.5404434204101562,19.375659942626953,0.9027777777777778,0.8962395543175488,0.0,0.10079804807901382,19.375659942626953,0.9290909090909091,0.8962395543175488,0.0,0.8962395543175488,0.032145362347364426,0.8962395543175488,0.032145362347364426,0.0,0.0,0.0,0
5,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.4431697130203247,16.02149772644043,0.9166666666666666,0.9136490250696379,0.0,0.07610122114419937,16.02149772644043,0.9472727272727273,0.9136490250696379,0.0,0.9136490250696379,0.0227386262267828,0.9136490250696379,0.0227386262267828,0.0,0.0,0.0,0
6,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.361735463142395,13.477208137512207,0.9253472222222222,0.9317548746518106,0.0,0.05821514129638672,13.477208137512207,0.9581818181818181,0.9317548746518106,0.0,0.9317548746518106,0.017737507820129395,0.9317548746518106,0.017737507820129395,0.0,0.0,0.0,0
7,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.2911720871925354,11.68516731262207,0.9479166666666666,0.9394150417827298,0.0,0.04976852610707283,11.68516731262207,0.9618181818181818,0.9394150417827298,0.0,0.9394150417827298,0.013148852623999119,0.9394150417827298,0.013148852623999119,0.0,0.0,0.0,0
8,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.25415608286857605,10.317200660705566,0.9583333333333334,0.9463788300835655,0.0,0.044130247086286545,10.317200660705566,0.9709090909090909,0.9463788300835655,0.0,0.9463788300835655,0.011743937619030476,0.9463788300835655,0.011743937619030476,0.0,0.0,0.0,0
9,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.21199023723602295,9.223780632019043,0.9670138888888888,0.9526462395543176,0.0,0.03877973556518555,9.223780632019043,0.9745454545454545,0.9526462395543176,0.0,0.9526462395543176,0.010060242377221584,0.9526462395543176,0.010060242377221584,0.0,0.0,0.0,0
10,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.1886364370584488,8.381226539611816,0.96875,0.958217270194986,0.0,0.03552611544728279,8.381226539611816,0.9781818181818182,0.958217270194986,0.0,0.958217270194986,0.009993518702685833,0.958217270194986,0.009993518702685833,0.0,0.0,0.0,0
11,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.16554003953933716,7.697942733764648,0.9756944444444444,0.9616991643454039,0.0,0.032541435211896896,7.697942733764648,0.9818181818181818,0.9616991643454039,0.0,0.9616991643454039,0.009951523505151272,0.9616991643454039,0.009951523505151272,0.0,0.0,0.0,0
12,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.14405211806297302,7.129847526550293,0.9774305555555556,0.9637883008356546,0.0,0.029727617278695107,7.129847526550293,0.9854545454545455,0.9637883008356546,0.0,0.9637883008356546,0.008547067642211914,0.9637883008356546,0.008547067642211914,0.0,0.0,0.0,0
13,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.12863926589488983,6.6810736656188965,0.9809027777777778,0.9651810584958217,0.0,0.028466781601309776,6.6810736656188965,0.9890909090909091,0.9651810584958217,0.0,0.9651810584958217,0.0072364467196166515,0.9651810584958217,0.0072364467196166515,0.0,0.0,0.0,0
14,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.11431087553501129,6.349410057067871,0.984375,0.9686629526462396,0.0,0.027119318023324013,6.349410057067871,0.9945454545454545,0.9686629526462396,0.0,0.9686629526462396,0.005807978566735983,0.9686629526462396,0.005807978566735983,0.0,0.0,0.0,0
15,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.10363946855068207,6.01951265335083,0.9861111111111112,0.967966573816156,0.0,0.022578081116080284,6.01951265335083,0.9945454545454545,0.967966573816156,0.0,0.967966573816156,0.005650111474096775,0.967966573816156,0.005650111474096775,0.0,0.0,0.0,0
16,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.08994381129741669,5.708695411682129,0.9913194444444444,0.9728412256267409,0.0,0.0211357269436121,5.708695411682129,0.9963636363636363,0.9728412256267409,0.0,0.9728412256267409,0.004919903818517923,0.9728412256267409,0.004919903818517923,0.0,0.0,0.0,0
17,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.0828932374715805,5.505898475646973,0.9913194444444444,0.974233983286908,0.0,0.020402351394295692,5.505898475646973,0.9963636363636363,0.974233983286908,0.0,0.974233983286908,0.0046536922454833984,0.974233983286908,0.0046536922454833984,0.0,0.0,0.0,0
18,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.07746012508869171,5.334822654724121,0.9913194444444444,0.9756267409470752,0.0,0.01928114891052246,5.334822654724121,0.9963636363636363,0.9756267409470752,0.0,0.9756267409470752,0.0043370043858885765,0.9756267409470752,0.0043370043858885765,0.0,0.0,0.0,0
19,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.07295240461826324,5.185168266296387,0.9913194444444444,0.9749303621169917,0.0,0.016947904601693153,5.185168266296387,0.9963636363636363,0.9749303621169917,0.0,0.9749303621169917,0.0034311499912291765,0.9749303621169917,0.0034311499912291765,0.0,0.0,0.0,0
20,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.06652814149856567,5.040539264678955,0.9930555555555556,0.974233983286908,0.0,0.016328969970345497,5.040539264678955,0.9963636363636363,0.974233983286908,0.0,0.974233983286908,0.0029401439242064953,0.974233983286908,0.0029401439242064953,0.0,0.0,0.0,0
21,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.06305955350399017,4.897918701171875,0.9930555555555556,0.974233983286908,0.0,0.01568380929529667,4.897918701171875,0.9963636363636363,0.974233983286908,0.0,0.974233983286908,0.0029331615660339594,0.974233983286908,0.0029331615660339594,0.0,0.0,0.0,0
22,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.05856342613697052,4.765594482421875,0.9930555555555556,0.974233983286908,0.0,0.015405257232487202,4.765594482421875,0.9981818181818182,0.974233983286908,0.0,0.974233983286908,0.0025647368747740984,0.974233983286908,0.0025647368747740984,0.0,0.0,0.0,0
23,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.05480445921421051,4.629926681518555,0.9965277777777778,0.9756267409470752,0.0,0.013899087905883789,4.629926681518555,0.9981818181818182,0.9756267409470752,0.0,0.9756267409470752,0.002435922622680664,0.9756267409470752,0.002435922622680664,0.0,0.0,0.0,0
24,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.05115596950054169,4.514304161071777,0.9965277777777778,0.9756267409470752,0.0,0.013111114501953125,4.514304161071777,1.0,0.9756267409470752,0.0,0.9756267409470752,0.002406767336651683,0.9756267409470752,0.002406767336651683,0.0,0.0,0.0,0
25,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.04704347252845764,4.405280113220215,0.9965277777777778,0.9770194986072424,0.0,0.011915604583919048,4.405280113220215,1.0,0.9770194986072424,0.0,0.9770194986072424,0.0021797248627990484,0.9770194986072424,0.0021797248627990484,0.0,0.0,0.0,0
26,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.04430884122848511,4.2888712882995605,0.9982638888888888,0.9777158774373259,0.0,0.010814349167048931,4.2888712882995605,1.0,0.9777158774373259,0.0,0.9777158774373259,0.0019421236356720328,0.9777158774373259,0.0019421236356720328,0.0,0.0,0.0,0
27,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.04074734449386597,4.1978349685668945,0.9982638888888888,0.9777158774373259,0.0,0.009636402130126953,4.1978349685668945,1.0,0.9777158774373259,0.0,0.9777158774373259,0.0018213476287201047,0.9777158774373259,0.0018213476287201047,0.0,0.0,0.0,0
28,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.036688774824142456,4.119337558746338,0.9982638888888888,0.9784122562674095,0.0,0.008216778747737408,4.119337558746338,1.0,0.9784122562674095,0.0,0.9784122562674095,0.0016656944062560797,0.9784122562674095,0.0016656944062560797,0.0,0.0,0.0,0
29,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.03402237594127655,3.8973958492279053,0.9982638888888888,0.979108635097493,0.0,0.003215789794921875,3.8973958492279053,1.0,0.979108635097493,0.0,0.979108635097493,0.0016578946961089969,0.979108635097493,0.0016578946961089969,0.0,0.0,0.0,0
30,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.025551706552505493,3.824291944503784,0.9982638888888888,0.979108635097493,0.0,0.0017533302307128906,3.824291944503784,1.0,0.979108635097493,0.0,0.979108635097493,0.0013418197631835938,0.979108635097493,0.0013418197631835938,0.0,0.0,0.0,0
31,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.02584230899810791,3.4855830669403076,1.0,0.9811977715877437,0.0,0.0022002856712788343,3.4855830669403076,1.0,0.9811977715877437,0.0,0.9811977715877437,0.0011573178926482797,0.9811977715877437,0.0011573178926482797,0.0,0.0,0.0,0
32,powersgd,0.0001,32,2,5,gru,tapnet-CharacterTrajectories,16,10,0.01896381378173828,3.557554006576538,1.0,0.9825905292479109,0.0,0.0014872550964355469,3.557554006576538,1.0,0.9825905292479109,0.0,0.9825905292479109,0.0010221004486083984,0.9825905292479109,0.0010221004486083984,0.0,0.0,0.0,0
