epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.216997742652893,6.667983531951904,0.53125,0.3695652173913043,0.0,1.5194157361984253,6.667983531951904,0.1875,0.3695652173913043,0.0,0.3695652173913043,1.507684350013733,0.3695652173913043,1.507684350013733,0.0,0.0,0.0,0
1,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.1609933376312256,6.23710823059082,0.65625,0.427536231884058,0.0,1.3594543933868408,6.23710823059082,0.28125,0.427536231884058,0.0,0.427536231884058,1.3517487049102783,0.427536231884058,1.3517487049102783,0.0,0.0,0.0,0
2,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.1295545101165771,5.867313385009766,0.65625,0.4927536231884058,0.0,1.1978172063827515,5.867313385009766,0.4375,0.4927536231884058,0.0,0.4927536231884058,1.2044172286987305,0.4927536231884058,1.2044172286987305,0.0,0.0,0.0,0
3,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.1086069345474243,5.548205375671387,0.625,0.5797101449275363,0.0,1.0501939058303833,5.548205375671387,0.53125,0.5797101449275363,0.0,0.5797101449275363,1.0696523189544678,0.5797101449275363,1.0696523189544678,0.0,0.0,0.0,0
4,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.090613603591919,5.272221088409424,0.5625,0.5579710144927537,0.0,0.9215785264968872,5.272221088409424,0.78125,0.5579710144927537,0.0,0.5579710144927537,0.9505666494369507,0.5579710144927537,0.9505666494369507,0.0,0.0,0.0,0
5,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.0718934535980225,5.034482002258301,0.5,0.6086956521739131,0.0,0.8128067255020142,5.034482002258301,0.9375,0.6086956521739131,0.0,0.6086956521739131,0.8522601127624512,0.6086956521739131,0.8522601127624512,0.0,0.0,0.0,0
6,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.0515835285186768,4.829867839813232,0.5,0.6304347826086957,0.0,0.7217349410057068,4.829867839813232,0.9375,0.6304347826086957,0.0,0.6304347826086957,0.7727618217468262,0.6304347826086957,0.7727618217468262,0.0,0.0,0.0,0
7,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,1.0277568101882935,4.649926662445068,0.5625,0.6376811594202898,0.0,0.6464521288871765,4.649926662445068,0.96875,0.6376811594202898,0.0,0.6376811594202898,0.7077792882919312,0.6376811594202898,0.7077792882919312,0.0,0.0,0.0,0
8,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.9997003674507141,4.49358606338501,0.59375,0.6521739130434783,0.0,0.5859849452972412,4.49358606338501,1.0,0.6521739130434783,0.0,0.6521739130434783,0.6551912426948547,0.6521739130434783,0.6551912426948547,0.0,0.0,0.0,0
9,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.9697940945625305,4.356037139892578,0.625,0.6666666666666666,0.0,0.5371038317680359,4.356037139892578,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6106640696525574,0.6666666666666666,0.6106640696525574,0.0,0.0,0.0,0
10,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.9385523200035095,4.238548278808594,0.625,0.6956521739130435,0.0,0.4973227083683014,4.238548278808594,1.0,0.6956521739130435,0.0,0.6956521739130435,0.5738471746444702,0.6956521739130435,0.5738471746444702,0.0,0.0,0.0,0
11,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.9068043828010559,4.137550354003906,0.65625,0.7028985507246377,0.0,0.4640089273452759,4.137550354003906,1.0,0.7028985507246377,0.0,0.7028985507246377,0.5430695414543152,0.7028985507246377,0.5430695414543152,0.0,0.0,0.0,0
12,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.8747066855430603,4.0529608726501465,0.65625,0.7101449275362319,0.0,0.43637815117836,4.0529608726501465,1.0,0.7101449275362319,0.0,0.7101449275362319,0.5173929929733276,0.7101449275362319,0.5173929929733276,0.0,0.0,0.0,0
13,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.8424746990203857,3.9835426807403564,0.65625,0.7101449275362319,0.0,0.4134725332260132,3.9835426807403564,1.0,0.7101449275362319,0.0,0.7101449275362319,0.4975484311580658,0.7101449275362319,0.4975484311580658,0.0,0.0,0.0,0
14,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.8105595707893372,3.926942825317383,0.65625,0.7101449275362319,0.0,0.3948749303817749,3.926942825317383,1.0,0.7101449275362319,0.0,0.7101449275362319,0.4817567765712738,0.7101449275362319,0.4817567765712738,0.0,0.0,0.0,0
15,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.7797238230705261,3.8821325302124023,0.65625,0.7101449275362319,0.0,0.3793719410896301,3.8821325302124023,1.0,0.7101449275362319,0.0,0.7101449275362319,0.4694456160068512,0.7101449275362319,0.4694456160068512,0.0,0.0,0.0,0
16,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.7499216794967651,3.8473446369171143,0.65625,0.7028985507246377,0.0,0.36616015434265137,3.8473446369171143,1.0,0.7028985507246377,0.0,0.7028985507246377,0.46007028222084045,0.7028985507246377,0.46007028222084045,0.0,0.0,0.0,0
17,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.7213734984397888,3.823256015777588,0.65625,0.717391304347826,0.0,0.3548594117164612,3.823256015777588,1.0,0.717391304347826,0.0,0.717391304347826,0.4544035494327545,0.717391304347826,0.4544035494327545,0.0,0.0,0.0,0
18,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.6938691735267639,3.8092682361602783,0.6875,0.7246376811594203,0.0,0.34473225474357605,3.8092682361602783,1.0,0.7246376811594203,0.0,0.7246376811594203,0.4521191716194153,0.7246376811594203,0.4521191716194153,0.0,0.0,0.0,0
19,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.6675369739532471,3.803905725479126,0.71875,0.717391304347826,0.0,0.33542031049728394,3.803905725479126,1.0,0.717391304347826,0.0,0.717391304347826,0.4524332880973816,0.717391304347826,0.4524332880973816,0.0,0.0,0.0,0
20,powersgd,0.0001,32,1,5,gru,tapnet-Epilepsy,3,10,0.6425707340240479,3.8043065071105957,0.78125,0.6956521739130435,0.0,0.32627254724502563,3.8043065071105957,1.0,0.6956521739130435,0.0,0.6956521739130435,0.45364275574684143,0.6956521739130435,0.45364275574684143,0.0,0.0,0.0,0
