epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.6939750909805298,10.373991966247559,0.359375,0.2777777777777778,0.0,1.8222806453704834,10.373991966247559,0.09375,0.2777777777777778,0.0,0.2777777777777778,1.6910024881362915,0.2777777777777778,1.6910024881362915,0.0,0.0,0.0,0
1,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.6386877298355103,9.865310668945312,0.421875,0.37777777777777777,0.0,1.7144498825073242,9.865310668945312,0.25,0.37777777777777777,0.0,0.37777777777777777,1.62054443359375,0.37777777777777777,1.62054443359375,0.0,0.0,0.0,0
2,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.5970001220703125,9.444440841674805,0.53125,0.5277777777777778,0.0,1.617197036743164,9.444440841674805,0.46875,0.5277777777777778,0.0,0.5277777777777778,1.557652235031128,0.5277777777777778,1.557652235031128,0.0,0.0,0.0,0
3,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.5588802099227905,9.063350677490234,0.609375,0.6222222222222222,0.0,1.5238326787948608,9.063350677490234,0.6875,0.6222222222222222,0.0,0.6222222222222222,1.4996298551559448,0.6222222222222222,1.4996298551559448,0.0,0.0,0.0,0
4,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.524916648864746,8.70151424407959,0.6875,0.6888888888888889,0.0,1.4295495748519897,8.70151424407959,0.796875,0.6888888888888889,0.0,0.6888888888888889,1.4409857988357544,0.6888888888888889,1.4409857988357544,0.0,0.0,0.0,0
5,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.4887453317642212,8.359748840332031,0.640625,0.6777777777777778,0.0,1.3360450267791748,8.359748840332031,0.875,0.6777777777777778,0.0,0.6777777777777778,1.383713960647583,0.6777777777777778,1.383713960647583,0.0,0.0,0.0,0
6,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.4607126712799072,8.044853210449219,0.65625,0.6833333333333333,0.0,1.2429765462875366,8.044853210449219,0.875,0.6833333333333333,0.0,0.6833333333333333,1.331429123878479,0.6833333333333333,1.331429123878479,0.0,0.0,0.0,0
7,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.4429128170013428,7.748854160308838,0.640625,0.7111111111111111,0.0,1.1515378952026367,7.748854160308838,0.875,0.7111111111111111,0.0,0.7111111111111111,1.2807607650756836,0.7111111111111111,1.2807607650756836,0.0,0.0,0.0,0
8,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.4311615228652954,7.468409061431885,0.625,0.7388888888888889,0.0,1.0639680624008179,7.468409061431885,0.90625,0.7388888888888889,0.0,0.7388888888888889,1.2337088584899902,0.7388888888888889,1.2337088584899902,0.0,0.0,0.0,0
9,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.4228522777557373,7.210455894470215,0.59375,0.75,0.0,0.983194887638092,7.210455894470215,0.90625,0.75,0.0,0.75,1.192073106765747,0.75,1.192073106765747,0.0,0.0,0.0,0
10,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.417838215827942,6.97609806060791,0.59375,0.7388888888888889,0.0,0.9112308025360107,6.97609806060791,0.9375,0.7388888888888889,0.0,0.7388888888888889,1.156736135482788,0.7388888888888889,1.156736135482788,0.0,0.0,0.0,0
11,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.4147673845291138,6.763761043548584,0.59375,0.7277777777777777,0.0,0.8456160426139832,6.763761043548584,0.953125,0.7277777777777777,0.0,0.7277777777777777,1.1252177953720093,0.7277777777777777,1.1252177953720093,0.0,0.0,0.0,0
12,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.4060683250427246,6.569084167480469,0.5625,0.7277777777777777,0.0,0.7875921130180359,6.569084167480469,0.953125,0.7277777777777777,0.0,0.7277777777777777,1.095732569694519,0.7277777777777777,1.095732569694519,0.0,0.0,0.0,0
13,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.3937524557113647,6.386343479156494,0.53125,0.7444444444444445,0.0,0.7341441512107849,6.386343479156494,0.953125,0.7444444444444445,0.0,0.7444444444444445,1.0657161474227905,0.7444444444444445,1.0657161474227905,0.0,0.0,0.0,0
14,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.3786325454711914,6.209781169891357,0.515625,0.75,0.0,0.6860522627830505,6.209781169891357,0.953125,0.75,0.0,0.75,1.03425931930542,0.75,1.03425931930542,0.0,0.0,0.0,0
15,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.364434003829956,6.037364959716797,0.515625,0.7388888888888889,0.0,0.6421310305595398,6.037364959716797,0.953125,0.7388888888888889,0.0,0.7388888888888889,1.0019426345825195,0.7388888888888889,1.0019426345825195,0.0,0.0,0.0,0
16,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.3497774600982666,5.875141620635986,0.53125,0.7333333333333333,0.0,0.6017866730690002,5.875141620635986,0.953125,0.7333333333333333,0.0,0.7333333333333333,0.9713853597640991,0.7333333333333333,0.9713853597640991,0.0,0.0,0.0,0
17,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.3373851776123047,5.736214637756348,0.53125,0.7388888888888889,0.0,0.5662297606468201,5.736214637756348,0.953125,0.7388888888888889,0.0,0.7388888888888889,0.943717360496521,0.7388888888888889,0.943717360496521,0.0,0.0,0.0,0
18,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.321625828742981,5.611608028411865,0.5625,0.7388888888888889,0.0,0.5364751815795898,5.611608028411865,0.953125,0.7388888888888889,0.0,0.7388888888888889,0.9196881055831909,0.7388888888888889,0.9196881055831909,0.0,0.0,0.0,0
19,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.302761435508728,5.492058277130127,0.5625,0.7444444444444445,0.0,0.5080904960632324,5.492058277130127,0.953125,0.7444444444444445,0.0,0.7444444444444445,0.8971689343452454,0.7444444444444445,0.8971689343452454,0.0,0.0,0.0,0
20,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.2809820175170898,5.376283168792725,0.515625,0.7277777777777777,0.0,0.48079150915145874,5.376283168792725,0.953125,0.7277777777777777,0.0,0.7277777777777777,0.8758004307746887,0.7277777777777777,0.8758004307746887,0.0,0.0,0.0,0
21,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.257501244544983,5.2614359855651855,0.515625,0.7222222222222222,0.0,0.45533016324043274,5.2614359855651855,0.953125,0.7222222222222222,0.0,0.7222222222222222,0.8556674122810364,0.7222222222222222,0.8556674122810364,0.0,0.0,0.0,0
22,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.2347795963287354,5.146266460418701,0.546875,0.7277777777777777,0.0,0.43283843994140625,5.146266460418701,0.953125,0.7277777777777777,0.0,0.7277777777777777,0.8349131345748901,0.7277777777777777,0.8349131345748901,0.0,0.0,0.0,0
23,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.21416437625885,5.036430358886719,0.5625,0.7277777777777777,0.0,0.41265159845352173,5.036430358886719,0.953125,0.7277777777777777,0.0,0.7277777777777777,0.813816249370575,0.7277777777777777,0.813816249370575,0.0,0.0,0.0,0
24,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.1976714134216309,4.938731670379639,0.625,0.7333333333333333,0.0,0.3923991322517395,4.938731670379639,0.984375,0.7333333333333333,0.0,0.7333333333333333,0.7953418493270874,0.7333333333333333,0.7953418493270874,0.0,0.0,0.0,0
25,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.179248571395874,4.852935791015625,0.625,0.7277777777777777,0.0,0.37430229783058167,4.852935791015625,0.984375,0.7277777777777777,0.0,0.7277777777777777,0.7801320552825928,0.7277777777777777,0.7801320552825928,0.0,0.0,0.0,0
26,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.1612643003463745,4.7788286209106445,0.609375,0.7333333333333333,0.0,0.35592931509017944,4.7788286209106445,0.984375,0.7333333333333333,0.0,0.7333333333333333,0.766826868057251,0.7333333333333333,0.766826868057251,0.0,0.0,0.0,0
27,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.1480873823165894,4.705841541290283,0.59375,0.7333333333333333,0.0,0.3366062343120575,4.705841541290283,0.984375,0.7333333333333333,0.0,0.7333333333333333,0.7530062794685364,0.7333333333333333,0.7530062794685364,0.0,0.0,0.0,0
28,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.1365747451782227,4.634274959564209,0.59375,0.7333333333333333,0.0,0.31848230957984924,4.634274959564209,0.984375,0.7333333333333333,0.0,0.7333333333333333,0.738097608089447,0.7333333333333333,0.738097608089447,0.0,0.0,0.0,0
29,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.1286824941635132,4.5636372566223145,0.59375,0.7388888888888889,0.0,0.30026566982269287,4.5636372566223145,0.984375,0.7388888888888889,0.0,0.7388888888888889,0.7236279249191284,0.7388888888888889,0.7236279249191284,0.0,0.0,0.0,0
30,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.1200361251831055,4.495373725891113,0.59375,0.7388888888888889,0.0,0.2835049033164978,4.495373725891113,0.984375,0.7388888888888889,0.0,0.7388888888888889,0.7103664875030518,0.7388888888888889,0.7103664875030518,0.0,0.0,0.0,0
31,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.1103739738464355,4.428916931152344,0.609375,0.7388888888888889,0.0,0.2675723433494568,4.428916931152344,0.984375,0.7388888888888889,0.0,0.7388888888888889,0.6974133849143982,0.7388888888888889,0.6974133849143982,0.0,0.0,0.0,0
32,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.0979646444320679,4.363524436950684,0.609375,0.7444444444444445,0.0,0.2544580101966858,4.363524436950684,0.984375,0.7444444444444445,0.0,0.7444444444444445,0.6865135431289673,0.7444444444444445,0.6865135431289673,0.0,0.0,0.0,0
33,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.0882394313812256,4.304974555969238,0.625,0.7444444444444445,0.0,0.24131721258163452,4.304974555969238,0.984375,0.7444444444444445,0.0,0.7444444444444445,0.6765011548995972,0.7444444444444445,0.6765011548995972,0.0,0.0,0.0,0
34,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.081490397453308,4.253289222717285,0.609375,0.75,0.0,0.2281823605298996,4.253289222717285,0.984375,0.75,0.0,0.75,0.6672934293746948,0.75,0.6672934293746948,0.0,0.0,0.0,0
35,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.0753952264785767,4.202315330505371,0.625,0.75,0.0,0.21611201763153076,4.202315330505371,1.0,0.75,0.0,0.75,0.6575160622596741,0.75,0.6575160622596741,0.0,0.0,0.0,0
36,powersgd,0.0001,32,0,5,gru,tapnet-NATOPS,16,10,1.0695936679840088,4.1563286781311035,0.625,0.75,0.0,0.2050246149301529,4.1563286781311035,1.0,0.75,0.0,0.75,0.6483618021011353,0.75,0.6483618021011353,0.0,0.0,0.0,0
