epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.9748821258544922,11.643540382385254,0.03125,0.21965317919075145,0.0,1.8909863233566284,11.643540382385254,0.46875,0.21965317919075145,0.0,0.21965317919075145,1.95978844165802,0.21965317919075145,1.95978844165802,0.0,0.0,0.0,0
1,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.9705654382705688,11.609339714050293,0.16666666666666666,0.2543352601156069,0.0,1.8461637496948242,11.609339714050293,0.5833333333333334,0.2543352601156069,0.0,0.2543352601156069,1.9696247577667236,0.2543352601156069,1.9696247577667236,0.0,0.0,0.0,0
2,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.9762425422668457,11.571647644042969,0.08333333333333333,0.20809248554913296,0.0,1.792661190032959,11.571647644042969,0.6875,0.20809248554913296,0.0,0.20809248554913296,1.9715087413787842,0.20809248554913296,1.9715087413787842,0.0,0.0,0.0,0
3,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.9882408380508423,11.533368110656738,0.0,0.1791907514450867,0.0,1.7341946363449097,11.533368110656738,0.5833333333333334,0.1791907514450867,0.0,0.1791907514450867,1.9736005067825317,0.1791907514450867,1.9736005067825317,0.0,0.0,0.0,0
4,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,2.003913402557373,11.481992721557617,0.0,0.24277456647398843,0.0,1.6713708639144897,11.481992721557617,0.6041666666666666,0.24277456647398843,0.0,0.24277456647398843,1.9751358032226562,0.24277456647398843,1.9751358032226562,0.0,0.0,0.0,0
5,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,2.0124824047088623,11.391683578491211,0.0,0.24277456647398843,0.0,1.6118544340133667,11.391683578491211,0.7291666666666666,0.24277456647398843,0.0,0.24277456647398843,1.9665007591247559,0.24277456647398843,1.9665007591247559,0.0,0.0,0.0,0
6,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,2.0056939125061035,11.258491516113281,0.0,0.24277456647398843,0.0,1.5635104179382324,11.258491516113281,0.7291666666666666,0.24277456647398843,0.0,0.24277456647398843,1.945406436920166,0.24277456647398843,1.945406436920166,0.0,0.0,0.0,0
7,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.9785739183425903,11.080554008483887,0.0,0.24277456647398843,0.0,1.5262988805770874,11.080554008483887,0.7291666666666666,0.24277456647398843,0.0,0.24277456647398843,1.9190418720245361,0.24277456647398843,1.9190418720245361,0.0,0.0,0.0,0
8,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.9364467859268188,10.891369819641113,0.0,0.24277456647398843,0.0,1.4948264360427856,10.891369819641113,0.75,0.24277456647398843,0.0,0.24277456647398843,1.8960543870925903,0.24277456647398843,1.8960543870925903,0.0,0.0,0.0,0
9,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.8998525142669678,10.664746284484863,0.0,0.24855491329479767,0.0,1.450415015220642,10.664746284484863,0.75,0.24855491329479767,0.0,0.24855491329479767,1.8659261465072632,0.24855491329479767,1.8659261465072632,0.0,0.0,0.0,0
10,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.8702363967895508,10.411222457885742,0.0,0.24277456647398843,0.0,1.3915315866470337,10.411222457885742,0.7604166666666666,0.24277456647398843,0.0,0.24277456647398843,1.8283966779708862,0.24277456647398843,1.8283966779708862,0.0,0.0,0.0,0
11,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.8355482816696167,10.143239974975586,0.0,0.2543352601156069,0.0,1.3274389505386353,10.143239974975586,0.78125,0.2543352601156069,0.0,0.2543352601156069,1.7888851165771484,0.2543352601156069,1.7888851165771484,0.0,0.0,0.0,0
12,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.8009216785430908,9.860712051391602,0.0,0.30057803468208094,0.0,1.2606483697891235,9.860712051391602,0.84375,0.30057803468208094,0.0,0.30057803468208094,1.747784972190857,0.30057803468208094,1.747784972190857,0.0,0.0,0.0,0
13,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.766772747039795,9.581684112548828,0.0,0.30057803468208094,0.0,1.186893105506897,9.581684112548828,0.8854166666666666,0.30057803468208094,0.0,0.30057803468208094,1.7040120363235474,0.30057803468208094,1.7040120363235474,0.0,0.0,0.0,0
14,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.7283780574798584,9.274839401245117,0.0,0.32947976878612717,0.0,1.1268101930618286,9.274839401245117,0.90625,0.32947976878612717,0.0,0.32947976878612717,1.6495680809020996,0.32947976878612717,1.6495680809020996,0.0,0.0,0.0,0
15,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.6861908435821533,8.98404312133789,0.0,0.3179190751445087,0.0,1.0737721920013428,8.98404312133789,0.9479166666666666,0.3179190751445087,0.0,0.3179190751445087,1.5960116386413574,0.3179190751445087,1.5960116386413574,0.0,0.0,0.0,0
16,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.6498053073883057,8.719316482543945,0.0,0.32947976878612717,0.0,1.0263043642044067,8.719316482543945,0.9583333333333334,0.32947976878612717,0.0,0.32947976878612717,1.547876238822937,0.32947976878612717,1.547876238822937,0.0,0.0,0.0,0
17,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.6286756992340088,8.46674633026123,0.0,0.3468208092485549,0.0,0.977973222732544,8.46674633026123,0.9583333333333334,0.3468208092485549,0.0,0.3468208092485549,1.4894993305206299,0.3468208092485549,1.4894993305206299,0.0,0.0,0.0,0
18,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.5857174396514893,8.251287460327148,0.010416666666666666,0.3468208092485549,0.0,0.9599898457527161,8.251287460327148,0.96875,0.3468208092485549,0.0,0.3468208092485549,1.445405125617981,0.3468208092485549,1.445405125617981,0.0,0.0,0.0,0
19,powersgd,0.0001,32,2,5,gru,tapnet-PEMS-SF,32,10,1.5711569786071777,8.061185836791992,0.03125,0.35260115606936415,0.0,0.9207277297973633,8.061185836791992,0.9791666666666666,0.35260115606936415,0.0,0.35260115606936415,1.4034743309020996,0.35260115606936415,1.4034743309020996,0.0,0.0,0.0,0
