epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,1.470491886138916,160.9548797607422,0.5692934782608695,0.7295597484276729,0.0,1.4113378524780273,160.9548797607422,0.6041095890410959,0.7295597484276729,0.0,0.7295597484276729,1.5168260335922241,0.7295597484276729,1.5168260335922241,0.0,0.0,0.0,0
1,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.7260681390762329,91.94385528564453,0.8233695652173914,0.7787307032590052,0.0,0.7626924514770508,91.94385528564453,0.7962328767123288,0.7787307032590052,0.0,0.7787307032590052,0.9024402499198914,0.7787307032590052,0.9024402499198914,0.0,0.0,0.0,0
2,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.405343234539032,65.08715057373047,0.8590353260869565,0.8121783876500858,0.0,0.4972500205039978,65.08715057373047,0.8417808219178082,0.8121783876500858,0.0,0.8121783876500858,0.5960165858268738,0.8121783876500858,0.5960165858268738,0.0,0.0,0.0,0
3,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.27235859632492065,52.01995086669922,0.8831521739130435,0.8444825614636935,0.0,0.35854244232177734,52.01995086669922,0.8886986301369864,0.8444825614636935,0.0,0.8444825614636935,0.4416491985321045,0.8444825614636935,0.4416491985321045,0.0,0.0,0.0,0
4,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.20201176404953003,44.18246078491211,0.9110054347826086,0.875071469411092,0.0,0.25988489389419556,44.18246078491211,0.9123287671232877,0.875071469411092,0.0,0.875071469411092,0.3660968542098999,0.875071469411092,0.3660968542098999,0.0,0.0,0.0,0
5,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.1662220060825348,39.24515914916992,0.9293478260869565,0.8882218410520297,0.0,0.19844383001327515,39.24515914916992,0.9243150684931507,0.8882218410520297,0.0,0.8882218410520297,0.3421986699104309,0.8882218410520297,0.3421986699104309,0.0,0.0,0.0,0
6,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.1434534639120102,35.8746337890625,0.9422554347826086,0.8982275586049171,0.0,0.1893858015537262,35.8746337890625,0.9339041095890411,0.8982275586049171,0.0,0.8982275586049171,0.3288269639015198,0.8982275586049171,0.3288269639015198,0.0,0.0,0.0,0
7,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.12456994503736496,33.11394500732422,0.9514266304347826,0.9079473985134362,0.0,0.1722007691860199,33.11394500732422,0.9431506849315069,0.9079473985134362,0.0,0.9079473985134362,0.32624801993370056,0.9079473985134362,0.32624801993370056,0.0,0.0,0.0,0
8,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.09978489577770233,30.885984420776367,0.9599184782608695,0.915666094911378,0.0,0.13573569059371948,30.885984420776367,0.9486301369863014,0.915666094911378,0.0,0.915666094911378,0.3066948354244232,0.915666094911378,0.3066948354244232,0.0,0.0,0.0,0
9,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.08326255530118942,29.325483322143555,0.9629755434782609,0.9202401372212693,0.0,0.11289957165718079,29.325483322143555,0.9534246575342465,0.9202401372212693,0.0,0.9202401372212693,0.2900387644767761,0.9202401372212693,0.2900387644767761,0.0,0.0,0.0,0
10,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.07098503410816193,28.085596084594727,0.9663722826086957,0.9248141795311606,0.0,0.09396407008171082,28.085596084594727,0.9585616438356165,0.9248141795311606,0.0,0.9248141795311606,0.2839249074459076,0.9248141795311606,0.2839249074459076,0.0,0.0,0.0,0
11,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.06764748692512512,26.759511947631836,0.970108695652174,0.9273870783304745,0.0,0.0864521861076355,26.759511947631836,0.9609589041095891,0.9273870783304745,0.0,0.9273870783304745,0.2551192045211792,0.9273870783304745,0.2551192045211792,0.0,0.0,0.0,0
12,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.05849316716194153,26.352853775024414,0.9718070652173914,0.9293882218410521,0.0,0.07464921474456787,26.352853775024414,0.9667808219178082,0.9293882218410521,0.0,0.9293882218410521,0.25165873765945435,0.9293882218410521,0.25165873765945435,0.0,0.0,0.0,0
13,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.05603121221065521,25.294530868530273,0.9758831521739131,0.9308176100628931,0.0,0.07099562883377075,25.294530868530273,0.9702054794520548,0.9308176100628931,0.0,0.9308176100628931,0.22783713042736053,0.9308176100628931,0.22783713042736053,0.0,0.0,0.0,0
14,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.04938049614429474,24.83161163330078,0.9769021739130435,0.9336763865065751,0.0,0.05882507562637329,24.83161163330078,0.9719178082191781,0.9336763865065751,0.0,0.9336763865065751,0.22091355919837952,0.9336763865065751,0.22091355919837952,0.0,0.0,0.0,0
15,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.04702521860599518,24.226184844970703,0.9799592391304348,0.9345340194396798,0.0,0.05503267049789429,24.226184844970703,0.9753424657534246,0.9345340194396798,0.0,0.9345340194396798,0.2158300131559372,0.9345340194396798,0.2158300131559372,0.0,0.0,0.0,0
16,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.044129326939582825,23.919979095458984,0.9802989130434783,0.9368210405946255,0.0,0.05466991662979126,23.919979095458984,0.9773972602739726,0.9368210405946255,0.0,0.9368210405946255,0.2059398889541626,0.9368210405946255,0.2059398889541626,0.0,0.0,0.0,0
17,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.042529866099357605,23.171218872070312,0.9806385869565217,0.9373927958833619,0.0,0.047494471073150635,23.171218872070312,0.977054794520548,0.9373927958833619,0.0,0.9373927958833619,0.197419211268425,0.9373927958833619,0.197419211268425,0.0,0.0,0.0,0
18,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.039172738790512085,23.04838752746582,0.983016304347826,0.9368210405946255,0.0,0.04872006177902222,23.04838752746582,0.9787671232876712,0.9368210405946255,0.0,0.9368210405946255,0.1972208470106125,0.9368210405946255,0.1972208470106125,0.0,0.0,0.0,0
19,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.03705354034900665,22.732799530029297,0.9840353260869565,0.9371069182389937,0.0,0.04516899585723877,22.732799530029297,0.9804794520547945,0.9371069182389937,0.0,0.9371069182389937,0.19061675667762756,0.9371069182389937,0.19061675667762756,0.0,0.0,0.0,0
20,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.034672752022743225,22.566673278808594,0.984375,0.9382504288164666,0.0,0.04374682903289795,22.566673278808594,0.9835616438356164,0.9382504288164666,0.0,0.9382504288164666,0.18957462906837463,0.9382504288164666,0.18957462906837463,0.0,0.0,0.0,0
21,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.03175768256187439,22.242835998535156,0.9867527173913043,0.938822184105203,0.0,0.043118178844451904,22.242835998535156,0.9856164383561644,0.938822184105203,0.0,0.938822184105203,0.17536970973014832,0.938822184105203,0.17536970973014832,0.0,0.0,0.0,0
22,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.027964353561401367,22.2305850982666,0.9874320652173914,0.9399656946826758,0.0,0.04287821054458618,22.2305850982666,0.9863013698630136,0.9399656946826758,0.0,0.9399656946826758,0.17001795768737793,0.9399656946826758,0.17001795768737793,0.0,0.0,0.0,0
23,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.02516983449459076,21.970745086669922,0.9877717391304348,0.9413950829045169,0.0,0.040605127811431885,21.970745086669922,0.9863013698630136,0.9413950829045169,0.0,0.9413950829045169,0.1602448672056198,0.9413950829045169,0.1602448672056198,0.0,0.0,0.0,0
24,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.0234060138463974,21.557003021240234,0.9891304347826086,0.9425385934819898,0.0,0.03381139039993286,21.557003021240234,0.9873287671232877,0.9425385934819898,0.0,0.9425385934819898,0.15291492640972137,0.9425385934819898,0.15291492640972137,0.0,0.0,0.0,0
25,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.02314913272857666,21.34513282775879,0.9894701086956522,0.9425385934819898,0.0,0.035694897174835205,21.34513282775879,0.988013698630137,0.9425385934819898,0.0,0.9425385934819898,0.14489884674549103,0.9425385934819898,0.14489884674549103,0.0,0.0,0.0,0
26,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.021644622087478638,20.87525177001953,0.9904891304347826,0.9448256146369354,0.0,0.03226202726364136,20.87525177001953,0.988013698630137,0.9448256146369354,0.0,0.9448256146369354,0.1393381655216217,0.9448256146369354,0.1393381655216217,0.0,0.0,0.0,0
27,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.019981086254119873,20.894060134887695,0.9904891304347826,0.9436821040594625,0.0,0.035672545433044434,20.894060134887695,0.9886986301369863,0.9436821040594625,0.0,0.9436821040594625,0.1382286548614502,0.9436821040594625,0.1382286548614502,0.0,0.0,0.0,0
28,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.016766399145126343,20.78202247619629,0.9915081521739131,0.9436821040594625,0.0,0.032189905643463135,20.78202247619629,0.989041095890411,0.9436821040594625,0.0,0.9436821040594625,0.12497401237487793,0.9436821040594625,0.12497401237487793,0.0,0.0,0.0,0
29,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.01630614697933197,20.677391052246094,0.9918478260869565,0.9456832475700401,0.0,0.032338857650756836,20.677391052246094,0.9900684931506849,0.9456832475700401,0.0,0.9456832475700401,0.13720324635505676,0.9456832475700401,0.13720324635505676,0.0,0.0,0.0,0
30,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.015155598521232605,20.476093292236328,0.9925271739130435,0.9451114922813036,0.0,0.03177565336227417,20.476093292236328,0.9910958904109589,0.9451114922813036,0.0,0.9451114922813036,0.12265332043170929,0.9451114922813036,0.12265332043170929,0.0,0.0,0.0,0
31,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.014125168323516846,20.256752014160156,0.9928668478260869,0.9473985134362493,0.0,0.031378865242004395,20.256752014160156,0.9907534246575342,0.9473985134362493,0.0,0.9473985134362493,0.11763572692871094,0.9473985134362493,0.11763572692871094,0.0,0.0,0.0,0
32,powersgd,0.0001,32,1,5,gru,tapnet-PenDigits,16,10,0.013617977499961853,20.290109634399414,0.9932065217391305,0.9462550028587764,0.0,0.02826482057571411,20.290109634399414,0.9914383561643836,0.9462550028587764,0.0,0.9462550028587764,0.11413445323705673,0.9462550028587764,0.11413445323705673,0.0,0.0,0.0,0
