epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.8205807209014893,51.104209899902344,0.6345274390243902,0.8581173260572987,0.0,0.8311423063278198,51.104209899902344,0.6326219512195121,0.8581173260572987,0.0,0.8581173260572987,0.5777618288993835,0.8581173260572987,0.5777618288993835,0.0,0.0,0.0,0
1,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.3311155438423157,21.40791893005371,0.8951981707317073,0.9508867667121419,0.0,0.38956016302108765,21.40791893005371,0.8932926829268293,0.9508867667121419,0.0,0.9508867667121419,0.11729113757610321,0.9508867667121419,0.11729113757610321,0.0,0.0,0.0,0
2,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.17240561544895172,12.873198509216309,0.9489329268292683,0.9608913142337426,0.0,0.21785710752010345,12.873198509216309,0.953125,0.9608913142337426,0.0,0.9608913142337426,0.057647496461868286,0.9608913142337426,0.057647496461868286,0.0,0.0,0.0,0
3,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.10084797441959381,9.412089347839355,0.9641768292682927,0.9663483401546157,0.0,0.14215348660945892,9.412089347839355,0.9717987804878049,0.9663483401546157,0.0,0.9663483401546157,0.02568240836262703,0.9663483401546157,0.02568240836262703,0.0,0.0,0.0,0
4,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.06734663993120193,7.992556095123291,0.9733231707317073,0.969531605275125,0.0,0.10465485602617264,7.992556095123291,0.9798018292682927,0.969531605275125,0.0,0.969531605275125,0.01192171685397625,0.969531605275125,0.01192171685397625,0.0,0.0,0.0,0
5,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.04870292544364929,7.156754970550537,0.9824695121951219,0.9722601182355616,0.0,0.0873427614569664,7.156754970550537,0.9866615853658537,0.9722601182355616,0.0,0.9722601182355616,0.007465279661118984,0.9722601182355616,0.007465279661118984,0.0,0.0,0.0,0
6,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.03774726390838623,6.755210876464844,0.9881859756097561,0.9736243747157799,0.0,0.06788923591375351,6.755210876464844,0.9889481707317073,0.9736243747157799,0.0,0.9736243747157799,0.005705584771931171,0.9736243747157799,0.005705584771931171,0.0,0.0,0.0,0
7,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.03403022885322571,6.543635368347168,0.9908536585365854,0.9758981355161437,0.0,0.059266097843647,6.543635368347168,0.993140243902439,0.9758981355161437,0.0,0.9758981355161437,0.005172708537429571,0.9758981355161437,0.005172708537429571,0.0,0.0,0.0,0
8,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.033660441637039185,6.659072399139404,0.993140243902439,0.9745338790359254,0.0,0.05185157060623169,6.659072399139404,0.9939024390243902,0.9745338790359254,0.0,0.9745338790359254,0.004170417785644531,0.9745338790359254,0.004170417785644531,0.0,0.0,0.0,0
9,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.02942536771297455,6.729970932006836,0.9946646341463414,0.9745338790359254,0.0,0.04471328854560852,6.729970932006836,0.9954268292682927,0.9745338790359254,0.0,0.9745338790359254,0.003918896429240704,0.9745338790359254,0.003918896429240704,0.0,0.0,0.0,0
10,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.027777723968029022,6.729085922241211,0.995045731707317,0.9745338790359254,0.0,0.04040605574846268,6.729085922241211,0.9954268292682927,0.9745338790359254,0.0,0.9745338790359254,0.003989261109381914,0.9745338790359254,0.003989261109381914,0.0,0.0,0.0,0
11,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.02790161222219467,7.1990180015563965,0.9958079268292683,0.9708958617553434,0.0,0.03252531588077545,7.1990180015563965,0.9958079268292683,0.9708958617553434,0.0,0.9708958617553434,0.00270014232955873,0.9708958617553434,0.00270014232955873,0.0,0.0,0.0,0
12,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.024844124913215637,7.310603141784668,0.9965701219512195,0.9731696225557072,0.0,0.02595198154449463,7.310603141784668,0.9954268292682927,0.9731696225557072,0.0,0.9731696225557072,0.0029345802031457424,0.9731696225557072,0.0029345802031457424,0.0,0.0,0.0,0
13,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.02608005702495575,7.8649420738220215,0.9973323170731707,0.9718053660754888,0.0,0.024161413311958313,7.8649420738220215,0.9961890243902439,0.9718053660754888,0.0,0.9718053660754888,0.003550114808604121,0.9718053660754888,0.003550114808604121,0.0,0.0,0.0,0
14,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.021667659282684326,8.129447937011719,0.9973323170731707,0.9713506139154161,0.0,0.021220341324806213,8.129447937011719,0.9961890243902439,0.9713506139154161,0.0,0.9713506139154161,0.0028858184814453125,0.9713506139154161,0.0028858184814453125,0.0,0.0,0.0,0
15,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.017558827996253967,8.749455451965332,0.9980945121951219,0.969531605275125,0.0,0.01596730947494507,8.749455451965332,0.9965701219512195,0.969531605275125,0.0,0.969531605275125,0.002868901239708066,0.969531605275125,0.002868901239708066,0.0,0.0,0.0,0
16,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.01729525625705719,9.902535438537598,0.9980945121951219,0.9672578444747613,0.0,0.015434905886650085,9.902535438537598,0.9965701219512195,0.9672578444747613,0.0,0.9672578444747613,0.002587650204077363,0.9672578444747613,0.002587650204077363,0.0,0.0,0.0,0
17,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.014249563217163086,10.292598724365234,0.9984756097560976,0.9672578444747613,0.0,0.012405455112457275,10.292598724365234,0.9969512195121951,0.9672578444747613,0.0,0.9672578444747613,0.0027450064662843943,0.9672578444747613,0.0027450064662843943,0.0,0.0,0.0,0
18,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.011746734380722046,10.362350463867188,0.9988567073170732,0.9681673487949067,0.0,0.011530876159667969,10.362350463867188,0.9977134146341463,0.9681673487949067,0.0,0.9681673487949067,0.0026017893105745316,0.9681673487949067,0.0026017893105745316,0.0,0.0,0.0,0
19,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.005811780691146851,10.142342567443848,0.9988567073170732,0.9704411095952705,0.0,0.01053878664970398,10.142342567443848,0.9984756097560976,0.9704411095952705,0.0,0.9704411095952705,0.002665063599124551,0.9704411095952705,0.002665063599124551,0.0,0.0,0.0,0
20,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.004088222980499268,9.780375480651855,0.9988567073170732,0.9718053660754888,0.0,0.007961034774780273,9.780375480651855,0.9984756097560976,0.9718053660754888,0.0,0.9718053660754888,0.0013358074938878417,0.9718053660754888,0.0013358074938878417,0.0,0.0,0.0,0
21,powersgd,0.0001,32,0,5,gru,tapnet-SpokenArabicDigits,32,10,0.0018751323223114014,7.6849284172058105,0.9992378048780488,0.9763528876762164,0.0,0.005644083023071289,7.6849284172058105,0.9996189024390244,0.9763528876762164,0.0,0.9763528876762164,0.0008930537733249366,0.9763528876762164,0.0008930537733249366,0.0,0.0,0.0,0
