epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=20, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=11648, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=3, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=20, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=11648, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=3, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=20, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=11648, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=3, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,2.059811592102051,84.27404022216797,0.4861111111111111,0.6434540389972145,0.0,2.0104141235351562,84.27404022216797,0.41560798548094374,0.6434540389972145,0.0,0.6434540389972145,0.8497985601425171,0.6434540389972145,0.8497985601425171,0.0,0.0,0.0,0
1,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,1.3610808849334717,53.18738555908203,0.71875,0.7639275766016713,0.0,1.0829503536224365,53.18738555908203,0.7368421052631579,0.7639275766016713,0.0,0.7639275766016713,0.35334616899490356,0.7639275766016713,0.35334616899490356,0.0,0.0,0.0,0
2,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.9622164368629456,37.830848693847656,0.8038194444444444,0.8182451253481894,0.0,0.5604769587516785,37.830848693847656,0.809437386569873,0.8182451253481894,0.0,0.8182451253481894,0.25902557373046875,0.8182451253481894,0.25902557373046875,0.0,0.0,0.0,0
3,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.7973029017448425,30.12640380859375,0.8524305555555556,0.8516713091922006,0.0,0.3517210781574249,30.12640380859375,0.8475499092558983,0.8516713091922006,0.0,0.8516713091922006,0.17525818943977356,0.8516713091922006,0.17525818943977356,0.0,0.0,0.0,0
4,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.7035032510757446,25.166648864746094,0.8732638888888888,0.878133704735376,0.0,0.2472737580537796,25.166648864746094,0.8856624319419237,0.878133704735376,0.0,0.878133704735376,0.12763677537441254,0.878133704735376,0.12763677537441254,0.0,0.0,0.0,0
5,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.640093207359314,21.771032333374023,0.890625,0.8920612813370473,0.0,0.18565914034843445,21.771032333374023,0.9038112522686026,0.8920612813370473,0.0,0.8920612813370473,0.11264189332723618,0.8920612813370473,0.11264189332723618,0.0,0.0,0.0,0
6,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.5840884447097778,19.188905715942383,0.9149305555555556,0.9080779944289693,0.0,0.14346811175346375,19.188905715942383,0.9310344827586207,0.9080779944289693,0.0,0.9080779944289693,0.10050814598798752,0.9080779944289693,0.10050814598798752,0.0,0.0,0.0,0
7,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.5338254570960999,17.12721061706543,0.9305555555555556,0.9233983286908078,0.0,0.11694949120283127,17.12721061706543,0.9437386569872959,0.9233983286908078,0.0,0.9233983286908078,0.08916282653808594,0.9233983286908078,0.08916282653808594,0.0,0.0,0.0,0
8,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.4888762831687927,15.515204429626465,0.9427083333333334,0.9324512534818942,0.0,0.09716320037841797,15.515204429626465,0.9582577132486388,0.9324512534818942,0.0,0.9324512534818942,0.07430512458086014,0.9324512534818942,0.07430512458086014,0.0,0.0,0.0,0
9,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.4427242577075958,14.180906295776367,0.9479166666666666,0.9373259052924791,0.0,0.08350086212158203,14.180906295776367,0.9673321234119783,0.9373259052924791,0.0,0.9373259052924791,0.06586522608995438,0.9373259052924791,0.06586522608995438,0.0,0.0,0.0,0
10,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.40266871452331543,13.047977447509766,0.9513888888888888,0.9401114206128134,0.0,0.06870923936367035,13.047977447509766,0.9782214156079855,0.9401114206128134,0.0,0.9401114206128134,0.060403551906347275,0.9401114206128134,0.060403551906347275,0.0,0.0,0.0,0
11,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.36723577976226807,12.04520320892334,0.9548611111111112,0.9428969359331476,0.0,0.05839184299111366,12.04520320892334,0.9800362976406534,0.9428969359331476,0.0,0.9428969359331476,0.058152761310338974,0.9428969359331476,0.058152761310338974,0.0,0.0,0.0,0
12,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.33379626274108887,11.172483444213867,0.9635416666666666,0.9456824512534819,0.0,0.05286148563027382,11.172483444213867,0.9818511796733213,0.9456824512534819,0.0,0.9456824512534819,0.0564214326441288,0.9456824512534819,0.0564214326441288,0.0,0.0,0.0,0
13,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.30991604924201965,10.5654296875,0.9670138888888888,0.9491643454038997,0.0,0.04552752524614334,10.5654296875,0.985480943738657,0.9491643454038997,0.0,0.9491643454038997,0.055439114570617676,0.9491643454038997,0.055439114570617676,0.0,0.0,0.0,0
14,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.2752559185028076,10.080323219299316,0.9704861111111112,0.9498607242339833,0.0,0.03962775692343712,10.080323219299316,0.985480943738657,0.9498607242339833,0.0,0.9498607242339833,0.05214161425828934,0.9498607242339833,0.05214161425828934,0.0,0.0,0.0,0
15,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.2451770156621933,9.575410842895508,0.9756944444444444,0.9484679665738162,0.0,0.03530413657426834,9.575410842895508,0.9891107078039928,0.9484679665738162,0.0,0.9484679665738162,0.04701822251081467,0.9484679665738162,0.04701822251081467,0.0,0.0,0.0,0
16,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.21816380321979523,9.204427719116211,0.9791666666666666,0.9505571030640668,0.0,0.03128712624311447,9.204427719116211,0.9945553539019963,0.9505571030640668,0.0,0.9505571030640668,0.04109663516283035,0.9505571030640668,0.04109663516283035,0.0,0.0,0.0,0
17,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.19959785044193268,8.915023803710938,0.9826388888888888,0.9505571030640668,0.0,0.02897500991821289,8.915023803710938,0.9963702359346642,0.9505571030640668,0.0,0.9505571030640668,0.03762585669755936,0.9505571030640668,0.03762585669755936,0.0,0.0,0.0,0
18,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.1848493069410324,8.711397171020508,0.984375,0.9505571030640668,0.0,0.026113510131835938,8.711397171020508,0.9981851179673321,0.9505571030640668,0.0,0.9505571030640668,0.03411057963967323,0.9505571030640668,0.03411057963967323,0.0,0.0,0.0,0
19,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.17065291106700897,8.493199348449707,0.9913194444444444,0.9519498607242339,0.0,0.02252013422548771,8.493199348449707,1.0,0.9519498607242339,0.0,0.9519498607242339,0.03266583010554314,0.9519498607242339,0.03266583010554314,0.0,0.0,0.0,0
20,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.15569043159484863,8.27038288116455,0.9947916666666666,0.9540389972144847,0.0,0.020578112453222275,8.27038288116455,1.0,0.9540389972144847,0.0,0.9540389972144847,0.03279757499694824,0.9540389972144847,0.03279757499694824,0.0,0.0,0.0,0
21,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.14118745923042297,8.096168518066406,0.9947916666666666,0.9526462395543176,0.0,0.018854890018701553,8.096168518066406,1.0,0.9526462395543176,0.0,0.9526462395543176,0.032796792685985565,0.9526462395543176,0.032796792685985565,0.0,0.0,0.0,0
22,rankdad,0.0001,32,3,5,gru,tapnet-CharacterTrajectories,4,10,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,1.894736842105263,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,3.789473684210526,0.13038963079452515,7.915563106536865,0.9965277777777778,0.9540389972144847,0.0,0.016108648851513863,7.915563106536865,1.0,0.9540389972144847,0.0,0.9540389972144847,0.03221164271235466,0.9540389972144847,0.03221164271235466,0.0,0.0,0.0,0
