epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=2, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=25920, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=61, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=2, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=25920, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=61, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=2, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=25920, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=61, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,2.0,14.0,14.0,14.0,14.0,3.0,28.0,28.0,28.0,28.0,0.7116526365280151,5.366141319274902,0.4375,0.2975609756097561,0.0,0.6879351139068604,5.366141319274902,0.625,0.2975609756097561,0.0,0.2975609756097561,0.8491061925888062,0.2975609756097561,0.8491061925888062,0.0,0.0,0.0,0
1,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,11.0,1.0,14.0,14.0,14.0,14.0,2.0,28.0,28.0,28.0,25.0,0.4554635286331177,5.378526210784912,1.0,0.3024390243902439,0.0,0.7895930409431458,5.378526210784912,0.125,0.3024390243902439,0.0,0.3024390243902439,0.8580741882324219,0.3024390243902439,0.8580741882324219,0.0,0.0,0.0,0
2,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,14.0,2.0,28.0,28.0,28.0,28.0,0.4071030616760254,5.227484703063965,1.0,0.32682926829268294,0.0,0.7419878840446472,5.227484703063965,0.1875,0.32682926829268294,0.0,0.32682926829268294,0.8271143436431885,0.32682926829268294,0.8271143436431885,0.0,0.0,0.0,0
3,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,14.0,2.0,28.0,28.0,28.0,28.0,0.4005658030509949,5.149971961975098,1.0,0.35121951219512193,0.0,0.6797704100608826,5.149971961975098,0.40625,0.35121951219512193,0.0,0.35121951219512193,0.8086299300193787,0.35121951219512193,0.8086299300193787,0.0,0.0,0.0,0
4,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,14.0,2.0,28.0,28.0,28.0,28.0,0.3846640884876251,5.155011177062988,1.0,0.35609756097560974,0.0,0.6356915235519409,5.155011177062988,0.5625,0.35609756097560974,0.0,0.35609756097560974,0.8069770336151123,0.35609756097560974,0.8069770336151123,0.0,0.0,0.0,0
5,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,13.0,2.0,28.0,28.0,28.0,27.0,0.3572455048561096,5.199343204498291,1.0,0.375609756097561,0.0,0.6073105335235596,5.199343204498291,0.625,0.375609756097561,0.0,0.375609756097561,0.8152294158935547,0.375609756097561,0.8152294158935547,0.0,0.0,0.0,0
6,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,12.0,2.0,28.0,28.0,28.0,26.0,0.3267878592014313,5.232146739959717,1.0,0.4,0.0,0.5854935646057129,5.232146739959717,0.65625,0.4,0.0,0.4,0.8210735321044922,0.4,0.8210735321044922,0.0,0.0,0.0,0
7,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,10.0,2.0,28.0,28.0,28.0,24.0,0.3018939793109894,5.214924335479736,0.96875,0.424390243902439,0.0,0.5611850619316101,5.214924335479736,0.75,0.424390243902439,0.0,0.424390243902439,0.8133612275123596,0.424390243902439,0.8133612275123596,0.0,0.0,0.0,0
8,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,13.0,2.0,28.0,28.0,28.0,27.0,0.2864842414855957,5.143666744232178,0.96875,0.44390243902439025,0.0,0.5293257236480713,5.143666744232178,0.78125,0.44390243902439025,0.0,0.44390243902439025,0.7900481820106506,0.44390243902439025,0.7900481820106506,0.0,0.0,0.0,0
9,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,2.0,14.0,14.0,14.0,12.0,3.0,28.0,28.0,28.0,26.0,0.2785796523094177,5.0738301277160645,0.96875,0.47804878048780486,0.0,0.49099186062812805,5.0738301277160645,0.875,0.47804878048780486,0.0,0.47804878048780486,0.7640753984451294,0.47804878048780486,0.7640753984451294,0.0,0.0,0.0,0
10,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,11.0,2.0,28.0,28.0,28.0,25.0,0.27069342136383057,5.041520595550537,0.96875,0.4975609756097561,0.0,0.4544542729854584,5.041520595550537,0.9375,0.4975609756097561,0.0,0.4975609756097561,0.7455983757972717,0.4975609756097561,0.7455983757972717,0.0,0.0,0.0,0
11,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,2.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,14.0,3.0,28.0,28.0,28.0,28.0,0.25800982117652893,5.0461530685424805,0.96875,0.5121951219512195,0.0,0.4242827892303467,5.0461530685424805,1.0,0.5121951219512195,0.0,0.5121951219512195,0.735192060470581,0.5121951219512195,0.735192060470581,0.0,0.0,0.0,0
12,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,14.0,2.0,28.0,28.0,28.0,28.0,0.2413415014743805,5.0714006423950195,0.96875,0.5170731707317073,0.0,0.40016040205955505,5.0714006423950195,1.0,0.5170731707317073,0.0,0.5170731707317073,0.7294876575469971,0.5170731707317073,0.7294876575469971,0.0,0.0,0.0,0
13,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,10.0,2.0,28.0,28.0,28.0,24.0,0.22309035062789917,5.093969345092773,0.96875,0.5219512195121951,0.0,0.3791866600513458,5.093969345092773,1.0,0.5219512195121951,0.0,0.5219512195121951,0.7216234803199768,0.5219512195121951,0.7216234803199768,0.0,0.0,0.0,0
14,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,11.0,2.0,28.0,28.0,28.0,25.0,0.20672476291656494,5.098067283630371,0.96875,0.5317073170731708,0.0,0.3581668436527252,5.098067283630371,1.0,0.5317073170731708,0.0,0.5317073170731708,0.7078352570533752,0.5317073170731708,0.7078352570533752,0.0,0.0,0.0,0
15,rankdad,0.0001,32,0,5,gru,tapnet-Heartbeat,16,10,1.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,14.0,11.0,2.0,28.0,28.0,28.0,25.0,0.19362860918045044,5.084558010101318,0.96875,0.5463414634146342,0.0,0.3350326716899872,5.084558010101318,1.0,0.5463414634146342,0.0,0.5463414634146342,0.6872784495353699,0.5463414634146342,0.6872784495353699,0.0,0.0,0.0,0
