epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=24, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=24, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=6, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=3264, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=24, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,1.65395188331604,10.14346981048584,0.359375,0.28888888888888886,0.0,1.796431064605713,10.14346981048584,0.125,0.28888888888888886,0.0,0.28888888888888886,1.6433346271514893,0.28888888888888886,1.6433346271514893,0.0,0.0,0.0,0
1,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,1.5551249980926514,9.434925079345703,0.4375,0.37222222222222223,0.0,1.645054817199707,9.434925079345703,0.375,0.37222222222222223,0.0,0.37222222222222223,1.538852572441101,0.37222222222222223,1.538852572441101,0.0,0.0,0.0,0
2,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,1.4704878330230713,8.829490661621094,0.5,0.5444444444444444,0.0,1.5096138715744019,8.829490661621094,0.484375,0.5444444444444444,0.0,0.5444444444444444,1.4466115236282349,0.5444444444444444,1.4466115236282349,0.0,0.0,0.0,0
3,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,4.5,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,1.3997020721435547,8.279335975646973,0.625,0.6555555555555556,0.0,1.3777998685836792,8.279335975646973,0.796875,0.6555555555555556,0.0,0.6555555555555556,1.3624169826507568,0.6555555555555556,1.3624169826507568,0.0,0.0,0.0,0
4,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.340567708015442,7.7386932373046875,0.6875,0.6944444444444444,0.0,1.241626501083374,7.7386932373046875,0.875,0.6944444444444444,0.0,0.6944444444444444,1.2755314111709595,0.6944444444444444,1.2755314111709595,0.0,0.0,0.0,0
5,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.2887383699417114,7.20507287979126,0.625,0.7222222222222222,0.0,1.1017802953720093,7.20507287979126,0.890625,0.7222222222222222,0.0,0.7222222222222222,1.1888532638549805,0.7222222222222222,1.1888532638549805,0.0,0.0,0.0,0
6,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.2441108226776123,6.698800086975098,0.65625,0.7166666666666667,0.0,0.9629862904548645,6.698800086975098,0.90625,0.7166666666666667,0.0,0.7166666666666667,1.107370376586914,0.7166666666666667,1.107370376586914,0.0,0.0,0.0,0
7,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,1.2039313316345215,6.225676536560059,0.671875,0.7333333333333333,0.0,0.8347464203834534,6.225676536560059,0.921875,0.7333333333333333,0.0,0.7333333333333333,1.0304968357086182,0.7333333333333333,1.0304968357086182,0.0,0.0,0.0,0
8,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,9.5,12.0,12.0,12.0,12.0,1.163616418838501,5.7879743576049805,0.6875,0.7555555555555555,0.0,0.7234256267547607,5.7879743576049805,0.9375,0.7555555555555555,0.0,0.7555555555555555,0.9590673446655273,0.7555555555555555,0.9590673446655273,0.0,0.0,0.0,0
9,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,11.0,12.0,12.0,12.0,12.0,1.1220433712005615,5.392965316772461,0.6875,0.75,0.0,0.6306135654449463,5.392965316772461,0.953125,0.75,0.0,0.75,0.8942474126815796,0.75,0.8942474126815796,0.0,0.0,0.0,0
10,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.5,6.0,6.0,6.0,6.0,4.5,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.078157663345337,5.040943622589111,0.65625,0.7444444444444445,0.0,0.5542746186256409,5.040943622589111,0.953125,0.7444444444444445,0.0,0.7444444444444445,0.8371638059616089,0.7444444444444445,0.8371638059616089,0.0,0.0,0.0,0
11,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,1.032407283782959,4.734439849853516,0.671875,0.7555555555555555,0.0,0.49132031202316284,4.734439849853516,0.953125,0.7555555555555555,0.0,0.7555555555555555,0.7876062989234924,0.7555555555555555,0.7876062989234924,0.0,0.0,0.0,0
12,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.5,6.0,6.0,6.0,6.0,10.5,12.0,12.0,12.0,12.0,0.9871010780334473,4.468785762786865,0.671875,0.7444444444444445,0.0,0.4384526014328003,4.468785762786865,0.96875,0.7444444444444445,0.0,0.7444444444444445,0.7448588013648987,0.7444444444444445,0.7448588013648987,0.0,0.0,0.0,0
13,rankdad,0.0001,32,4,5,gru,tapnet-NATOPS,8,10,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,12.0,12.0,12.0,12.0,0.9447935819625854,4.233235836029053,0.671875,0.7388888888888889,0.0,0.3925589621067047,4.233235836029053,0.96875,0.7388888888888889,0.0,0.7388888888888889,0.7068675756454468,0.7388888888888889,0.7068675756454468,0.0,0.0,0.0,0
