epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=7, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=9216, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=963, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=7, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=9216, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=963, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=7, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=9216, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=963, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,4.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,8.0,12.0,12.0,12.0,12.0,1.9720959663391113,11.617783546447754,0.0625,0.1329479768786127,0.0,1.8805772066116333,11.617783546447754,0.4166666666666667,0.1329479768786127,0.0,0.1329479768786127,1.9551392793655396,0.1329479768786127,1.9551392793655396,0.0,0.0,0.0,0
1,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,5.0,6.0,6.0,6.0,6.0,4.666666666666667,6.0,6.0,6.0,6.0,9.666666666666666,12.0,12.0,12.0,12.0,1.9728928804397583,11.552857398986816,0.010416666666666666,0.12716763005780346,0.0,1.816853642463684,11.552857398986816,0.4375,0.12716763005780346,0.0,0.12716763005780346,1.9475394487380981,0.12716763005780346,1.9475394487380981,0.0,0.0,0.0,0
2,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,4.333333333333333,6.0,6.0,6.0,6.0,4.333333333333333,6.0,6.0,6.0,6.0,8.666666666666666,12.0,12.0,12.0,12.0,1.9787402153015137,11.491423606872559,0.0,0.12716763005780346,0.0,1.74755859375,11.491423606872559,0.3541666666666667,0.12716763005780346,0.0,0.12716763005780346,1.9372494220733643,0.12716763005780346,1.9372494220733643,0.0,0.0,0.0,0
3,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,4.0,6.0,6.0,6.0,6.0,5.666666666666667,6.0,6.0,6.0,6.0,9.666666666666666,12.0,12.0,12.0,12.0,1.9822123050689697,11.414870262145996,0.0,0.18497109826589594,0.0,1.6783404350280762,11.414870262145996,0.3541666666666667,0.18497109826589594,0.0,0.18497109826589594,1.9277713298797607,0.18497109826589594,1.9277713298797607,0.0,0.0,0.0,0
4,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,4.333333333333333,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,8.333333333333334,12.0,12.0,12.0,12.0,1.9744163751602173,11.302030563354492,0.0,0.24277456647398843,0.0,1.6173505783081055,11.302030563354492,0.6875,0.24277456647398843,0.0,0.24277456647398843,1.915231466293335,0.24277456647398843,1.915231466293335,0.0,0.0,0.0,0
5,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,4.666666666666667,6.0,6.0,6.0,6.0,4.333333333333333,6.0,6.0,6.0,6.0,9.0,12.0,12.0,12.0,12.0,1.9557645320892334,11.142924308776855,0.0,0.24277456647398843,0.0,1.5605289936065674,11.142924308776855,0.71875,0.24277456647398843,0.0,0.24277456647398843,1.8965519666671753,0.24277456647398843,1.8965519666671753,0.0,0.0,0.0,0
6,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,5.333333333333333,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,9.333333333333334,12.0,12.0,12.0,12.0,1.9248762130737305,10.93084716796875,0.0,0.24277456647398843,0.0,1.5064170360565186,10.93084716796875,0.71875,0.24277456647398843,0.0,0.24277456647398843,1.8698195219039917,0.24277456647398843,1.8698195219039917,0.0,0.0,0.0,0
7,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,4.666666666666667,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,8.666666666666666,12.0,12.0,12.0,12.0,1.8827149868011475,10.660505294799805,0.0,0.24277456647398843,0.0,1.4491262435913086,10.660505294799805,0.7291666666666666,0.24277456647398843,0.0,0.24277456647398843,1.8317652940750122,0.24277456647398843,1.8317652940750122,0.0,0.0,0.0,0
8,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,4.666666666666667,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,8.666666666666666,12.0,12.0,12.0,12.0,1.8306043148040771,10.325984954833984,0.020833333333333332,0.24855491329479767,0.0,1.3818384408950806,10.325984954833984,0.7291666666666666,0.24855491329479767,0.0,0.24855491329479767,1.7801445722579956,0.24855491329479767,1.7801445722579956,0.0,0.0,0.0,0
9,rankdad,0.0001,32,3,5,gru,tapnet-PEMS-SF,8,10,5.0,6.0,6.0,6.0,6.0,4.333333333333333,6.0,6.0,6.0,6.0,9.333333333333334,12.0,12.0,12.0,12.0,1.7752960920333862,9.938312530517578,0.020833333333333332,0.28901734104046245,0.0,1.3005458116531372,9.938312530517578,0.8020833333333334,0.28901734104046245,0.0,0.28901734104046245,1.720245599746704,0.28901734104046245,1.720245599746704,0.0,0.0,0.0,0
