epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=5952, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=13, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=5952, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=13, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=5952, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=13, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.2445722818374634,80.44365692138672,0.5571646341463414,0.7839927239654388,0.0,1.1542096138000488,80.44365692138672,0.5800304878048781,0.7839927239654388,0.0,0.7839927239654388,0.7475109100341797,0.7839927239654388,0.7475109100341797,0.0,0.0,0.0,0
1,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.834496796131134,49.8314323425293,0.8010670731707317,0.8685766257389722,0.0,0.7125482559204102,49.8314323425293,0.8083079268292683,0.8685766257389722,0.0,0.8685766257389722,0.3177019953727722,0.8685766257389722,0.3177019953727722,0.0,0.0,0.0,0
2,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.6129508018493652,34.93251037597656,0.8677591463414634,0.8963165075034106,0.0,0.5032700300216675,34.93251037597656,0.8658536585365854,0.8963165075034106,0.0,0.8963165075034106,0.18452690541744232,0.8963165075034106,0.18452690541744232,0.0,0.0,0.0,0
3,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.47661131620407104,27.388399124145508,0.8959603658536586,0.9095043201455207,0.0,0.38996613025665283,27.388399124145508,0.8982469512195121,0.9095043201455207,0.0,0.9095043201455207,0.120880126953125,0.9095043201455207,0.120880126953125,0.0,0.0,0.0,0
4,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.42079541087150574,22.971532821655273,0.9142530487804879,0.9245111414279218,0.0,0.30100417137145996,22.971532821655273,0.9192073170731707,0.9245111414279218,0.0,0.9245111414279218,0.09273732453584671,0.9245111414279218,0.09273732453584671,0.0,0.0,0.0,0
5,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.38567665219306946,20.00714683532715,0.9260670731707317,0.9295134151887221,0.0,0.24212764203548431,20.00714683532715,0.928734756097561,0.9295134151887221,0.0,0.9295134151887221,0.07806454598903656,0.9295134151887221,0.07806454598903656,0.0,0.0,0.0,0
6,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.35141521692276,18.061359405517578,0.9355945121951219,0.9308776716689404,0.0,0.20164315402507782,18.061359405517578,0.9382621951219512,0.9308776716689404,0.0,0.9308776716689404,0.06921384483575821,0.9308776716689404,0.06921384483575821,0.0,0.0,0.0,0
7,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.3047525882720947,16.644214630126953,0.9455030487804879,0.9331514324693042,0.0,0.17997141182422638,16.644214630126953,0.9432164634146342,0.9331514324693042,0.0,0.9331514324693042,0.056722041219472885,0.9331514324693042,0.056722041219472885,0.0,0.0,0.0,0
8,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.2768975496292114,15.402403831481934,0.953125,0.9376989540700318,0.0,0.15759463608264923,15.402403831481934,0.953125,0.9376989540700318,0.0,0.9376989540700318,0.05455475300550461,0.9376989540700318,0.05455475300550461,0.0,0.0,0.0,0
9,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.24929843842983246,14.319869995117188,0.9584603658536586,0.9395179627103228,0.0,0.14138096570968628,14.319869995117188,0.9603658536585366,0.9395179627103228,0.0,0.9395179627103228,0.05350898578763008,0.9395179627103228,0.05350898578763008,0.0,0.0,0.0,0
10,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.22301024198532104,13.462325096130371,0.9634146341463414,0.9417917235106866,0.0,0.12577897310256958,13.462325096130371,0.9676067073170732,0.9417917235106866,0.0,0.9417917235106866,0.0502941720187664,0.9417917235106866,0.0502941720187664,0.0,0.0,0.0,0
11,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.19080354273319244,12.708616256713867,0.9679878048780488,0.9454297407912687,0.0,0.11456438153982162,12.708616256713867,0.9714176829268293,0.9454297407912687,0.0,0.9454297407912687,0.047066543251276016,0.9454297407912687,0.047066543251276016,0.0,0.0,0.0,0
12,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.1826159656047821,11.904339790344238,0.9717987804878049,0.9495225102319236,0.0,0.09636600315570831,11.904339790344238,0.9759908536585366,0.9495225102319236,0.0,0.9495225102319236,0.04381739720702171,0.9495225102319236,0.04381739720702171,0.0,0.0,0.0,0
13,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.15713587403297424,11.458179473876953,0.977515243902439,0.9508867667121419,0.0,0.07781388610601425,11.458179473876953,0.9798018292682927,0.9508867667121419,0.0,0.9508867667121419,0.038889139890670776,0.9508867667121419,0.038889139890670776,0.0,0.0,0.0,0
14,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.140589639544487,11.265481948852539,0.9805640243902439,0.9522510231923602,0.0,0.059040218591690063,11.265481948852539,0.9820884146341463,0.9522510231923602,0.0,0.9522510231923602,0.025545431300997734,0.9522510231923602,0.025545431300997734,0.0,0.0,0.0,0
15,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.11790238320827484,11.040136337280273,0.9870426829268293,0.9513415188722146,0.0,0.04717648774385452,11.040136337280273,0.9828506097560976,0.9513415188722146,0.0,0.9513415188722146,0.018902985379099846,0.9513415188722146,0.018902985379099846,0.0,0.0,0.0,0
16,rankdad,0.0001,32,4,5,gru,tapnet-SpokenArabicDigits,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0901372879743576,10.573282241821289,0.989329268292683,0.9522510231923602,0.0,0.03773607313632965,10.573282241821289,0.9870426829268293,0.9522510231923602,0.0,0.9522510231923602,0.01562771573662758,0.9522510231923602,0.01562771573662758,0.0,0.0,0.0,0
