epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.4025861620903015,118.11537170410156,0.8927963215258855,0.9259,0.0,0.08359099924564362,118.11537170410156,0.8610058340075799,0.9259,0.0,0.9259,0.4616050720214844,0.9044,0.4616050720214844,0.0,0.0,0.0,0
1,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.054795295000076294,83.23817443847656,0.9598092643051771,0.9462,0.0,0.04560774192214012,83.23817443847656,0.9471958438018993,0.9462,0.0,0.9462,0.2477625012397766,0.933,0.2477625012397766,0.0,0.0,0.0,0
2,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.010119646787643433,73.37830352783203,0.9764986376021798,0.9522,0.0,0.0024004688020795584,73.37830352783203,0.9690840182259507,0.9522,0.0,0.9522,0.14153313636779785,0.9348,0.14153313636779785,0.0,0.0,0.0,0
3,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.008067935705184937,70.42518615722656,0.9843324250681199,0.9571,0.0,0.00010659959662007168,70.42518615722656,0.9801558574287783,0.9571,0.0,0.9571,0.0005897283554077148,0.9355,0.0005897283554077148,0.0,0.0,0.0,0
4,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.024034768342971802,67.98091888427734,0.9887176430517711,0.9593,0.0,0.00033201996120624244,67.98091888427734,0.9844142571221735,0.9593,0.0,0.9593,0.0015137195587158203,0.9214,0.0015137195587158203,0.0,0.0,0.0,0
5,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0007975995540618896,63.88554763793945,0.9884196185286104,0.9635,0.0,0.01657796837389469,63.88554763793945,0.9841161691436359,0.9635,0.0,0.9635,0.0007590055465698242,0.9324,0.0007590055465698242,0.0,0.0,0.0,0
6,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.13089218735694885,62.87694549560547,0.989441416893733,0.9646,0.0,1.8367061784374528e-05,62.87694549560547,0.9873951369075501,0.9646,0.0,0.9646,0.0013492107391357422,0.9123,0.0013492107391357422,0.0,0.0,0.0,0
7,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0009201169013977051,61.67417907714844,0.9911444141689373,0.9661,0.0,1.554135906189913e-06,61.67417907714844,0.9885874888217008,0.9661,0.0,0.9661,0.0019288063049316406,0.913,0.0019288063049316406,0.0,0.0,0.0,0
8,dad,0.0001,32,3,5,simpleff,mnist,8,10,2.8759241104125977e-05,65.39059448242188,0.9918681880108992,0.9646,0.0,9.395457709615584e-06,65.39059448242188,0.989268832772644,0.9646,0.0,0.9646,3.0994415283203125e-05,0.8997,3.0994415283203125e-05,0.0,0.0,0.0,0
9,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0031617283821105957,57.884639739990234,0.992591961852861,0.9679,0.0,4.450480264495127e-05,57.884639739990234,0.9901205127113231,0.9679,0.0,0.9679,1.621246337890625e-05,0.9183,1.621246337890625e-05,0.0,0.0,0.0,0
10,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0015777647495269775,51.74626159667969,0.9942523841961853,0.971,0.0,0.012245355173945427,51.74626159667969,0.9926329685304263,0.971,0.0,0.971,7.152557373046875e-05,0.8801,7.152557373046875e-05,0.0,0.0,0.0,0
11,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.010498642921447754,62.947784423828125,0.9943375340599455,0.9691,0.0,0.012110392563045025,62.947784423828125,0.9925903845334924,0.9691,0.0,0.9691,9.238719940185547e-05,0.8624,9.238719940185547e-05,0.0,0.0,0.0,0
12,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.06527934968471527,59.77811813354492,0.994507833787466,0.97,0.0,1.0878951798076741e-05,59.77811813354492,0.9928033045181621,0.97,0.0,0.97,2.086162567138672e-05,0.881,2.086162567138672e-05,0.0,0.0,0.0,0
13,dad,0.0001,32,3,5,simpleff,mnist,8,10,2.5093555450439453e-05,55.436378479003906,0.995699931880109,0.9704,0.0,0.0013580322265625,55.436378479003906,0.9927181365242942,0.9704,0.0,0.9704,0.006530165672302246,0.892,0.006530165672302246,0.0,0.0,0.0,0
14,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0002586841583251953,64.15985107421875,0.9944652588555858,0.9709,0.0,6.209479761309922e-05,64.15985107421875,0.992845888515096,0.9709,0.0,0.9709,1.430511474609375e-06,0.869,1.430511474609375e-06,0.0,0.0,0.0,0
15,dad,0.0001,32,3,5,simpleff,mnist,8,10,7.969141006469727e-05,64.57103729248047,0.9951464577656676,0.97,0.0,0.0001743457978591323,64.57103729248047,0.9944640803985862,0.97,0.0,0.97,0.0,0.8901,0.0,0.0,0.0,0.0,0
16,dad,0.0001,32,3,5,simpleff,mnist,8,10,7.748603820800781e-07,66.69025421142578,0.9955296321525886,0.9691,0.0,1.4905576790624764e-05,66.69025421142578,0.9939956564323127,0.9691,0.0,0.9691,0.0,0.8415,0.0,0.0,0.0,0.0,0
17,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0016776323318481445,61.843753814697266,0.9959128065395095,0.9723,0.0,5.178098217584193e-05,61.843753814697266,0.9950602563556615,0.9723,0.0,0.9723,0.0,0.8747,0.0,0.0,0.0,0.0,0
18,dad,0.0001,32,3,5,simpleff,mnist,8,10,1.6689300537109375e-06,58.140132904052734,0.994933583106267,0.9739,0.0,2.345332359254826e-05,58.140132904052734,0.9942511604139165,0.9739,0.0,0.9739,2.1457672119140625e-06,0.8483,2.1457672119140625e-06,0.0,0.0,0.0,0
19,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.11834031343460083,70.3039321899414,0.9963385558583107,0.9688,0.0,0.0015669928397983313,70.3039321899414,0.9948047523740579,0.9688,0.0,0.9688,2.384185791015625e-07,0.8417,2.384185791015625e-07,0.0,0.0,0.0,0
20,dad,0.0001,32,3,5,simpleff,mnist,8,10,6.198883056640625e-06,62.64950942993164,0.9967643051771117,0.974,0.0,0.00030877854442223907,62.64950942993164,0.9952731763403313,0.974,0.0,0.974,4.76837158203125e-06,0.843,4.76837158203125e-06,0.0,0.0,0.0,0
21,dad,0.0001,32,3,5,simpleff,mnist,8,10,1.5974044799804688e-05,60.536773681640625,0.9973177792915532,0.9745,0.0,0.0033466198947280645,60.536773681640625,0.996422944257548,0.9745,0.0,0.9745,2.384185791015625e-07,0.8005,2.384185791015625e-07,0.0,0.0,0.0,0
22,dad,0.0001,32,3,5,simpleff,mnist,8,10,8.273124694824219e-05,64.72491455078125,0.996849455040872,0.9748,0.0,4.9732348998077214e-05,64.72491455078125,0.9949750883617936,0.9748,0.0,0.9748,1.430511474609375e-06,0.7662,1.430511474609375e-06,0.0,0.0,0.0,0
23,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.000722736120223999,58.893062591552734,0.9964237057220708,0.9752,0.0,6.703977123834193e-05,58.893062591552734,0.995528680321935,0.9752,0.0,0.9752,1.0967254638671875e-05,0.8051,1.0967254638671875e-05,0.0,0.0,0.0,0
24,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.004681587219238281,62.04609680175781,0.9970623297002725,0.9756,0.0,4.097267265024129e-06,62.04609680175781,0.9956990163096708,0.9756,0.0,0.9756,1.6689300537109375e-06,0.7825,1.6689300537109375e-06,0.0,0.0,0.0,0
25,dad,0.0001,32,3,5,simpleff,mnist,8,10,6.556510925292969e-07,63.27992630004883,0.997275204359673,0.9764,0.0,2.966986812680261e-06,63.27992630004883,0.9965081122514159,0.9764,0.0,0.9764,4.76837158203125e-07,0.7831,4.76837158203125e-07,0.0,0.0,0.0,0
26,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0,69.2380599975586,0.9967217302452316,0.9753,0.0,2.119276274470394e-07,69.2380599975586,0.9953583443341992,0.9753,0.0,0.9753,0.0,0.7667,0.0,0.0,0.0,0.0,0
27,dad,0.0001,32,3,5,simpleff,mnist,8,10,2.384185791015625e-06,69.65518951416016,0.9977009536784741,0.9755,0.0,4.944977717968868e-06,69.65518951416016,0.9957416003066047,0.9755,0.0,0.9755,3.457069396972656e-05,0.8134,3.457069396972656e-05,0.0,0.0,0.0,0
28,dad,0.0001,32,3,5,simpleff,mnist,8,10,2.980232238769531e-07,65.9427261352539,0.9969771798365122,0.9748,0.0,4.944977831655706e-07,65.9427261352539,0.997317208193161,0.9748,0.0,0.9748,2.384185791015625e-07,0.8094,2.384185791015625e-07,0.0,0.0,0.0,0
29,dad,0.0001,32,3,5,simpleff,mnist,8,10,2.980232238769531e-07,62.26173782348633,0.9975732288828338,0.9764,0.0,0.0,62.26173782348633,0.996422944257548,0.9764,0.0,0.9764,0.0,0.7821,0.0,0.0,0.0,0.0,0
30,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0,70.3226089477539,0.9969771798365122,0.976,0.0,0.00014827869017608464,70.3226089477539,0.9962951922667461,0.976,0.0,0.976,2.384185791015625e-07,0.768,2.384185791015625e-07,0.0,0.0,0.0,0
31,dad,0.0001,32,3,5,simpleff,mnist,8,10,2.6226043701171875e-06,68.13670349121094,0.9975306539509536,0.9763,0.0,9.112887710216455e-06,68.13670349121094,0.9966358642422177,0.9763,0.0,0.9763,5.984306335449219e-05,0.7698,5.984306335449219e-05,0.0,0.0,0.0,0
32,dad,0.0001,32,3,5,simpleff,mnist,8,10,5.7220458984375e-06,63.39192581176758,0.9987653269754768,0.9778,0.0,0.00017017788195516914,63.39192581176758,0.9979133841502363,0.9778,0.0,0.9778,2.384185791015625e-07,0.7518,2.384185791015625e-07,0.0,0.0,0.0,0
33,dad,0.0001,32,3,5,simpleff,mnist,8,10,7.683038711547852e-05,74.0390853881836,0.9968920299727521,0.9732,0.0,3.666347765829414e-05,74.0390853881836,0.9962526082698122,0.9732,0.0,0.9732,0.0,0.6985,0.0,0.0,0.0,0.0,0
34,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0,65.6380844116211,0.9969771798365122,0.9759,0.0,0.10060730576515198,65.6380844116211,0.9963377762636801,0.9759,0.0,0.9759,4.76837158203125e-07,0.7148,4.76837158203125e-07,0.0,0.0,0.0,0
35,dad,0.0001,32,3,5,simpleff,mnist,8,10,0.0,67.3470458984375,0.9981267029972752,0.9759,0.0,0.027655141428112984,67.3470458984375,0.9978282161563684,0.9759,0.0,0.9759,0.0,0.7603,0.0,0.0,0.0,0.0,0
