epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.03696069121360779,114.3944091796875,0.8917942176870748,0.9289,0.0,0.24937704205513,114.3944091796875,0.8576227939613013,0.9289,0.0,0.9289,0.01598876714706421,0.9231,0.01598876714706421,0.0,0.0,0.0,0
1,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0021613389253616333,84.56306457519531,0.9589285714285715,0.945,0.0,0.029995353892445564,84.56306457519531,0.9472251754199447,0.945,0.0,0.945,0.0003897547721862793,0.938,0.0003897547721862793,0.0,0.0,0.0,0
2,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.00018984079360961914,75.99172973632812,0.9772108843537415,0.9527,0.0,0.0016671286430209875,75.99172973632812,0.9705294492876887,0.9527,0.0,0.9527,1.2099742889404297e-05,0.9453,1.2099742889404297e-05,0.0,0.0,0.0,0
3,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.00021022558212280273,66.80012512207031,0.9854166666666667,0.9596,0.0,0.0019478268222883344,66.80012512207031,0.9803529661917925,0.9596,0.0,0.9596,4.76837158203125e-06,0.9477,4.76837158203125e-06,0.0,0.0,0.0,0
4,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,5.6862831115722656e-05,66.25740051269531,0.9891156462585035,0.9572,0.0,0.09619126468896866,66.25740051269531,0.9860939825643207,0.9572,0.0,0.9572,0.026443004608154297,0.9402,0.026443004608154297,0.0,0.0,0.0,0
5,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0001569688320159912,70.78784942626953,0.9889880952380953,0.961,0.0,2.4866174499038607e-05,70.78784942626953,0.9853710397618541,0.961,0.0,0.961,3.6954879760742188e-06,0.9424,3.6954879760742188e-06,0.0,0.0,0.0,0
6,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0006771683692932129,58.15193176269531,0.9901360544217687,0.965,0.0,0.0017160485731437802,58.15193176269531,0.9857537741866893,0.965,0.0,0.965,1.3113021850585938e-06,0.9234,1.3113021850585938e-06,0.0,0.0,0.0,0
7,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0015492439270019531,62.073307037353516,0.9898809523809524,0.9638,0.0,0.00018642566283233464,62.073307037353516,0.9868594514139911,0.9638,0.0,0.9638,0.001941680908203125,0.9145,0.001941680908203125,0.0,0.0,0.0,0
8,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0002772212028503418,61.4553108215332,0.9931972789115646,0.9664,0.0,9.897020208882168e-05,61.4553108215332,0.9911545821815863,0.9664,0.0,0.9664,5.960464477539062e-07,0.9393,5.960464477539062e-07,0.0,0.0,0.0,0
9,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,5.0961971282958984e-06,57.53592300415039,0.9928996598639456,0.9686,0.0,9.183530664813588e-07,57.53592300415039,0.9891133319157984,0.9686,0.0,0.9686,2.3603439331054688e-05,0.9312,2.3603439331054688e-05,0.0,0.0,0.0,0
10,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,2.5033950805664062e-06,55.56916809082031,0.9943877551020408,0.9711,0.0,1.3422082929537282e-06,55.56916809082031,0.9908994258983628,0.9711,0.0,0.9711,0.0,0.9255,0.0,0.0,0.0,0.0,0
11,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,5.632638931274414e-06,57.902587890625,0.9946853741496599,0.9687,0.0,1.1444091796875e-05,57.902587890625,0.9924728896449075,0.9687,0.0,0.9687,1.1920928955078125e-07,0.8982,1.1920928955078125e-07,0.0,0.0,0.0,0
12,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,3.9011240005493164e-05,51.772274017333984,0.9933248299319728,0.9717,0.0,3.2283642212860286e-05,51.772274017333984,0.9920051031256645,0.9717,0.0,0.9717,6.67572021484375e-06,0.9196,6.67572021484375e-06,0.0,0.0,0.0,0
13,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,3.49581241607666e-05,55.15950012207031,0.9945578231292517,0.9724,0.0,2.2181759049999528e-05,55.15950012207031,0.9938337231554327,0.9724,0.0,0.9724,0.0006172657012939453,0.8982,0.0006172657012939453,0.0,0.0,0.0,0
14,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.00012537837028503418,53.8739128112793,0.9950255102040816,0.9726,0.0,4.944977831655706e-07,53.8739128112793,0.9927705719753349,0.9726,0.0,0.9726,1.811981201171875e-05,0.9216,1.811981201171875e-05,0.0,0.0,0.0,0
15,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,2.7060508728027344e-05,56.86880111694336,0.994812925170068,0.9695,0.0,3.7440547657752177e-06,56.86880111694336,0.9935785668722092,0.9695,0.0,0.9695,0.00033664703369140625,0.8659,0.00033664703369140625,0.0,0.0,0.0,0
16,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0004513263702392578,59.47063064575195,0.9957482993197279,0.9736,0.0,0.00041142216650769114,59.47063064575195,0.9945991920051032,0.9736,0.0,0.9736,0.0009530782699584961,0.8704,0.0009530782699584961,0.0,0.0,0.0,0
17,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,4.9173831939697266e-06,69.07711029052734,0.995578231292517,0.9693,0.0,9.367200982524082e-05,69.07711029052734,0.9950669785243461,0.9693,0.0,0.9693,8.940696716308594e-06,0.8229,8.940696716308594e-06,0.0,0.0,0.0,0
18,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.00040721893310546875,59.588111877441406,0.9970238095238095,0.9756,0.0,7.728294440312311e-05,59.588111877441406,0.9954497129491814,0.9756,0.0,0.9756,0.0001920461654663086,0.8984,0.0001920461654663086,0.0,0.0,0.0,0
19,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,2.384185791015625e-07,61.89674758911133,0.9957482993197279,0.9733,0.0,2.642030995048117e-05,61.89674758911133,0.9948118222411226,0.9733,0.0,0.9733,2.6226043701171875e-06,0.8567,2.6226043701171875e-06,0.0,0.0,0.0,0
20,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,2.980232238769531e-07,62.69662857055664,0.9962585034013606,0.9718,0.0,0.00030340973171405494,62.69662857055664,0.9954071869019775,0.9718,0.0,0.9718,0.0,0.8582,0.0,0.0,0.0,0.0,0
21,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,1.4901161193847656e-07,71.07965850830078,0.9959608843537415,0.9704,0.0,0.0017231128877028823,71.07965850830078,0.9948968743355305,0.9704,0.0,0.9704,0.0,0.8043,0.0,0.0,0.0,0.0,0
22,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,6.398558616638184e-05,65.5118179321289,0.9971938775510204,0.9719,0.0,1.3492725884134416e-05,65.5118179321289,0.9964703380820753,0.9719,0.0,0.9719,0.0,0.8484,0.0,0.0,0.0,0.0,0
23,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,2.6226043701171875e-06,67.72405242919922,0.9963010204081633,0.9727,0.0,0.0,67.72405242919922,0.9945991920051032,0.9727,0.0,0.9727,5.4836273193359375e-06,0.8627,5.4836273193359375e-06,0.0,0.0,0.0,0
24,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0009142160415649414,61.65557861328125,0.9972789115646259,0.9747,0.0,2.119276274470394e-07,61.65557861328125,0.9969381246013183,0.9747,0.0,0.9747,0.0,0.8644,0.0,0.0,0.0,0.0,0
25,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,9.5367431640625e-07,69.7031021118164,0.9975340136054421,0.9749,0.0,7.770679530949565e-07,69.7031021118164,0.9952370827131618,0.9749,0.0,0.9749,0.006726741790771484,0.8336,0.006726741790771484,0.0,0.0,0.0,0
26,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,1.8835067749023438e-05,61.6622200012207,0.9975765306122449,0.975,0.0,4.944977831655706e-07,61.6622200012207,0.9962577078460557,0.975,0.0,0.975,0.0,0.846,0.0,0.0,0.0,0.0,0
27,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.000445634126663208,83.9864273071289,0.9976615646258503,0.965,0.0,1.4128508496469294e-07,83.9864273071289,0.9966404422708909,0.965,0.0,0.965,0.0,0.767,0.0,0.0,0.0,0.0,0
28,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,2.4020671844482422e-05,64.2244873046875,0.9974914965986394,0.9762,0.0,2.543131586207892e-06,64.2244873046875,0.9964703380820753,0.9762,0.0,0.9762,0.0,0.8178,0.0,0.0,0.0,0.0,0
29,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,0.0,69.5741958618164,0.9973214285714286,0.9737,0.0,0.0003119574685115367,69.5741958618164,0.9958749734212204,0.9737,0.0,0.9737,0.0,0.7992,0.0,0.0,0.0,0.0,0
30,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,2.5033950805664062e-06,73.55995178222656,0.9977891156462585,0.974,0.0,2.825701699293859e-07,73.55995178222656,0.9972783329789496,0.974,0.0,0.974,0.0,0.8493,0.0,0.0,0.0,0.0,0
31,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,7.748603820800781e-07,69.10763549804688,0.9973214285714286,0.9759,0.0,2.832765858329367e-05,69.10763549804688,0.9970231766957262,0.9759,0.0,0.9759,0.0,0.7961,0.0,0.0,0.0,0.0,0
32,dsgd,0.0001,32,0,5,simpleff,mnist,8,10,5.960464477539063e-08,67.80625915527344,0.9972363945578231,0.976,0.0,3.461484539002413e-06,67.80625915527344,0.9966829683180949,0.976,0.0,0.976,0.0,0.8433,0.0,0.0,0.0,0.0,0
