epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.13478374481201172,129.16397094726562,0.8948284646739131,0.9225,0.0,0.009273529052734375,129.16397094726562,0.8615266916014961,0.9225,0.0,0.9225,0.5261151790618896,0.9023,0.5261151790618896,0.0,0.0,0.0,0
1,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0632014274597168,92.67823791503906,0.9613620923913043,0.9399,0.0,0.09283661842346191,92.67823791503906,0.9492519551173071,0.9399,0.0,0.9399,0.34543097019195557,0.9307,0.34543097019195557,0.0,0.0,0.0,0
2,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.05531492829322815,71.37757873535156,0.9775815217391305,0.9532,0.0,2.384185791015625e-07,71.37757873535156,0.9708432505950357,0.9532,0.0,0.9532,0.00022113323211669922,0.9349,0.00022113323211669922,0.0,0.0,0.0,0
3,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.010777056217193604,72.64441680908203,0.9852666440217391,0.954,0.0,7.152557373046875e-07,72.64441680908203,0.9800663039782387,0.954,0.0,0.954,0.0033173561096191406,0.9314,0.0033173561096191406,0.0,0.0,0.0,0
4,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0012248754501342773,72.40269470214844,0.988875679347826,0.9589,0.0,0.0,72.40269470214844,0.9843590615436926,0.9589,0.0,0.9589,0.006409645080566406,0.9288,0.006409645080566406,0.0,0.0,0.0,0
5,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.00447043776512146,68.70686340332031,0.9905315896739131,0.962,0.0,2.6226043701171875e-06,68.70686340332031,0.9868242094525671,0.962,0.0,0.962,1.6570091247558594e-05,0.9288,1.6570091247558594e-05,0.0,0.0,0.0,0
6,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0008550286293029785,75.45487976074219,0.9897673233695652,0.9578,0.0,7.152557373046875e-07,75.45487976074219,0.986484189051343,0.9578,0.0,0.9578,0.006800651550292969,0.8983,0.006800651550292969,0.0,0.0,0.0,0
7,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.08940798044204712,65.57133483886719,0.9920601222826086,0.9623,0.0,4.76837158203125e-07,65.57133483886719,0.9872492349540972,0.9623,0.0,0.9623,0.002378702163696289,0.9068,0.002378702163696289,0.0,0.0,0.0,0
8,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.018132954835891724,62.76500701904297,0.9916355298913043,0.9659,0.0,0.0,62.76500701904297,0.9895868752125128,0.9659,0.0,0.9659,0.0013172626495361328,0.9048,0.0013172626495361328,0.0,0.0,0.0,0
9,edad,0.0001,32,1,5,simpleff,mnist,8,10,1.96993350982666e-05,65.77017974853516,0.9937160326086957,0.964,0.0,2.8133392333984375e-05,65.77017974853516,0.991031961917715,0.964,0.0,0.964,0.09325540065765381,0.8841,0.09325540065765381,0.0,0.0,0.0,0
10,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.08099320530891418,64.97514343261719,0.9932914402173914,0.9658,0.0,1.811981201171875e-05,64.97514343261719,0.9917970078204692,0.9658,0.0,0.9658,0.00019431114196777344,0.8887,0.00019431114196777344,0.0,0.0,0.0,0
11,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.00019496679306030273,64.81402587890625,0.9934612771739131,0.9692,0.0,5.435943603515625e-05,64.81402587890625,0.9921795307718463,0.9692,0.0,0.9692,0.0006642341613769531,0.9133,0.0006642341613769531,0.0,0.0,0.0,0
12,edad,0.0001,32,1,5,simpleff,mnist,8,10,5.8144330978393555e-05,60.34425354003906,0.9951171875,0.9709,0.0,0.0,60.34425354003906,0.9921370282216933,0.9709,0.0,0.9709,1.3113021850585938e-06,0.8695,1.3113021850585938e-06,0.0,0.0,0.0,0
13,edad,0.0001,32,1,5,simpleff,mnist,8,10,9.250640869140625e-05,61.56389236450195,0.9943104619565217,0.9706,0.0,0.0,61.56389236450195,0.9925620537232234,0.9706,0.0,0.9706,4.649162292480469e-05,0.8782,4.649162292480469e-05,0.0,0.0,0.0,0
14,edad,0.0001,32,1,5,simpleff,mnist,8,10,6.556510925292969e-07,52.890716552734375,0.9936735733695652,0.9754,0.0,0.0,52.890716552734375,0.9916695001700102,0.9754,0.0,0.9754,7.748603820800781e-06,0.8625,7.748603820800781e-06,0.0,0.0,0.0,0
15,edad,0.0001,32,1,5,simpleff,mnist,8,10,1.6093254089355469e-06,59.063228607177734,0.9965183423913043,0.9716,0.0,0.0,59.063228607177734,0.9948996939816389,0.9716,0.0,0.9716,2.384185791015625e-07,0.8716,2.384185791015625e-07,0.0,0.0,0.0,0
16,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.00013494491577148438,60.55573654174805,0.9965183423913043,0.9713,0.0,1.9073486328125e-06,60.55573654174805,0.995282216933016,0.9713,0.0,0.9713,1.430511474609375e-06,0.8452,1.430511474609375e-06,0.0,0.0,0.0,0
17,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.22387051582336426,60.845340728759766,0.9957965353260869,0.9729,0.0,0.0,60.845340728759766,0.9941346480788847,0.9729,0.0,0.9729,2.384185791015625e-07,0.8398,2.384185791015625e-07,0.0,0.0,0.0,0
18,edad,0.0001,32,1,5,simpleff,mnist,8,10,6.794929504394531e-06,59.96047592163086,0.9959663722826086,0.9732,0.0,4.76837158203125e-07,59.96047592163086,0.9948146888813328,0.9732,0.0,0.9732,7.152557373046875e-07,0.821,7.152557373046875e-07,0.0,0.0,0.0,0
19,edad,0.0001,32,1,5,simpleff,mnist,8,10,4.947185516357422e-06,66.48583984375,0.9971976902173914,0.9707,0.0,4.76837158203125e-07,66.48583984375,0.9966848010880652,0.9707,0.0,0.9707,4.76837158203125e-07,0.777,4.76837158203125e-07,0.0,0.0,0.0,0
20,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0025161802768707275,66.22870635986328,0.9963060461956522,0.9726,0.0,0.0,66.22870635986328,0.9950272016320979,0.9726,0.0,0.9726,1.9550323486328125e-05,0.8633,1.9550323486328125e-05,0.0,0.0,0.0,0
21,edad,0.0001,32,1,5,simpleff,mnist,8,10,2.9385089874267578e-05,67.16632080078125,0.9956691576086957,0.9727,0.0,0.000133514404296875,67.16632080078125,0.9941346480788847,0.9727,0.0,0.9727,2.384185791015625e-06,0.8259,2.384185791015625e-06,0.0,0.0,0.0,0
22,edad,0.0001,32,1,5,simpleff,mnist,8,10,1.1920928955078125e-07,66.9909896850586,0.9971552309782609,0.9733,0.0,1.2874603271484375e-05,66.9909896850586,0.9960897653859232,0.9733,0.0,0.9733,4.76837158203125e-07,0.8275,4.76837158203125e-07,0.0,0.0,0.0,0
23,edad,0.0001,32,1,5,simpleff,mnist,8,10,4.172325134277344e-07,71.50170135498047,0.9962635869565217,0.972,0.0,4.76837158203125e-07,71.50170135498047,0.995749744984699,0.972,0.0,0.972,0.0,0.8085,0.0,0.0,0.0,0.0,0
24,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0008532404899597168,60.723392486572266,0.9967306385869565,0.9751,0.0,0.0,60.723392486572266,0.9957072424345461,0.9751,0.0,0.9751,0.0,0.8294,0.0,0.0,0.0,0.0,0
25,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.00011998414993286133,66.01190948486328,0.9979194972826086,0.9743,0.0,0.0,66.01190948486328,0.9966848010880652,0.9743,0.0,0.9743,0.0,0.8466,0.0,0.0,0.0,0.0,0
26,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.004561901092529297,67.37726593017578,0.9976222826086957,0.9736,0.0,0.0,67.37726593017578,0.9967698061883713,0.9736,0.0,0.9736,0.003049135208129883,0.8308,0.003049135208129883,0.0,0.0,0.0,0
27,edad,0.0001,32,1,5,simpleff,mnist,8,10,4.172325134277344e-07,61.70473861694336,0.9966457201086957,0.9759,0.0,0.0,61.70473861694336,0.995494729683781,0.9759,0.0,0.9759,0.0,0.7985,0.0,0.0,0.0,0.0,0
28,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0001817941665649414,65.73883056640625,0.9972826086956522,0.975,0.0,0.0,65.73883056640625,0.9975773546412785,0.975,0.0,0.975,0.0,0.8053,0.0,0.0,0.0,0.0,0
29,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0002897977828979492,71.87464904785156,0.9983440896739131,0.9734,0.0,0.0,71.87464904785156,0.9970673240394423,0.9734,0.0,0.9734,0.0,0.7733,0.0,0.0,0.0,0.0,0
30,edad,0.0001,32,1,5,simpleff,mnist,8,10,5.0127506256103516e-05,65.5892105102539,0.9969004755434783,0.9747,0.0,0.0,65.5892105102539,0.9966848010880652,0.9747,0.0,0.9747,0.0,0.7648,0.0,0.0,0.0,0.0,0
31,edad,0.0001,32,1,5,simpleff,mnist,8,10,6.318092346191406e-05,56.25442886352539,0.9977072010869565,0.9782,0.0,0.0,56.25442886352539,0.9972798367902074,0.9782,0.0,0.9782,0.0,0.8343,0.0,0.0,0.0,0.0,0
32,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.005239427089691162,71.34982299804688,0.9977496603260869,0.9754,0.0,0.0,71.34982299804688,0.9970248214892894,0.9754,0.0,0.9754,1.2874603271484375e-05,0.7277,1.2874603271484375e-05,0.0,0.0,0.0,0
33,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.19928878545761108,68.52238464355469,0.9977072010869565,0.9751,0.0,0.0,68.52238464355469,0.9972798367902074,0.9751,0.0,0.9751,0.0,0.7953,0.0,0.0,0.0,0.0,0
34,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.007655739784240723,75.12623596191406,0.9970703125,0.9735,0.0,0.0,75.12623596191406,0.9967273036382183,0.9735,0.0,0.9735,5.960464477539062e-07,0.792,5.960464477539062e-07,0.0,0.0,0.0,0
35,edad,0.0001,32,1,5,simpleff,mnist,8,10,2.980232238769531e-07,65.23521423339844,0.997452445652174,0.977,0.0,0.0,65.23521423339844,0.9961322679360761,0.977,0.0,0.977,2.384185791015625e-07,0.8009,2.384185791015625e-07,0.0,0.0,0.0,0
36,edad,0.0001,32,1,5,simpleff,mnist,8,10,7.152557373046875e-07,66.72621154785156,0.9986837635869565,0.9757,0.0,0.0,66.72621154785156,0.9985124107446447,0.9757,0.0,0.9757,0.0001850128173828125,0.7687,0.0001850128173828125,0.0,0.0,0.0,0
37,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0001614689826965332,71.1895751953125,0.9982591711956522,0.9766,0.0,0.0,71.1895751953125,0.9978323699421965,0.9766,0.0,0.9766,0.0,0.7857,0.0,0.0,0.0,0.0,0
38,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0,67.96568298339844,0.9971127717391305,0.9776,0.0,0.0,67.96568298339844,0.9961322679360761,0.9776,0.0,0.9776,2.384185791015625e-07,0.8047,2.384185791015625e-07,0.0,0.0,0.0,0
39,edad,0.0001,32,1,5,simpleff,mnist,8,10,1.0132789611816406e-05,72.42171478271484,0.9983016304347826,0.9777,0.0,0.0,72.42171478271484,0.9978323699421965,0.9777,0.0,0.9777,0.0,0.8147,0.0,0.0,0.0,0.0,0
40,edad,0.0001,32,1,5,simpleff,mnist,8,10,5.424022674560547e-06,77.88046264648438,0.9977072010869565,0.9757,0.0,0.0,77.88046264648438,0.9971098265895953,0.9757,0.0,0.9757,0.0,0.7946,0.0,0.0,0.0,0.0,0
41,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0,66.83430480957031,0.9980044157608695,0.9787,0.0,0.0,66.83430480957031,0.9975348520911255,0.9787,0.0,0.9787,0.0,0.7846,0.0,0.0,0.0,0.0,0
42,edad,0.0001,32,1,5,simpleff,mnist,8,10,2.682209014892578e-06,66.28814697265625,0.9989385190217391,0.9786,0.0,0.0,66.28814697265625,0.9977473648418905,0.9786,0.0,0.9786,0.0,0.7935,0.0,0.0,0.0,0.0,0
43,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.03835934400558472,81.88909149169922,0.9978345788043478,0.9751,0.0,0.0,81.88909149169922,0.9972798367902074,0.9751,0.0,0.9751,0.0,0.7698,0.0,0.0,0.0,0.0,0
44,edad,0.0001,32,1,5,simpleff,mnist,8,10,0.0,88.07014465332031,0.9977072010869565,0.9717,0.0,0.0,88.07014465332031,0.9980448826929615,0.9717,0.0,0.9717,0.0002605915069580078,0.7469,0.0002605915069580078,0.0,0.0,0.0,0
