epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,0.0001,32,1,5,simpleff,mnist,8,10,2.980232238769531e-07,6566.8525390625,0.9519361413043478,0.505,0.0,0.0,6001.83642578125,0.9205202312138728,0.4619,0.0,0.6582,2.6636877059936523,0.4199,23.599377632141113,0.0,0.0,0.0,0
1,noshare,0.0001,32,1,5,simpleff,mnist,8,10,3.2186508178710938e-06,6222.71484375,0.9864130434782609,0.5067,0.0,4.76837158203125e-07,6054.51611328125,0.9735634138048282,0.4673,0.0,0.6599,2.4450371265411377,0.4798,22.474305152893066,0.0,0.0,0.0,0
2,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.003575831651687622,6528.4541015625,0.9915506114130435,0.5048,0.0,0.0,5854.58154296875,0.9855491329479769,0.4711,0.0,0.6848,2.3252079486846924,0.4555,21.943424224853516,0.0,0.0,0.0,0
3,noshare,0.0001,32,1,5,simpleff,mnist,8,10,9.834766387939453e-05,6942.77685546875,0.9922299592391305,0.5033,0.0,0.0,5863.9345703125,0.9881842910574634,0.4704,0.0,0.6893,1.0404459238052368,0.4013,22.942697525024414,0.0,0.0,0.0,0
4,noshare,0.0001,32,1,5,simpleff,mnist,8,10,2.980232238769531e-07,6754.38037109375,0.9932489809782609,0.5083,0.0,0.0,5989.0751953125,0.9913719823189391,0.4721,0.0,0.6956,1.4705302715301514,0.4176,23.023634910583496,0.0,0.0,0.0,0
5,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.0,6523.7734375,0.9949898097826086,0.5087,0.0,0.0,5591.2451171875,0.9883117987079225,0.4723,0.0,0.7019,1.3040249347686768,0.4866,20.927489280700684,0.0,0.0,0.0,0
6,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.0,6295.3779296875,0.9937160326086957,0.5081,0.0,0.0,6723.16015625,0.9916269976198572,0.4746,0.0,0.7577,1.040075659751892,0.455,23.479859352111816,0.0,0.0,0.0,0
7,noshare,0.0001,32,1,5,simpleff,mnist,8,10,8.344650268554688e-07,7591.798828125,0.995499320652174,0.5087,0.0,0.0,6911.82177734375,0.9912444746684801,0.4757,0.0,0.7176,1.4013426303863525,0.3753,23.21745777130127,0.0,0.0,0.0,0
8,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.0,7779.9912109375,0.9968580163043478,0.5083,0.0,0.0,6998.22119140625,0.9940921455287317,0.4747,0.0,0.7144,1.9277164936065674,0.3405,24.390827178955078,0.0,0.0,0.0,0
9,noshare,0.0001,32,1,5,simpleff,mnist,8,10,5.960464477539063e-08,8228.490234375,0.9950322690217391,0.5096,0.0,0.0,7301.27587890625,0.9932420945256716,0.4725,0.0,0.7317,1.7728040218353271,0.3494,25.45016574859619,0.0,0.0,0.0,0
10,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.0,7082.19775390625,0.9970278532608695,0.5093,0.0,0.0,7051.4951171875,0.9943896633798028,0.4751,0.0,0.7636,0.6519255042076111,0.394,23.80802059173584,0.0,0.0,0.0,0
11,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.00041282176971435547,7174.16015625,0.9970703125,0.5095,0.0,0.0,7617.93310546875,0.995452227133628,0.4752,0.0,0.7737,0.8091238141059875,0.3986,24.866991996765137,0.0,0.0,0.0,0
12,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.0,7184.60107421875,0.9965608016304348,0.5071,0.0,0.0,7585.341796875,0.995494729683781,0.474,0.0,0.7403,0.9573060274124146,0.4339,24.908345222473145,0.0,0.0,0.0,0
13,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.0,7846.98876953125,0.9974099864130435,0.5097,0.0,0.0,7427.5126953125,0.9949846990819449,0.4744,0.0,0.7436,1.0422327518463135,0.3662,24.73333740234375,0.0,0.0,0.0,0
14,noshare,0.0001,32,1,5,simpleff,mnist,8,10,6.556510925292969e-07,6703.68115234375,0.9972826086956522,0.5101,0.0,0.0,7319.611328125,0.9948571914314859,0.4749,0.0,0.7501,1.375157356262207,0.4586,25.57676124572754,0.0,0.0,0.0,0
15,noshare,0.0001,32,1,5,simpleff,mnist,8,10,0.0,7553.39453125,0.9971976902173914,0.5093,0.0,0.0,7536.6220703125,0.9966848010880652,0.4764,0.0,0.7455,1.410252571105957,0.408,25.028050422668457,0.0,0.0,0.0,0
16,noshare,0.0001,32,1,5,simpleff,mnist,8,10,1.3113021850585938e-06,7524.2861328125,0.9973250679347826,0.5102,0.0,0.0,7828.27294921875,0.9979173750425026,0.4774,0.0,0.7783,1.3773218393325806,0.4062,27.488649368286133,0.0,0.0,0.0,0
