epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.2339659035205841,64.59713745117188,0.876375,0.9274,0.0,0.9274,0.3886028528213501,0.913,0.3886028528213501,0.0,0.0,0.0,0
1,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.05538777634501457,42.041568756103516,0.9540416666666667,0.9467,0.0,0.9467,0.10766637325286865,0.9388,0.10766637325286865,0.0,0.0,0.0,0
2,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.01937711238861084,38.70378494262695,0.9721875,0.9521,0.0,0.9521,0.20733624696731567,0.9432,0.20733624696731567,0.0,0.0,0.0,0
3,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.02309509739279747,41.40060043334961,0.9809583333333334,0.9509,0.0,0.9509,0.0061604976654052734,0.9368,0.0061604976654052734,0.0,0.0,0.0,0
4,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.0680743008852005,35.615760803222656,0.9855,0.9576,0.0,0.9576,3.2186508178710938e-06,0.9341,3.2186508178710938e-06,0.0,0.0,0.0,0
5,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.015572786331176758,37.66533279418945,0.9870833333333333,0.9565,0.0,0.9565,0.0004911422729492188,0.9172,0.0004911422729492188,0.0,0.0,0.0,0
6,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.1311577707529068,38.488746643066406,0.988875,0.9611,0.0,0.9611,2.1159648895263672e-05,0.946,2.1159648895263672e-05,0.0,0.0,0.0,0
7,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.0065181925892829895,36.09381103515625,0.9892083333333334,0.9633,0.0,0.9633,2.5033950805664062e-05,0.913,2.5033950805664062e-05,0.0,0.0,0.0,0
8,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.0014395415782928467,37.366207122802734,0.9900416666666667,0.9638,0.0,0.9638,0.00021719932556152344,0.9159,0.00021719932556152344,0.0,0.0,0.0,0
9,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.0025958120822906494,30.78449249267578,0.9922291666666667,0.9699,0.0,0.9699,3.5762786865234375e-07,0.9186,3.5762786865234375e-07,0.0,0.0,0.0,0
10,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.006880268454551697,36.84581756591797,0.9925833333333334,0.9668,0.0,0.9668,1.7285346984863281e-06,0.9273,1.7285346984863281e-06,0.0,0.0,0.0,0
11,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.0006458163261413574,34.20882797241211,0.9906666666666667,0.966,0.0,0.966,0.00019097328186035156,0.9232,0.00019097328186035156,0.0,0.0,0.0,0
12,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.08767841756343842,32.177059173583984,0.9949583333333333,0.9691,0.0,0.9691,0.00031173229217529297,0.904,0.00031173229217529297,0.0,0.0,0.0,0
13,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.0018276721239089966,30.97299575805664,0.9934791666666667,0.9709,0.0,0.9709,1.9788742065429688e-05,0.9288,1.9788742065429688e-05,0.0,0.0,0.0,0
14,pooled,0.0001,64,2,5,simpleff,mnist,8,10,0.0038864314556121826,32.77417755126953,0.9946041666666666,0.9718,0.0,0.9718,0.0031244754791259766,0.9133,0.0031244754791259766,0.0,0.0,0.0,0
