epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.3741845488548279,139.47752380371094,0.867781929347826,0.9075,0.0,0.009009599685668945,139.47752380371094,0.8215742944576675,0.9075,0.0,0.9075,0.00839686393737793,0.9017,0.00839686393737793,0.0,0.0,0.0,0
1,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.2110392451286316,103.24183654785156,0.9417459239130435,0.9299,0.0,0.00035309791564941406,103.24183654785156,0.9217528051683102,0.9299,0.0,0.9299,0.0011338591575622559,0.922,0.0011338591575622559,0.0,0.0,0.0,0
2,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.04550495743751526,103.24919128417969,0.958984375,0.9321,0.0,0.00021910667419433594,103.24919128417969,0.9471693301598096,0.9321,0.0,0.9321,0.04998338222503662,0.9236,0.04998338222503662,0.0,0.0,0.0,0
3,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.016020536422729492,90.16678619384766,0.9643342391304348,0.937,0.0,7.843971252441406e-05,90.16678619384766,0.9552023121387283,0.937,0.0,0.937,0.01625370979309082,0.9333,0.01625370979309082,0.0,0.0,0.0,0
4,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.005316615104675293,82.80628967285156,0.9688773777173914,0.9415,0.0,0.0012530088424682617,82.80628967285156,0.9609826589595376,0.9415,0.0,0.9415,0.05259203910827637,0.9374,0.05259203910827637,0.0,0.0,0.0,0
5,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.02909579873085022,77.31819915771484,0.9690047554347826,0.9449,0.0,5.8650970458984375e-05,77.31819915771484,0.9645953757225434,0.9449,0.0,0.9449,0.09210187196731567,0.9079,0.09210187196731567,0.0,0.0,0.0,0
6,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.10108873248100281,72.27526092529297,0.9766474184782609,0.9524,0.0,9.5367431640625e-07,72.27526092529297,0.9732233934036042,0.9524,0.0,0.9524,0.0011615753173828125,0.9152,0.0011615753173828125,0.0,0.0,0.0,0
7,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.0008048117160797119,68.9468994140625,0.9800016983695652,0.9559,0.0,2.1457672119140625e-06,68.9468994140625,0.976708602516151,0.9559,0.0,0.9559,0.023586690425872803,0.9348,0.023586690425872803,0.0,0.0,0.0,0
8,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.11998233199119568,66.27603149414062,0.9801715353260869,0.9559,0.0,0.02992391586303711,66.27603149414062,0.9773036382182931,0.9559,0.0,0.9559,0.000540614128112793,0.9235,0.000540614128112793,0.0,0.0,0.0,0
9,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.20910915732383728,64.28085327148438,0.9833135190217391,0.9588,0.0,4.4345855712890625e-05,64.28085327148438,0.981086365181911,0.9588,0.0,0.9588,0.02565145492553711,0.8775,0.02565145492553711,0.0,0.0,0.0,0
10,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.072244793176651,68.36780548095703,0.9868800951086957,0.958,0.0,7.915496826171875e-05,68.36780548095703,0.9856341380482829,0.958,0.0,0.958,0.002514481544494629,0.8833,0.002514481544494629,0.0,0.0,0.0,0
11,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.0007066726684570312,62.92622756958008,0.9850543478260869,0.9611,0.0,0.00013756752014160156,62.92622756958008,0.9845290717443047,0.9611,0.0,0.9611,0.0012568235397338867,0.8247,0.0012568235397338867,0.0,0.0,0.0,0
12,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.0006808042526245117,64.29896545410156,0.9866253396739131,0.9646,0.0,8.344650268554688e-06,64.29896545410156,0.9846140768446107,0.9646,0.0,0.9646,2.6464462280273438e-05,0.7991,2.6464462280273438e-05,0.0,0.0,0.0,0
13,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.0014491677284240723,62.76374816894531,0.9870923913043478,0.9627,0.0,0.00019431114196777344,62.76374816894531,0.9845715742944576,0.9627,0.0,0.9627,5.221366882324219e-05,0.801,5.221366882324219e-05,0.0,0.0,0.0,0
14,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.018969416618347168,74.48497009277344,0.9874320652173914,0.9594,0.0,2.384185791015625e-07,74.48497009277344,0.9853366201972118,0.9594,0.0,0.9594,0.0002256631851196289,0.6688,0.0002256631851196289,0.0,0.0,0.0,0
15,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.21284258365631104,69.28182983398438,0.9871773097826086,0.9623,0.0,0.00011467933654785156,69.28182983398438,0.9846565793947637,0.9623,0.0,0.9623,1.9073486328125e-05,0.6863,1.9073486328125e-05,0.0,0.0,0.0,0
16,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.00723719596862793,61.909202575683594,0.9898947010869565,0.9658,0.0,4.76837158203125e-07,61.909202575683594,0.9883543012580754,0.9658,0.0,0.9658,1.6570091247558594e-05,0.8007,1.6570091247558594e-05,0.0,0.0,0.0,0
17,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.003974318504333496,71.64447784423828,0.9928668478260869,0.9619,0.0,5.4836273193359375e-06,71.64447784423828,0.9924770486229174,0.9619,0.0,0.9619,3.504753112792969e-05,0.7286,3.504753112792969e-05,0.0,0.0,0.0,0
18,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.16855376958847046,70.11013793945312,0.990828804347826,0.964,0.0,4.696846008300781e-05,70.11013793945312,0.9880142808568514,0.964,0.0,0.964,1.6450881958007812e-05,0.6501,1.6450881958007812e-05,0.0,0.0,0.0,0
19,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.0008826851844787598,103.30879974365234,0.9876443614130435,0.9514,0.0,9.5367431640625e-07,103.30879974365234,0.9811288677320639,0.9514,0.0,0.9514,0.23350656032562256,0.6791,0.23350656032562256,0.0,0.0,0.0,0
20,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.00018835067749023438,69.5635986328125,0.9894701086956522,0.9679,0.0,7.152557373046875e-07,69.5635986328125,0.9756035362121728,0.9679,0.0,0.9679,1.9073486328125e-06,0.7374,1.9073486328125e-06,0.0,0.0,0.0,0
21,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,7.265806198120117e-05,65.25457000732422,0.9940557065217391,0.971,0.0,7.152557373046875e-07,65.25457000732422,0.9899693981638898,0.971,0.0,0.971,4.76837158203125e-07,0.7052,4.76837158203125e-07,0.0,0.0,0.0,0
22,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.0013706088066101074,73.99755096435547,0.9942255434782609,0.9658,0.0,1.1920928955078125e-06,73.99755096435547,0.9895443726623597,0.9658,0.0,0.9658,3.337860107421875e-06,0.7218,3.337860107421875e-06,0.0,0.0,0.0,0
23,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,0.00021880865097045898,88.88276672363281,0.9921450407608695,0.9633,0.0,0.0,88.88276672363281,0.9803638218293098,0.9633,0.0,0.9633,0.0,0.7749,0.0,0.0,0.0,0.0,0
24,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.787491508152174,0.098,0.0,,,0.7261135668140088,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
25,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.1923828125,0.098,0.0,,,0.0,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
26,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.1923828125,0.098,0.0,,,0.0,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
27,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.1923828125,0.098,0.0,,,0.0,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
28,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.1923828125,0.098,0.0,,,0.0,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
29,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.1923828125,0.098,0.0,,,0.0,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
30,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.1923828125,0.098,0.0,,,0.0,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
31,powersgd,0.0001,32,1,5,simpleff,mnist,32,10,,,0.1923828125,0.098,0.0,,,0.0,0.098,0.0,0.098,,0.098,,0.0,0.0,0.0,0
