epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_0_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_0_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_1_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_1_Linear(in_features=784, out_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=256, out_features=10, bias=False)0","effective_rank_site_agg_FakeLinear(input_features=512, output_features=256, bias=False)2","effective_rank_site_agg_Linear(in_features=784, out_features=512, bias=False)4",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,5.2823529411764705,6.673202614379085,6.754248366013072,5.862745098039215,7.895424836601308,7.938562091503268,11.145098039215686,14.568627450980392,14.69281045751634,0.2815861999988556,121.08464050292969,0.895125679347826,0.9296,0.0,0.014795780181884766,121.08464050292969,0.8619942196531792,0.9296,0.0,0.9296,0.1399737000465393,0.9187,0.1399737000465393,0.0,0.0,0.0,0
1,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,4.4941176470588236,5.452287581699347,5.6457516339869285,5.169934640522876,6.606535947712418,6.813071895424836,9.664052287581699,12.058823529411764,12.458823529411765,0.01143684983253479,89.25907135009766,0.9607676630434783,0.9428,0.0,9.489059448242188e-05,89.25907135009766,0.948996939816389,0.9428,0.0,0.9428,0.14287328720092773,0.9332,0.14287328720092773,0.0,0.0,0.0,0
2,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,4.445751633986928,5.390849673202615,5.54640522875817,5.036601307189542,6.518954248366013,6.722875816993464,9.48235294117647,11.909803921568628,12.269281045751635,0.0238095223903656,80.30537414550781,0.9780485733695652,0.9517,0.0,0.000110626220703125,80.30537414550781,0.9700357021421285,0.9517,0.0,0.9517,0.009383797645568848,0.9431,0.009383797645568848,0.0,0.0,0.0,0
3,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,4.441830065359477,5.414379084967321,5.571241830065359,4.815686274509804,6.112418300653594,6.326797385620915,9.257516339869282,11.526797385620915,11.898039215686275,0.03293013572692871,69.74464416503906,0.9855213994565217,0.9556,0.0,7.152557373046875e-07,69.74464416503906,0.9796412784767086,0.9556,0.0,0.9556,0.0036089420318603516,0.9392,0.0036089420318603516,0.0,0.0,0.0,0
4,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,4.0130718954248366,4.809150326797385,4.972549019607843,4.528104575163399,5.708496732026144,5.857516339869281,8.541176470588235,10.51764705882353,10.830065359477125,0.00543937087059021,73.06735229492188,0.9883661684782609,0.9574,0.0,0.00015282630920410156,73.06735229492188,0.9841890513430805,0.9574,0.0,0.9574,0.02044212818145752,0.9357,0.02044212818145752,0.0,0.0,0.0,0
5,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,3.8287581699346407,4.598692810457516,4.700653594771242,4.250980392156863,5.363398692810457,5.449673202614379,8.079738562091503,9.962091503267974,10.15032679738562,0.011049658060073853,72.29308319091797,0.9895550271739131,0.9578,0.0,1.621246337890625e-05,72.29308319091797,0.9845715742944576,0.9578,0.0,0.9578,0.0004341602325439453,0.9244,0.0004341602325439453,0.0,0.0,0.0,0
6,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,3.500653594771242,4.135947712418301,4.218300653594771,4.05359477124183,4.9790849673202615,5.084967320261438,7.554248366013072,9.115032679738562,9.30326797385621,0.0016647577285766602,67.2341079711914,0.9895125679347826,0.9626,0.0,7.152557373046875e-07,67.2341079711914,0.9869517171030262,0.9626,0.0,0.9626,1.728534698486328e-05,0.9268,1.728534698486328e-05,0.0,0.0,0.0,0
7,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,3.369934640522876,3.9568627450980394,4.030065359477124,3.934640522875817,4.780392156862745,4.943790849673203,7.304575163398693,8.737254901960783,8.973856209150327,0.24388864636421204,56.368778228759766,0.9901069972826086,0.9675,0.0,0.0,56.368778228759766,0.9875467528051683,0.9675,0.0,0.9675,8.559226989746094e-05,0.9232,8.559226989746094e-05,0.0,0.0,0.0,0
8,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,3.3228758169934642,3.827450980392157,3.8901960784313725,3.665359477124183,4.496732026143791,4.555555555555555,6.988235294117647,8.324183006535948,8.445751633986928,0.00793224573135376,54.68178176879883,0.9915506114130435,0.9692,0.0,0.0,54.68178176879883,0.9877592655559334,0.9692,0.0,0.9692,0.007680535316467285,0.9324,0.007680535316467285,0.0,0.0,0.0,0
9,rankdad,0.0001,32,1,5,simpleff,mnist,32,10,3.2509803921568627,3.7633986928104575,3.849673202614379,3.5516339869281044,4.303267973856209,4.34640522875817,6.802614379084967,8.066666666666666,8.196078431372548,0.00010249018669128418,71.58636474609375,0.9929093070652174,0.9646,0.0,0.0017528533935546875,71.58636474609375,0.9899268956137368,0.9646,0.0,0.9646,1.430511474609375e-05,0.9153,1.430511474609375e-05,0.0,0.0,0.0,0
