,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,test_acc_avg
0,0,noshare,1e-05,32,0.55757075548172,25.100261688232422,0.7818620783460283,0.4703,0.20872487127780914,21.203380584716797,0.6267514623860699,0.4089,0.3979
1,1,noshare,1e-05,32,0.24181973934173584,25.535131454467773,0.9274347116430903,0.485,0.0702802762389183,23.090194702148438,0.86032512583322,0.4314,0.4567
2,2,noshare,1e-05,32,0.05619388818740845,25.545257568359375,0.94685119695321,0.4907,0.10538104921579361,23.662113189697266,0.9015099986396409,0.442,0.4844
3,3,noshare,1e-05,32,0.006423532962799072,25.474456787109375,0.9569164853101197,0.4948,0.13322141766548157,23.837373733520508,0.9213712420078901,0.4469,0.4979
4,4,noshare,1e-05,32,0.0017540454864501953,25.221256256103516,0.9637853645266594,0.4975,0.14296706020832062,23.977445602416992,0.9329342946537886,0.4515,0.5106
5,5,noshare,1e-05,32,0.0005970597267150879,24.98631477355957,0.9694640914036997,0.4988,0.1440245807170868,24.047977447509766,0.9425248265542103,0.4544,0.5134
6,6,noshare,1e-05,32,0.00019562244415283203,24.87014389038086,0.9736126224156693,0.4998,0.12997756898403168,24.074316024780273,0.950108828730785,0.4568,0.516
7,7,noshare,1e-05,32,7.158517837524414e-05,24.795902252197266,0.9776931447225244,0.5003,0.11859611421823502,24.044857025146484,0.9564685076860291,0.4582,0.5195
8,8,noshare,1e-05,32,3.4928321838378906e-05,24.761987686157227,0.9807535364526659,0.5018,0.10667432844638824,24.029537200927734,0.9625901237926813,0.4596,0.5196
9,9,noshare,1e-05,32,2.3126602172851562e-05,24.8194522857666,0.9831338411316648,0.5024,0.09594906866550446,24.00937843322754,0.9664671473268943,0.4612,0.522
10,10,noshare,1e-05,32,2.777576446533203e-05,24.8170166015625,0.9863302502720348,0.5027,0.08084572851657867,24.027584075927734,0.9710243504285131,0.4621,0.5272
11,11,noshare,1e-05,32,3.93986701965332e-05,24.910263061523438,0.988778563656148,0.5032,0.06516831368207932,24.065929412841797,0.97418718541695,0.4631,0.5282
12,12,noshare,1e-05,32,6.306171417236328e-05,24.990739822387695,0.9909548422198041,0.5031,0.05367524176836014,24.22125244140625,0.9775200652972384,0.4641,0.5295
13,13,noshare,1e-05,32,0.00011032819747924805,25.119182586669922,0.9930631120783461,0.5035,0.04653232544660568,24.388330459594727,0.9800707386750102,0.4652,0.5301
14,14,noshare,1e-05,32,0.0001983046531677246,25.23642349243164,0.9943212731229597,0.5035,0.04064750671386719,24.611072540283203,0.9824513671609305,0.4654,0.5346
15,15,noshare,1e-05,32,0.0002865791320800781,25.430177688598633,0.996259521218716,0.5038,0.03809040039777756,24.759140014648438,0.9847979866684805,0.4661,0.5373
16,16,noshare,1e-05,32,0.0004311800003051758,25.626991271972656,0.9972796517954298,0.5037,0.03443707898259163,24.917800903320312,0.9866684804788464,0.4667,0.5416
17,17,noshare,1e-05,32,0.0006873607635498047,25.824068069458008,0.9980957562568009,0.5039,0.03319845721125603,25.079492568969727,0.9884369473541015,0.4671,0.5467
18,18,noshare,1e-05,32,0.0007734894752502441,26.02933692932129,0.9985718171926007,0.5038,0.028265509754419327,25.19838523864746,0.9902054142293566,0.4675,0.5489
19,19,noshare,1e-05,32,0.0011271834373474121,26.21678352355957,0.9990478781284005,0.5037,0.0248410701751709,25.365100860595703,0.9915997823425384,0.4678,0.5534
20,20,noshare,1e-05,32,0.001164257526397705,26.376483917236328,0.999217899891186,0.5037,0.021700313314795494,25.506431579589844,0.9933002312610529,0.468,0.5568
21,21,noshare,1e-05,32,0.0012487173080444336,26.595375061035156,0.999727965179543,0.504,0.018487555906176567,25.69258689880371,0.9943885185689022,0.4682,0.5587
22,22,noshare,1e-05,32,0.0007417201995849609,27.011110305786133,0.9998979869423286,0.5043,0.014854669570922852,25.915424346923828,0.9952727520065298,0.4681,0.5634
23,23,noshare,1e-05,32,0.0007067322731018066,27.27627182006836,0.9998979869423286,0.5041,0.01219013798981905,26.12082290649414,0.996122976465787,0.469,0.5644
24,24,noshare,1e-05,32,0.0007655024528503418,27.77655601501465,0.9999659956474428,0.5046,0.013959543779492378,26.365367889404297,0.9968711739899333,0.4688,0.5654
25,25,noshare,1e-05,32,0.0005740523338317871,27.89840316772461,1.0,0.5043,0.011642592027783394,26.557537078857422,0.9975513535573391,0.4689,0.5702
26,26,noshare,1e-05,32,0.0004668235778808594,28.025259017944336,1.0,0.5051,0.01072076428681612,26.77389144897461,0.9979934702761529,0.4693,0.5736
27,27,noshare,1e-05,32,0.0002853274345397949,28.222383499145508,1.0,0.505,0.009051322937011719,26.987268447875977,0.9982315331247449,0.4689,0.5771
28,28,noshare,1e-05,32,0.00033605098724365234,28.482402801513672,1.0,0.505,0.008031061850488186,27.24215316772461,0.9987416678002993,0.4692,0.5805
29,29,noshare,1e-05,32,0.0002346038818359375,28.68968391418457,1.0,0.505,0.007421357091516256,27.38563346862793,0.9990137396272616,0.4695,0.5851
30,30,noshare,1e-05,32,0.00026106834411621094,28.9449405670166,1.0,0.5052,0.005387408193200827,27.707658767700195,0.9993878383893348,0.4695,0.5896
31,31,noshare,1e-05,32,0.0001844167709350586,29.22735595703125,1.0,0.5051,0.005373988766223192,27.971908569335938,0.9995578832811862,0.4699,0.5927
32,32,noshare,1e-05,32,0.00013911724090576172,29.476531982421875,1.0,0.5056,0.004035336431115866,28.20847511291504,0.9996939191946674,0.4701,0.5972
33,33,noshare,1e-05,32,8.45193862915039e-05,29.74454689025879,1.0,0.5056,0.003926004748791456,28.59075927734375,0.9998299551081485,0.4701,0.6007
34,34,noshare,1e-05,32,6.687641143798828e-05,30.004621505737305,1.0,0.5057,0.003718750784173608,28.805068969726562,0.9998639640865188,0.4701,0.6045
