epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dad,1e-05,32,-1,10,simpleff,mnist,2.9301371574401855,353.4735107421875,0.7725013616557734,0.8855,0.0,0.24739885330200195,353.4735107421875,0.7210307734204793,0.8855,0.0,0.8855,0.9652837514877319,0.4203,0.9652837514877319,0.0,0.0,0.0,0
1,dad,1e-05,32,-1,10,simpleff,mnist,2.1509525775909424,232.07666015625,0.9147943899782135,0.9165,0.0,0.12509989738464355,232.07666015625,0.8901143790849673,0.9165,0.0,0.9165,0.8090879917144775,0.4785,0.8090879917144775,0.0,0.0,0.0,0
2,dad,1e-05,32,-1,10,simpleff,mnist,1.2792387008666992,181.71542358398438,0.9407339324618736,0.9304,0.0,0.1544244885444641,181.71542358398438,0.9248366013071896,0.9304,0.0,0.9304,0.5595866441726685,0.5127,0.5595866441726685,0.0,0.0,0.0,0
3,dad,1e-05,32,-1,10,simpleff,mnist,0.720978319644928,159.06610107421875,0.9568695533769063,0.9371,0.0,0.1436871886253357,159.06610107421875,0.9455678104575164,0.9371,0.0,0.9371,0.2678772211074829,0.5139,0.2678772211074829,0.0,0.0,0.0,0
4,dad,1e-05,32,-1,10,simpleff,mnist,0.5926598906517029,144.5635528564453,0.968818082788671,0.9403,0.0,0.036506056785583496,144.5635528564453,0.9602736928104575,0.9403,0.0,0.9403,0.12053358554840088,0.5235,0.12053358554840088,0.0,0.0,0.0,0
5,dad,1e-05,32,-1,10,simpleff,mnist,0.43697887659072876,134.02394104003906,0.9778390522875817,0.9446,0.0,0.004223525524139404,134.02394104003906,0.9719158496732027,0.9446,0.0,0.9446,0.052559852600097656,0.5394,0.052559852600097656,0.0,0.0,0.0,0
6,dad,1e-05,32,-1,10,simpleff,mnist,0.31653648614883423,126.4419174194336,0.9854643246187363,0.9457,0.0,0.00497204065322876,126.4419174194336,0.9808687363834423,0.9457,0.0,0.9457,0.05139422416687012,0.5579,0.05139422416687012,0.0,0.0,0.0,0
7,dad,1e-05,32,-1,10,simpleff,mnist,0.18953311443328857,127.72867584228516,0.9903322440087146,0.9461,0.0,0.0035573244094848633,127.72867584228516,0.9860430283224401,0.9461,0.0,0.9461,0.03766751289367676,0.5575,0.03766751289367676,0.0,0.0,0.0,0
8,dad,1e-05,32,-1,10,simpleff,mnist,0.02984076738357544,116.13230895996094,0.9936342592592593,0.9487,0.0,0.03408503532409668,116.13230895996094,0.9916938997821351,0.9487,0.0,0.9487,0.0005655288696289062,0.5609,0.0005655288696289062,0.0,0.0,0.0,0
9,dad,1e-05,32,-1,10,simpleff,mnist,0.04376518726348877,118.3346176147461,0.9953363289760349,0.9486,0.0,0.00032782554626464844,118.3346176147461,0.9930895969498911,0.9486,0.0,0.9486,2.5272369384765625e-05,0.529,2.5272369384765625e-05,0.0,0.0,0.0,0
10,dad,1e-05,32,-1,10,simpleff,mnist,0.004809558391571045,117.0039291381836,0.9962554466230937,0.9502,0.0,0.00021255016326904297,117.0039291381836,0.9941789215686274,0.9502,0.0,0.9502,4.76837158203125e-07,0.5251,4.76837158203125e-07,0.0,0.0,0.0,0
11,dad,1e-05,32,-1,10,simpleff,mnist,0.020805776119232178,113.25523376464844,0.997072440087146,0.952,0.0,7.212162017822266e-05,113.25523376464844,0.9955405773420479,0.952,0.0,0.952,7.152557373046875e-07,0.5267,7.152557373046875e-07,0.0,0.0,0.0,0
12,dad,1e-05,32,-1,10,simpleff,mnist,0.04819142818450928,109.75916290283203,0.9981617647058824,0.954,0.0,0.00045120716094970703,109.75916290283203,0.9980255991285403,0.954,0.0,0.954,4.76837158203125e-06,0.5067,4.76837158203125e-06,0.0,0.0,0.0,0
13,dad,1e-05,32,-1,10,simpleff,mnist,0.0023888349533081055,107.4310073852539,0.9979234749455338,0.9552,0.0,0.0015755891799926758,107.4310073852539,0.9977532679738562,0.9552,0.0,0.9552,1.1920928955078125e-06,0.5134,1.1920928955078125e-06,0.0,0.0,0.0,0
14,dad,1e-05,32,-1,10,simpleff,mnist,0.001404881477355957,101.53596496582031,0.9974128540305011,0.9575,0.0,0.14186334609985352,101.53596496582031,0.9969362745098039,0.9575,0.0,0.9575,2.384185791015625e-07,0.4856,2.384185791015625e-07,0.0,0.0,0.0,0
15,dad,1e-05,32,-1,10,simpleff,mnist,0.0005059242248535156,101.2689437866211,0.9984340958605664,0.9579,0.0,4.4465065002441406e-05,101.2689437866211,0.9976851851851852,0.9579,0.0,0.9579,4.76837158203125e-07,0.4968,4.76837158203125e-07,0.0,0.0,0.0,0
16,dad,1e-05,32,-1,10,simpleff,mnist,0.0005460381507873535,99.27421569824219,0.9989447167755992,0.9587,0.0,0.0014593005180358887,99.27421569824219,0.998536220043573,0.9587,0.0,0.9587,2.384185791015625e-07,0.5592,2.384185791015625e-07,0.0,0.0,0.0,0
17,dad,1e-05,32,-1,10,simpleff,mnist,0.004596233367919922,97.24141693115234,0.9991489651416122,0.9603,0.0,0.00010287761688232422,97.24141693115234,0.9987745098039216,0.9603,0.0,0.9603,4.76837158203125e-07,0.5317,4.76837158203125e-07,0.0,0.0,0.0,0
