epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dad,1e-05,32,-1,10,simpleff,mnist,1.4205480813980103,350.8773193359375,0.7551694236926361,0.8837,0.0,1.5569229125976562,350.8773193359375,0.7529015474919958,0.8837,0.0,0.8837,0.9614869356155396,0.4323,0.9614869356155396,0.0,0.0,0.0,0
1,dad,1e-05,32,-1,10,simpleff,mnist,0.5961712002754211,234.27952575683594,0.9061832977588047,0.9118,0.0,1.1064403057098389,234.27952575683594,0.9051160618996799,0.9118,0.0,0.9118,0.6763482093811035,0.4744,0.6763482093811035,0.0,0.0,0.0,0
2,dad,1e-05,32,-1,10,simpleff,mnist,0.39855486154556274,184.88900756835938,0.9357990928495198,0.926,0.0,0.8715668320655823,184.88900756835938,0.9347985592315902,0.926,0.0,0.926,0.36174893379211426,0.492,0.36174893379211426,0.0,0.0,0.0,0
3,dad,1e-05,32,-1,10,simpleff,mnist,0.37871551513671875,160.8541259765625,0.9538754002134472,0.9346,0.0,0.597178041934967,160.8541259765625,0.9536085912486659,0.9346,0.0,0.9346,0.08219122886657715,0.5071,0.08219122886657715,0.0,0.0,0.0,0
4,dad,1e-05,32,-1,10,simpleff,mnist,0.31277137994766235,143.31167602539062,0.9653148345784418,0.9406,0.0,0.4483076333999634,143.31167602539062,0.9663487193169691,0.9406,0.0,0.9406,0.08625936508178711,0.5178,0.08625936508178711,0.0,0.0,0.0,0
5,dad,1e-05,32,-1,10,simpleff,mnist,0.1899580955505371,130.76248168945312,0.9766542155816436,0.9445,0.0,0.2985959053039551,130.76248168945312,0.9760538954108858,0.9445,0.0,0.9445,0.012644171714782715,0.5435,0.012644171714782715,0.0,0.0,0.0,0
6,dad,1e-05,32,-1,10,simpleff,mnist,0.15924623608589172,123.4544677734375,0.9840915154749199,0.9463,0.0,0.1127026379108429,123.4544677734375,0.9852254535752402,0.9463,0.0,0.9463,0.005640983581542969,0.5402,0.005640983581542969,0.0,0.0,0.0,0
7,dad,1e-05,32,-1,10,simpleff,mnist,0.03082600235939026,116.19639587402344,0.9896945037353255,0.9482,0.0,0.02887740731239319,116.19639587402344,0.9897945570971185,0.9482,0.0,0.9482,0.008273839950561523,0.555,0.008273839950561523,0.0,0.0,0.0,0
8,dad,1e-05,32,-1,10,simpleff,mnist,0.039261311292648315,113.16471862792969,0.9929629135538954,0.9493,0.0,0.04173991084098816,113.16471862792969,0.9931630202774814,0.9493,0.0,0.9493,0.006116747856140137,0.5789,0.006116747856140137,0.0,0.0,0.0,0
9,dad,1e-05,32,-1,10,simpleff,mnist,0.007372856140136719,110.04649353027344,0.9946971718249733,0.9519,0.0,0.03287380933761597,110.04649353027344,0.9960312166488794,0.9519,0.0,0.9519,0.0004329681396484375,0.5682,0.0004329681396484375,0.0,0.0,0.0,0
10,dad,1e-05,32,-1,10,simpleff,mnist,0.010605037212371826,101.9773941040039,0.9951640875133404,0.9559,0.0,0.013854056596755981,101.9773941040039,0.9954642475987193,0.9559,0.0,0.9559,1.1920928955078125e-06,0.5508,1.1920928955078125e-06,0.0,0.0,0.0,0
11,dad,1e-05,32,-1,10,simpleff,mnist,0.03105449676513672,104.97755432128906,0.9970984525080042,0.9554,0.0,0.0034612715244293213,104.97755432128906,0.9974986659551761,0.9554,0.0,0.9554,0.0,0.5419,0.0,0.0,0.0,0.0,0
12,dad,1e-05,32,-1,10,simpleff,mnist,0.005299627780914307,104.92027282714844,0.9983991462113126,0.9553,0.0,0.021618425846099854,104.92027282714844,0.9983991462113126,0.9553,0.0,0.9553,9.059906005859375e-06,0.5498,9.059906005859375e-06,0.0,0.0,0.0,0
13,dad,1e-05,32,-1,10,simpleff,mnist,0.0036742091178894043,124.34577941894531,0.9981990394877268,0.9526,0.0,0.004665553569793701,124.34577941894531,0.9980989861259338,0.9526,0.0,0.9526,0.0,0.5089,0.0,0.0,0.0,0.0,0
14,dad,1e-05,32,-1,10,simpleff,mnist,0.030865609645843506,100.904052734375,0.9979655816435432,0.96,0.0,0.003628939390182495,100.904052734375,0.9974653148345785,0.96,0.0,0.96,1.1920928955078125e-06,0.5378,1.1920928955078125e-06,0.0,0.0,0.0,0
