epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dsgd,1e-05,32,-1,10,simpleff,mnist,2.9301373958587646,353.4734802246094,0.7725013616557734,0.8855,0.0,0.24739867448806763,353.4734802246094,0.7210307734204793,0.8855,0.0,0.8855,0.9652847051620483,0.4203,0.9652847051620483,0.0,0.0,0.0,0
1,dsgd,1e-05,32,-1,10,simpleff,mnist,2.1518192291259766,232.0249481201172,0.9147943899782135,0.9166,0.0,0.12291038036346436,232.0249481201172,0.8901484204793029,0.9166,0.0,0.9166,0.8063311576843262,0.4786,0.8063311576843262,0.0,0.0,0.0,0
2,dsgd,1e-05,32,-1,10,simpleff,mnist,1.282266616821289,181.90541076660156,0.940631808278867,0.9305,0.0,0.15172791481018066,181.90541076660156,0.9248706427015251,0.9305,0.0,0.9305,0.5455855131149292,0.5148,0.5455855131149292,0.0,0.0,0.0,0
3,dsgd,1e-05,32,-1,10,simpleff,mnist,0.6988016366958618,158.6575164794922,0.9571418845315904,0.9367,0.0,0.13375645875930786,158.6575164794922,0.9453635620915033,0.9367,0.0,0.9367,0.27271413803100586,0.5162,0.27271413803100586,0.0,0.0,0.0,0
4,dsgd,1e-05,32,-1,10,simpleff,mnist,0.5811344385147095,144.88572692871094,0.9688861655773421,0.94,0.0,0.03622347116470337,144.88572692871094,0.9601034858387799,0.94,0.0,0.94,0.09215998649597168,0.5207,0.09215998649597168,0.0,0.0,0.0,0
5,dsgd,1e-05,32,-1,10,simpleff,mnist,0.4221618175506592,134.0955047607422,0.9776348039215687,0.9441,0.0,0.004943728446960449,134.0955047607422,0.9720179738562091,0.9441,0.0,0.9441,0.03859901428222656,0.5392,0.03859901428222656,0.0,0.0,0.0,0
6,dsgd,1e-05,32,-1,10,simpleff,mnist,0.3279051184654236,126.14420318603516,0.9851579520697168,0.9456,0.0,0.01048886775970459,126.14420318603516,0.9805623638344226,0.9456,0.0,0.9456,0.06724905967712402,0.5595,0.06724905967712402,0.0,0.0,0.0,0
7,dsgd,1e-05,32,-1,10,simpleff,mnist,0.18222814798355103,124.80216979980469,0.9906726579520697,0.9471,0.0,0.0021510720252990723,124.80216979980469,0.9861791938997821,0.9471,0.0,0.9471,0.01669454574584961,0.5574,0.01669454574584961,0.0,0.0,0.0,0
8,dsgd,1e-05,32,-1,10,simpleff,mnist,0.037833988666534424,114.546630859375,0.994281045751634,0.9499,0.0,0.0035873055458068848,114.546630859375,0.9912173202614379,0.9499,0.0,0.9499,0.012042403221130371,0.5636,0.012042403221130371,0.0,0.0,0.0,0
9,dsgd,1e-05,32,-1,10,simpleff,mnist,0.01237410306930542,111.73129272460938,0.9960511982570807,0.9508,0.0,0.0011324286460876465,111.73129272460938,0.9934980936819172,0.9508,0.0,0.9508,6.67572021484375e-06,0.5402,6.67572021484375e-06,0.0,0.0,0.0,0
10,dsgd,1e-05,32,-1,10,simpleff,mnist,0.003495156764984131,115.3346939086914,0.9970383986928104,0.95,0.0,0.0007306933403015137,115.3346939086914,0.9949959150326797,0.95,0.0,0.95,1.1920928955078125e-06,0.5407,1.1920928955078125e-06,0.0,0.0,0.0,0
