epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,1e-05,32,-1,10,simpleff,mnist,1.3945873975753784,10087.234375,0.875068082788671,0.4951,0.0,0.06449156999588013,9901.98828125,0.8336737472766884,0.4494,0.0,0.49,4.904485702514648,0.1474,37.95269966125488,0.0,0.0,0.0,0
1,noshare,1e-05,32,-1,10,simpleff,mnist,0.6508172154426575,10142.046875,0.9673202614379085,0.5007,0.0,0.03176689147949219,9978.2626953125,0.9457720588235294,0.4587,0.0,0.519,4.216578483581543,0.1509,38.4545783996582,0.0,0.0,0.0,0
2,noshare,1e-05,32,-1,10,simpleff,mnist,0.1545470952987671,10012.548828125,0.9811751089324618,0.5015,0.0,0.004670441150665283,9970.5693359375,0.9660607298474946,0.4613,0.0,0.5143,4.41177225112915,0.1488,38.44325065612793,0.0,0.0,0.0,0
3,noshare,1e-05,32,-1,10,simpleff,mnist,0.0006816983222961426,10071.6201171875,0.9891407952069716,0.5025,0.0,0.004164576530456543,10017.6318359375,0.980119825708061,0.4631,0.0,0.5187,4.089433670043945,0.1491,38.592267990112305,0.0,0.0,0.0,0
4,noshare,1e-05,32,-1,10,simpleff,mnist,0.05166494846343994,10160.1220703125,0.9942129629629629,0.5032,0.0,0.00041157007217407227,10001.93359375,0.9867238562091504,0.4637,0.0,0.5362,3.481039047241211,0.1584,38.52695846557617,0.0,0.0,0.0,0
5,noshare,1e-05,32,-1,10,simpleff,mnist,1.1205673217773438e-05,10360.9892578125,0.9958809912854031,0.5042,0.0,0.003716588020324707,10075.115234375,0.9916258169934641,0.4664,0.0,0.5373,4.483386516571045,0.1499,39.303958892822266,0.0,0.0,0.0,0
6,noshare,1e-05,32,-1,10,simpleff,mnist,9.179115295410156e-06,10185.0712890625,0.9976171023965141,0.5054,0.0,0.008648097515106201,10272.77734375,0.9946555010893247,0.4659,0.0,0.5534,3.968212127685547,0.1515,38.98224639892578,0.0,0.0,0.0,0
7,noshare,1e-05,32,-1,10,simpleff,mnist,0.0007057785987854004,10764.998046875,0.9969362745098039,0.5049,0.0,0.0017379522323608398,10208.4091796875,0.9958809912854031,0.4673,0.0,0.5676,3.2660584449768066,0.151,40.00197792053223,0.0,0.0,0.0,0
8,noshare,1e-05,32,-1,10,simpleff,mnist,5.7220458984375e-06,10670.373046875,0.9974809368191722,0.5066,0.0,3.927946090698242e-05,10717.2509765625,0.997072440087146,0.4621,0.0,0.5611,4.841281890869141,0.1625,41.9553279876709,0.0,0.0,0.0,0
9,noshare,1e-05,32,-1,10,simpleff,mnist,4.172325134277344e-07,10446.6181640625,0.998672385620915,0.5069,0.0,9.179115295410156e-06,10550.109375,0.9953363289760349,0.4703,0.0,0.5999,3.399888753890991,0.1635,40.42799377441406,0.0,0.0,0.0,0
10,noshare,1e-05,32,-1,10,simpleff,mnist,2.7418136596679688e-06,10375.4765625,0.9996936274509803,0.5065,0.0,6.29425048828125e-05,10509.8505859375,0.9965618191721133,0.473,0.0,0.6054,3.284331798553467,0.1655,39.63311195373535,0.0,0.0,0.0,0
11,noshare,1e-05,32,-1,10,simpleff,mnist,0.007273375988006592,10550.876953125,0.9978213507625272,0.5066,0.0,3.2782554626464844e-05,10468.4716796875,0.9977873093681917,0.4722,0.0,0.6265,2.8031907081604004,0.1723,40.287654876708984,0.0,0.0,0.0,0
12,noshare,1e-05,32,-1,10,simpleff,mnist,2.980232238769531e-07,10588.25,0.9983660130718954,0.5074,0.0,0.0005995035171508789,10593.22265625,0.9975149782135077,0.4732,0.0,0.6221,2.4424195289611816,0.157,40.85197448730469,0.0,0.0,0.0,0
13,noshare,1e-05,32,-1,10,simpleff,mnist,8.344650268554688e-07,10658.34375,0.9985021786492375,0.5072,0.0,1.4662742614746094e-05,10905.3564453125,0.9982979302832244,0.4733,0.0,0.6316,1.8879954814910889,0.1665,41.57417106628418,0.0,0.0,0.0,0
14,noshare,1e-05,32,-1,10,simpleff,mnist,0.0,10688.1142578125,0.9991149237472767,0.5077,0.0,0.01028597354888916,10938.564453125,0.9974809368191722,0.4726,0.0,0.6578,1.831153392791748,0.1682,42.29804611206055,0.0,0.0,0.0,0
15,noshare,1e-05,32,-1,10,simpleff,mnist,0.0,10656.2373046875,0.9992170479302832,0.5076,0.0,2.86102294921875e-05,10666.91015625,0.997072440087146,0.4738,0.0,0.6496,1.34586501121521,0.1597,40.5722541809082,0.0,0.0,0.0,0
16,noshare,1e-05,32,-1,10,simpleff,mnist,0.0,10649.306640625,0.9990808823529411,0.5087,0.0,5.960464477539062e-07,11092.208984375,0.998876633986928,0.4738,0.0,0.6648,2.1086649894714355,0.1698,42.09228324890137,0.0,0.0,0.0,0
17,noshare,1e-05,32,-1,10,simpleff,mnist,3.8743019104003906e-05,10877.74609375,0.9985702614379085,0.5073,0.0,2.384185791015625e-07,11058.9248046875,0.9988085511982571,0.473,0.0,0.6716,1.6830980777740479,0.1713,42.109153747558594,0.0,0.0,0.0,0
18,noshare,1e-05,32,-1,10,simpleff,mnist,0.00031554698944091797,11102.3427734375,0.998672385620915,0.5063,0.0,0.0,11154.5791015625,0.9982638888888888,0.4749,0.0,0.6761,0.9271617531776428,0.168,42.81517219543457,0.0,0.0,0.0,0
19,noshare,1e-05,32,-1,10,simpleff,mnist,8.034706115722656e-05,11008.3642578125,0.9993532135076253,0.5088,0.0,2.9802322387695312e-06,11603.66796875,0.9983319716775599,0.4718,0.0,0.6845,1.3283865451812744,0.1523,44.359375,0.0,0.0,0.0,0
20,noshare,1e-05,32,-1,10,simpleff,mnist,0.0001150369644165039,10931.8125,0.9992510893246187,0.5082,0.0,0.0,11749.7734375,0.9991149237472767,0.4744,0.0,0.6984,0.7282750010490417,0.1718,43.42249298095703,0.0,0.0,0.0,0
