epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,1e-05,64,-1,10,simpleff,mnist,1.776955485343933,178.7974090576172,0.753351787620064,0.8831,0.0,0.8831,0.21433007717132568,0.4968,0.21433007717132568,0.0,0.0,0.0,0
1,pooled,1e-05,64,-1,10,simpleff,mnist,1.311615228652954,118.67898559570312,0.9055162753468516,0.9134,0.0,0.9134,0.006359219551086426,0.5288,0.006359219551086426,0.0,0.0,0.0,0
2,pooled,1e-05,64,-1,10,simpleff,mnist,1.1702733039855957,93.00041198730469,0.933764674493063,0.9257,0.0,0.9257,4.410743713378906e-05,0.5417,4.410743713378906e-05,0.0,0.0,0.0,0
3,pooled,1e-05,64,-1,10,simpleff,mnist,1.0010082721710205,79.48076629638672,0.9525580309498399,0.9323,0.0,0.9323,0.0,0.5653,0.0,0.0,0.0,0.0,0
4,pooled,1e-05,64,-1,10,simpleff,mnist,0.894720733165741,71.27447509765625,0.9658151013874067,0.9363,0.0,0.9363,0.0,0.5771,0.0,0.0,0.0,0.0,0
5,pooled,1e-05,64,-1,10,simpleff,mnist,0.7568796873092651,66.27749633789062,0.9763707310565635,0.94,0.0,0.94,0.0,0.5942,0.0,0.0,0.0,0.0,0
6,pooled,1e-05,64,-1,10,simpleff,mnist,0.625827431678772,61.53700637817383,0.9838247065101388,0.9442,0.0,0.9442,2.384185791015625e-07,0.6136,2.384185791015625e-07,0.0,0.0,0.0,0
7,pooled,1e-05,64,-1,10,simpleff,mnist,0.5228972434997559,61.78440475463867,0.9899613127001067,0.945,0.0,0.945,0.0,0.6111,0.0,0.0,0.0,0.0,0
8,pooled,1e-05,64,-1,10,simpleff,mnist,0.38826465606689453,58.58746337890625,0.9934465048025614,0.9479,0.0,0.9479,0.0,0.6174,0.0,0.0,0.0,0.0,0
9,pooled,1e-05,64,-1,10,simpleff,mnist,0.2830633521080017,57.43780517578125,0.9947805496264674,0.9482,0.0,0.9482,0.0,0.6281,0.0,0.0,0.0,0.0,0
10,pooled,1e-05,64,-1,10,simpleff,mnist,0.22009509801864624,56.9799919128418,0.9955643009605123,0.9498,0.0,0.9498,0.0,0.6142,0.0,0.0,0.0,0.0,0
11,pooled,1e-05,64,-1,10,simpleff,mnist,0.13818174600601196,54.7568244934082,0.9962146478121665,0.9531,0.0,0.9531,0.0,0.6494,0.0,0.0,0.0,0.0,0
12,pooled,1e-05,64,-1,10,simpleff,mnist,0.0024303793907165527,54.49720001220703,0.9975653681963714,0.9531,0.0,0.9531,0.0,0.6199,0.0,0.0,0.0,0.0,0
13,pooled,1e-05,64,-1,10,simpleff,mnist,0.05091807246208191,51.06267547607422,0.9973319103521878,0.9565,0.0,0.9565,0.0,0.6048,0.0,0.0,0.0,0.0,0
14,pooled,1e-05,64,-1,10,simpleff,mnist,0.04156199097633362,54.83342361450195,0.9978822038420491,0.9544,0.0,0.9544,0.0,0.5922,0.0,0.0,0.0,0.0,0
15,pooled,1e-05,64,-1,10,simpleff,mnist,0.004434555768966675,50.57563400268555,0.9975820437566703,0.9594,0.0,0.9594,0.0,0.6145,0.0,0.0,0.0,0.0,0
16,pooled,1e-05,64,-1,10,simpleff,mnist,0.001028686761856079,51.106903076171875,0.9989160885805763,0.9588,0.0,0.9588,0.0,0.6191,0.0,0.0,0.0,0.0,0
17,pooled,1e-05,64,-1,10,simpleff,mnist,0.0009700953960418701,51.04405975341797,0.9975987193169691,0.9592,0.0,0.9592,2.384185791015625e-06,0.6299,2.384185791015625e-06,0.0,0.0,0.0,0
18,pooled,1e-05,64,-1,10,simpleff,mnist,0.0024206936359405518,48.72385787963867,0.9982490661686233,0.9606,0.0,0.9606,0.0,0.584,0.0,0.0,0.0,0.0,0
19,pooled,1e-05,64,-1,10,simpleff,mnist,0.0007161796092987061,48.043678283691406,0.9987493329775881,0.9626,0.0,0.9626,0.0,0.5917,0.0,0.0,0.0,0.0,0
20,pooled,1e-05,64,-1,10,simpleff,mnist,0.00617671012878418,48.208702087402344,0.9986659551760939,0.9609,0.0,0.9609,3.337860107421875e-06,0.568,3.337860107421875e-06,0.0,0.0,0.0,0
21,pooled,1e-05,64,-1,10,simpleff,mnist,4.017353057861328e-05,45.629878997802734,0.998465848452508,0.9632,0.0,0.9632,0.0,0.5794,0.0,0.0,0.0,0.0,0
22,pooled,1e-05,64,-1,10,simpleff,mnist,0.0008766055107116699,50.260189056396484,0.9985325506937033,0.9601,0.0,0.9601,0.0,0.5813,0.0,0.0,0.0,0.0,0
23,pooled,1e-05,64,-1,10,simpleff,mnist,0.0007191002368927002,44.093868255615234,0.9990661686232657,0.9651,0.0,0.9651,0.0,0.5927,0.0,0.0,0.0,0.0,0
24,pooled,1e-05,64,-1,10,simpleff,mnist,0.0013233423233032227,51.00537109375,0.9988827374599787,0.9621,0.0,0.9621,0.0,0.5814,0.0,0.0,0.0,0.0,0
25,pooled,1e-05,64,-1,10,simpleff,mnist,0.0004655122756958008,43.233306884765625,0.9991662219850587,0.9663,0.0,0.9663,0.0,0.6,0.0,0.0,0.0,0.0,0
26,pooled,1e-05,64,-1,10,simpleff,mnist,9.614229202270508e-05,48.72207260131836,0.999032817502668,0.9635,0.0,0.9635,0.0,0.604,0.0,0.0,0.0,0.0,0
27,pooled,1e-05,64,-1,10,simpleff,mnist,0.007726907730102539,50.35795974731445,0.9986492796157951,0.9637,0.0,0.9637,0.0,0.6024,0.0,0.0,0.0,0.0,0
28,pooled,1e-05,64,-1,10,simpleff,mnist,0.003298133611679077,43.526554107666016,0.999032817502668,0.9666,0.0,0.9666,0.0,0.6092,0.0,0.0,0.0,0.0,0
29,pooled,1e-05,64,-1,10,simpleff,mnist,0.00032824277877807617,44.7646484375,0.9994997331910352,0.967,0.0,0.967,0.0,0.6172,0.0,0.0,0.0,0.0,0
30,pooled,1e-05,64,-1,10,simpleff,mnist,6.22868537902832e-06,49.45444107055664,0.9991662219850587,0.9639,0.0,0.9639,0.0,0.6209,0.0,0.0,0.0,0.0,0
31,pooled,1e-05,64,-1,10,simpleff,mnist,5.5789947509765625e-05,44.755104064941406,0.9987326574172892,0.9678,0.0,0.9678,0.0,0.6007,0.0,0.0,0.0,0.0,0
32,pooled,1e-05,64,-1,10,simpleff,mnist,0.0001957416534423828,43.30598449707031,0.9993830042689434,0.9686,0.0,0.9686,0.0,0.6105,0.0,0.0,0.0,0.0,0
33,pooled,1e-05,64,-1,10,simpleff,mnist,0.0012608766555786133,48.41853713989258,0.999132870864461,0.9643,0.0,0.9643,0.0,0.6631,0.0,0.0,0.0,0.0,0
34,pooled,1e-05,64,-1,10,simpleff,mnist,0.00010195374488830566,42.737545013427734,0.9991662219850587,0.9675,0.0,0.9675,0.0,0.6212,0.0,0.0,0.0,0.0,0
35,pooled,1e-05,64,-1,10,simpleff,mnist,0.0002301633358001709,39.582942962646484,1.0,0.9698,0.0,0.9698,0.0,0.6239,0.0,0.0,0.0,0.0,0
36,pooled,1e-05,64,-1,10,simpleff,mnist,0.002490907907485962,42.1391487121582,0.9982157150480256,0.9692,0.0,0.9692,0.0,0.6353,0.0,0.0,0.0,0.0,0
37,pooled,1e-05,64,-1,10,simpleff,mnist,3.445148468017578e-05,41.77292251586914,0.9993663287086446,0.9702,0.0,0.9702,0.0,0.6486,0.0,0.0,0.0,0.0,0
38,pooled,1e-05,64,-1,10,simpleff,mnist,1.4215707778930664e-05,43.035152435302734,0.9998665955176094,0.9688,0.0,0.9688,0.0,0.6576,0.0,0.0,0.0,0.0,0
39,pooled,1e-05,64,-1,10,simpleff,mnist,0.00013011693954467773,45.254581451416016,0.9991995731056563,0.9675,0.0,0.9675,0.0,0.6327,0.0,0.0,0.0,0.0,0
40,pooled,1e-05,64,-1,10,simpleff,mnist,0.000421375036239624,48.017723083496094,0.9992829509071505,0.9661,0.0,0.9661,0.0,0.6111,0.0,0.0,0.0,0.0,0
41,pooled,1e-05,64,-1,10,simpleff,mnist,0.09450432658195496,42.67901611328125,0.9993996798292423,0.9701,0.0,0.9701,0.0,0.633,0.0,0.0,0.0,0.0,0
42,pooled,1e-05,64,-1,10,simpleff,mnist,1.5139579772949219e-05,45.43674850463867,0.9994163553895411,0.9694,0.0,0.9694,0.0,0.6466,0.0,0.0,0.0,0.0,0
