epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,1e-05,64,-1,10,simpleff,mnist,1.4388173818588257,169.55181884765625,0.756420090715048,0.8879,0.0,0.8879,0.3177163600921631,0.4863,0.3177163600921631,0.0,0.0,0.0,0
1,pooled,1e-05,64,-1,10,simpleff,mnist,0.9218149185180664,115.27291107177734,0.9079342315901814,0.9138,0.0,0.9138,0.00582575798034668,0.5156,0.00582575798034668,0.0,0.0,0.0,0
2,pooled,1e-05,64,-1,10,simpleff,mnist,0.5504956245422363,92.06932830810547,0.9353822038420491,0.9269,0.0,0.9269,1.5020370483398438e-05,0.5286,1.5020370483398438e-05,0.0,0.0,0.0,0
3,pooled,1e-05,64,-1,10,simpleff,mnist,0.3482917547225952,78.78419494628906,0.9533751334044824,0.9322,0.0,0.9322,0.0,0.5544,0.0,0.0,0.0,0.0,0
4,pooled,1e-05,64,-1,10,simpleff,mnist,0.2492649406194687,71.84089660644531,0.9667989594450374,0.9359,0.0,0.9359,0.0,0.5779,0.0,0.0,0.0,0.0,0
5,pooled,1e-05,64,-1,10,simpleff,mnist,0.12254811823368073,68.64045715332031,0.9770377534685165,0.938,0.0,0.938,0.0,0.5955,0.0,0.0,0.0,0.0,0
6,pooled,1e-05,64,-1,10,simpleff,mnist,0.03161384165287018,63.93205261230469,0.9843082977588047,0.9423,0.0,0.9423,0.0,0.6186,0.0,0.0,0.0,0.0,0
7,pooled,1e-05,64,-1,10,simpleff,mnist,0.0058961063623428345,61.258277893066406,0.9902948239060833,0.9446,0.0,0.9446,0.0,0.6471,0.0,0.0,0.0,0.0,0
8,pooled,1e-05,64,-1,10,simpleff,mnist,0.013549461960792542,60.892547607421875,0.9936466115261473,0.9458,0.0,0.9458,0.0,0.6354,0.0,0.0,0.0,0.0,0
9,pooled,1e-05,64,-1,10,simpleff,mnist,0.03897273540496826,61.19841003417969,0.9957644076840982,0.9462,0.0,0.9462,0.0,0.6131,0.0,0.0,0.0,0.0,0
10,pooled,1e-05,64,-1,10,simpleff,mnist,0.0012697279453277588,55.145938873291016,0.9959811899679829,0.9526,0.0,0.9526,0.0,0.6073,0.0,0.0,0.0,0.0,0
11,pooled,1e-05,64,-1,10,simpleff,mnist,0.000912010669708252,54.47613525390625,0.9967982924226254,0.9555,0.0,0.9555,0.0,0.6476,0.0,0.0,0.0,0.0,0
12,pooled,1e-05,64,-1,10,simpleff,mnist,0.0012442469596862793,54.59026336669922,0.9970817769477054,0.9528,0.0,0.9528,0.0,0.6074,0.0,0.0,0.0,0.0,0
13,pooled,1e-05,64,-1,10,simpleff,mnist,0.015956208109855652,52.27088928222656,0.9974819903948773,0.956,0.0,0.956,0.0,0.5876,0.0,0.0,0.0,0.0,0
14,pooled,1e-05,64,-1,10,simpleff,mnist,0.000561445951461792,50.3059196472168,0.9985325506937033,0.9581,0.0,0.9581,0.0,0.6128,0.0,0.0,0.0,0.0,0
15,pooled,1e-05,64,-1,10,simpleff,mnist,0.004560500383377075,49.12044906616211,0.9979489060832444,0.9613,0.0,0.9613,0.0,0.6091,0.0,0.0,0.0,0.0,0
16,pooled,1e-05,64,-1,10,simpleff,mnist,0.00028887391090393066,50.76910400390625,0.9985825773745998,0.9598,0.0,0.9598,0.0,0.6075,0.0,0.0,0.0,0.0,0
17,pooled,1e-05,64,-1,10,simpleff,mnist,0.0012608766555786133,45.03178024291992,0.9987159818569904,0.9627,0.0,0.9627,0.0,0.5925,0.0,0.0,0.0,0.0,0
18,pooled,1e-05,64,-1,10,simpleff,mnist,0.0004252791404724121,48.586673736572266,0.9986826307363927,0.9597,0.0,0.9597,0.0,0.6245,0.0,0.0,0.0,0.0,0
19,pooled,1e-05,64,-1,10,simpleff,mnist,0.003672689199447632,47.05767822265625,0.9987660085378869,0.9633,0.0,0.9633,0.0,0.5872,0.0,0.0,0.0,0.0,0
20,pooled,1e-05,64,-1,10,simpleff,mnist,0.021263539791107178,49.1547737121582,0.9981990394877268,0.9622,0.0,0.9622,0.0,0.6085,0.0,0.0,0.0,0.0,0
21,pooled,1e-05,64,-1,10,simpleff,mnist,0.0002447366714477539,45.275901794433594,0.9984991995731056,0.9656,0.0,0.9656,0.0,0.6024,0.0,0.0,0.0,0.0,0
22,pooled,1e-05,64,-1,10,simpleff,mnist,7.18832015991211e-05,45.65108108520508,0.9993496531483458,0.965,0.0,0.965,0.0,0.6146,0.0,0.0,0.0,0.0,0
23,pooled,1e-05,64,-1,10,simpleff,mnist,0.002706974744796753,45.84317398071289,0.9988160352187834,0.9652,0.0,0.9652,0.0,0.6266,0.0,0.0,0.0,0.0,0
24,pooled,1e-05,64,-1,10,simpleff,mnist,0.0012686848640441895,45.59383773803711,0.999132870864461,0.9644,0.0,0.9644,0.0,0.6125,0.0,0.0,0.0,0.0,0
