epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.066039800643921,149.5175323486328,0.05430825242718446,0.26330150068212826,0.0,1.9715874195098877,149.5175323486328,0.20115291262135923,0.26330150068212826,0.0,0.26330150068212826,1.8398993015289307,0.26330150068212826,1.8398993015289307,0.0,0.0,0.0,0
1,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.948987603187561,142.7687530517578,0.13440533980582525,0.4029104138244657,0.0,1.905706524848938,142.7687530517578,0.3431432038834951,0.4029104138244657,0.0,0.4029104138244657,1.7746069431304932,0.4029104138244657,1.7746069431304932,0.0,0.0,0.0,0
2,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.8390097618103027,136.2987060546875,0.23604368932038836,0.5061391541609823,0.0,1.8411898612976074,136.2987060546875,0.4990898058252427,0.5061391541609823,0.0,0.5061391541609823,1.7095972299575806,0.5061391541609823,1.7095972299575806,0.0,0.0,0.0,0
3,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.7345565557479858,130.08116149902344,0.3470873786407767,0.5893587994542974,0.0,1.776984691619873,130.08116149902344,0.602245145631068,0.5893587994542974,0.0,0.5893587994542974,1.644707202911377,0.5893587994542974,1.644707202911377,0.0,0.0,0.0,0
4,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.6357214450836182,124.09913635253906,0.4511529126213592,0.6589358799454298,0.0,1.7135930061340332,124.09913635253906,0.6686893203883495,0.6589358799454298,0.0,0.6589358799454298,1.5797224044799805,0.6589358799454298,1.5797224044799805,0.0,0.0,0.0,0
5,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.5417920351028442,118.34612274169922,0.5461165048543689,0.7080491132332879,0.0,1.6510756015777588,118.34612274169922,0.7011529126213593,0.7080491132332879,0.0,0.7080491132332879,1.5153464078903198,0.7080491132332879,1.5153464078903198,0.0,0.0,0.0,0
6,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.4523754119873047,112.81402587890625,0.6128640776699029,0.7435197817189632,0.0,1.5889085531234741,112.81402587890625,0.7327063106796117,0.7435197817189632,0.0,0.7435197817189632,1.4507408142089844,0.7435197817189632,1.4507408142089844,0.0,0.0,0.0,0
7,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.3678336143493652,107.49969482421875,0.6623179611650486,0.770350159163256,0.0,1.5273571014404297,107.49969482421875,0.754247572815534,0.770350159163256,0.0,0.770350159163256,1.3861536979675293,0.770350159163256,1.3861536979675293,0.0,0.0,0.0,0
8,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.2881648540496826,102.40436553955078,0.7020631067961165,0.7926330150068213,0.0,1.4662480354309082,102.40436553955078,0.772754854368932,0.7926330150068213,0.0,0.7926330150068213,1.321965217590332,0.7926330150068213,1.321965217590332,0.0,0.0,0.0,0
9,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.213273286819458,97.53001403808594,0.7360436893203883,0.8080945884492952,0.0,1.4058197736740112,97.53001403808594,0.783373786407767,0.8080945884492952,0.0,0.8080945884492952,1.2587064504623413,0.8080945884492952,1.2587064504623413,0.0,0.0,0.0,0
10,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.1432018280029297,92.88603210449219,0.7572815533980582,0.8244656662119145,0.0,1.3462979793548584,92.88603210449219,0.7955097087378641,0.8244656662119145,0.0,0.8244656662119145,1.1965426206588745,0.8244656662119145,1.1965426206588745,0.0,0.0,0.0,0
11,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.0777055025100708,88.46981811523438,0.7715412621359223,0.8371987266939518,0.0,1.287908911705017,88.46981811523438,0.8064320388349514,0.8371987266939518,0.0,0.8371987266939518,1.1358065605163574,0.8371987266939518,1.1358065605163574,0.0,0.0,0.0,0
12,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.0169328451156616,84.27529907226562,0.7818567961165048,0.8453842655752615,0.0,1.2311571836471558,84.27529907226562,0.8164441747572816,0.8453842655752615,0.0,0.8453842655752615,1.0771260261535645,0.8453842655752615,1.0771260261535645,0.0,0.0,0.0,0
13,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.9606509208679199,80.30584716796875,0.7942961165048543,0.8512960436562074,0.0,1.1758973598480225,80.30584716796875,0.8270631067961165,0.8512960436562074,0.0,0.8512960436562074,1.020218014717102,0.8512960436562074,1.020218014717102,0.0,0.0,0.0,0
14,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.9087496399879456,76.55472564697266,0.8021844660194175,0.8613005911778081,0.0,1.1223870515823364,76.55472564697266,0.8322208737864077,0.8613005911778081,0.0,0.8613005911778081,0.9656032919883728,0.8613005911778081,0.9656032919883728,0.0,0.0,0.0,0
15,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.8609470129013062,73.01335144042969,0.8109830097087378,0.8703956343792633,0.0,1.0706777572631836,73.01335144042969,0.839502427184466,0.8703956343792633,0.0,0.8703956343792633,0.9133781790733337,0.8703956343792633,0.9133781790733337,0.0,0.0,0.0,0
16,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.8168882131576538,69.67321014404297,0.8185679611650486,0.880400181900864,0.0,1.020857334136963,69.67321014404297,0.845873786407767,0.880400181900864,0.0,0.880400181900864,0.8634170889854431,0.880400181900864,0.8634170889854431,0.0,0.0,0.0,0
17,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.776310384273529,66.52538299560547,0.8249393203883495,0.8849477035015917,0.0,0.9734200835227966,66.52538299560547,0.8543689320388349,0.8849477035015917,0.0,0.8849477035015917,0.8159956932067871,0.8849477035015917,0.8159956932067871,0.0,0.0,0.0,0
18,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.7390884757041931,63.564208984375,0.8343446601941747,0.8885857207821737,0.0,0.9282854795455933,63.564208984375,0.8610436893203883,0.8885857207821737,0.0,0.8885857207821737,0.7711048722267151,0.8885857207821737,0.7711048722267151,0.0,0.0,0.0,0
19,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.7050468325614929,60.783416748046875,0.8385922330097088,0.891768985902683,0.0,0.8854017853736877,60.783416748046875,0.8643810679611651,0.891768985902683,0.0,0.891768985902683,0.7286693453788757,0.891768985902683,0.7286693453788757,0.0,0.0,0.0,0
20,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.6736742258071899,58.171775817871094,0.8470873786407767,0.8972260118235562,0.0,0.8447031378746033,58.171775817871094,0.8698422330097088,0.8972260118235562,0.0,0.8972260118235562,0.688458263874054,0.8972260118235562,0.688458263874054,0.0,0.0,0.0,0
21,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.6444796919822693,55.71847152709961,0.8510315533980582,0.8990450204638472,0.0,0.8063154816627502,55.71847152709961,0.8753033980582524,0.8990450204638472,0.0,0.8990450204638472,0.6506701111793518,0.8990450204638472,0.6506701111793518,0.0,0.0,0.0,0
22,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.6174618601799011,53.415626525878906,0.8567961165048543,0.9026830377444293,0.0,0.7701494097709656,53.415626525878906,0.8807645631067961,0.9026830377444293,0.0,0.9026830377444293,0.6151397824287415,0.9026830377444293,0.6151397824287415,0.0,0.0,0.0,0
23,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5922976732254028,51.25463104248047,0.8607402912621359,0.9045020463847203,0.0,0.7363866567611694,51.25463104248047,0.883495145631068,0.9045020463847203,0.0,0.9045020463847203,0.5819953083992004,0.9045020463847203,0.5819953083992004,0.0,0.0,0.0,0
24,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5688475370407104,49.22597122192383,0.8643810679611651,0.9085948158253752,0.0,0.7048839926719666,49.22597122192383,0.8880461165048543,0.9085948158253752,0.0,0.9085948158253752,0.5511528253555298,0.9085948158253752,0.5511528253555298,0.0,0.0,0.0,0
25,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5471102595329285,47.320735931396484,0.8680218446601942,0.9099590723055935,0.0,0.6753820776939392,47.320735931396484,0.8904733009708737,0.9099590723055935,0.0,0.9099590723055935,0.5225344896316528,0.9099590723055935,0.5225344896316528,0.0,0.0,0.0,0
26,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5267543196678162,45.531742095947266,0.8746966019417476,0.9131423374261027,0.0,0.6479343771934509,45.531742095947266,0.8910800970873787,0.9131423374261027,0.0,0.9131423374261027,0.4960155189037323,0.9131423374261027,0.4960155189037323,0.0,0.0,0.0,0
27,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5076454877853394,43.850093841552734,0.8789441747572816,0.914506593906321,0.0,0.6223950386047363,43.850093841552734,0.8922936893203883,0.914506593906321,0.0,0.914506593906321,0.4714184105396271,0.914506593906321,0.4714184105396271,0.0,0.0,0.0,0
28,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.48981910943984985,42.26814270019531,0.8831917475728155,0.9163256025466121,0.0,0.5985156297683716,42.26814270019531,0.8938106796116505,0.9163256025466121,0.0,0.9163256025466121,0.4485451579093933,0.9163256025466121,0.4485451579093933,0.0,0.0,0.0,0
29,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.473151296377182,40.78008270263672,0.8856189320388349,0.9195088676671214,0.0,0.5761570334434509,40.78008270263672,0.8947208737864077,0.9195088676671214,0.0,0.9195088676671214,0.4273713231086731,0.9195088676671214,0.4273713231086731,0.0,0.0,0.0,0
30,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.45760124921798706,39.379676818847656,0.8877427184466019,0.9217826284674853,0.0,0.5553914308547974,39.379676818847656,0.8965412621359223,0.9217826284674853,0.0,0.9217826284674853,0.40785670280456543,0.9217826284674853,0.40785670280456543,0.0,0.0,0.0,0
31,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.443161278963089,38.060699462890625,0.8913834951456311,0.924056389267849,0.0,0.5360012054443359,38.060699462890625,0.8980582524271845,0.924056389267849,0.0,0.924056389267849,0.38970133662223816,0.924056389267849,0.38970133662223816,0.0,0.0,0.0,0
32,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.4296773076057434,36.817108154296875,0.8944174757281553,0.9249658935879945,0.0,0.5178165435791016,36.817108154296875,0.9001820388349514,0.9249658935879945,0.0,0.9249658935879945,0.37279146909713745,0.9249658935879945,0.37279146909713745,0.0,0.0,0.0,0
33,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.4169531464576721,35.642723083496094,0.8971480582524272,0.9249658935879945,0.0,0.5007842779159546,35.642723083496094,0.902002427184466,0.9249658935879945,0.0,0.9249658935879945,0.35701102018356323,0.9249658935879945,0.35701102018356323,0.0,0.0,0.0,0
34,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.4049459993839264,34.533138275146484,0.8983616504854369,0.9272396543883583,0.0,0.48484885692596436,34.533138275146484,0.9026092233009708,0.9272396543883583,0.0,0.9272396543883583,0.3422335386276245,0.9272396543883583,0.3422335386276245,0.0,0.0,0.0,0
35,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.3937337100505829,33.483192443847656,0.8992718446601942,0.9281491587085039,0.0,0.4699350595474243,33.483192443847656,0.904126213592233,0.9281491587085039,0.0,0.9281491587085039,0.32848459482192993,0.9281491587085039,0.32848459482192993,0.0,0.0,0.0,0
36,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.3831595480442047,32.48899459838867,0.9023058252427184,0.9308776716689404,0.0,0.4559832811355591,32.48899459838867,0.9047330097087378,0.9308776716689404,0.0,0.9308776716689404,0.3155722916126251,0.9308776716689404,0.3155722916126251,0.0,0.0,0.0,0
37,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.3731052279472351,31.54731559753418,0.9050364077669902,0.931787175989086,0.0,0.44281989336013794,31.54731559753418,0.90625,0.931787175989086,0.0,0.931787175989086,0.30346569418907166,0.931787175989086,0.30346569418907166,0.0,0.0,0.0,0
38,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.3634742796421051,30.654407501220703,0.9068567961165048,0.9345156889495225,0.0,0.43049484491348267,30.654407501220703,0.9080703883495146,0.9345156889495225,0.0,0.9345156889495225,0.2921754717826843,0.9345156889495225,0.2921754717826843,0.0,0.0,0.0,0
39,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.35437408089637756,29.807010650634766,0.9080703883495146,0.935425193269668,0.0,0.4189232587814331,29.807010650634766,0.908373786407767,0.935425193269668,0.0,0.935425193269668,0.28155413269996643,0.935425193269668,0.28155413269996643,0.0,0.0,0.0,0
40,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.345691442489624,29.001638412475586,0.9095873786407767,0.937244201909959,0.0,0.40805304050445557,29.001638412475586,0.9108009708737864,0.937244201909959,0.0,0.937244201909959,0.27160340547561646,0.937244201909959,0.27160340547561646,0.0,0.0,0.0,0
41,dad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.3375052213668823,28.23493194580078,0.9101941747572816,0.9376989540700318,0.0,0.39780959486961365,28.23493194580078,0.9111043689320388,0.9376989540700318,0.0,0.9376989540700318,0.2622470259666443,0.9376989540700318,0.2622470259666443,0.0,0.0,0.0,0
