epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.065699338912964,149.4346160888672,0.05430825242718446,0.2660300136425648,0.0,1.9719202518463135,149.4346160888672,0.20145631067961164,0.2660300136425648,0.0,0.2660300136425648,1.8401607275009155,0.2660300136425648,1.8401607275009155,0.0,0.0,0.0,0
1,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.9474189281463623,142.61138916015625,0.1350121359223301,0.40745793542519326,0.0,1.905429482460022,142.61138916015625,0.345873786407767,0.40745793542519326,0.0,0.40745793542519326,1.7741644382476807,0.40745793542519326,1.7741644382476807,0.0,0.0,0.0,0
2,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.8362574577331543,136.0728302001953,0.23907766990291263,0.5115961800818554,0.0,1.8402009010314941,136.0728302001953,0.5027305825242718,0.5115961800818554,0.0,0.5115961800818554,1.708380937576294,0.5115961800818554,1.708380937576294,0.0,0.0,0.0,0
3,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.730686068534851,129.791015625,0.35163834951456313,0.5952705775352433,0.0,1.7750954627990723,129.791015625,0.6074029126213593,0.5952705775352433,0.0,0.5952705775352433,1.6425888538360596,0.5952705775352433,1.6425888538360596,0.0,0.0,0.0,0
4,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.6308083534240723,123.74600219726562,0.4557038834951456,0.662119145065939,0.0,1.7108323574066162,123.74600219726562,0.6708131067961165,0.662119145065939,0.0,0.662119145065939,1.5768293142318726,0.662119145065939,1.5768293142318726,0.0,0.0,0.0,0
5,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.5357367992401123,117.93155670166016,0.5500606796116505,0.709868121873579,0.0,1.647049069404602,117.93155670166016,0.7044902912621359,0.709868121873579,0.0,0.709868121873579,1.5113674402236938,0.709868121873579,1.5113674402236938,0.0,0.0,0.0,0
6,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.4450761079788208,112.34040832519531,0.618628640776699,0.745793542519327,0.0,1.583686351776123,112.34040832519531,0.7342233009708737,0.745793542519327,0.0,0.745793542519327,1.4456567764282227,0.745793542519327,1.4456567764282227,0.0,0.0,0.0,0
7,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.3592265844345093,106.9671859741211,0.6683859223300971,0.7739881764438381,0.0,1.520992636680603,106.9671859741211,0.7548543689320388,0.7739881764438381,0.0,0.7739881764438381,1.3797093629837036,0.7739881764438381,1.3797093629837036,0.0,0.0,0.0,0
8,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.27849280834198,101.81587219238281,0.7069174757281553,0.7958162801273306,0.0,1.4585314989089966,101.81587219238281,0.7736650485436893,0.7958162801273306,0.0,0.7958162801273306,1.314146637916565,0.7958162801273306,1.314146637916565,0.0,0.0,0.0,0
9,dsgd,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.2024511098861694,96.8902359008789,0.7402912621359223,0.81218735788995,0.0,1.3968380689620972,96.8902359008789,0.7861043689320388,0.81218735788995,0.0,0.81218735788995,1.2496159076690674,0.81218735788995,1.2496159076690674,0.0,0.0,0.0,0
