epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.0665700435638428,149.4987030029297,0.054004854368932036,0.263756252842201,0.0,1.9719288349151611,149.4987030029297,0.20115291262135923,0.263756252842201,0.0,0.263756252842201,1.8402607440948486,0.263756252842201,1.8402607440948486,0.0,0.0,0.0,0
1,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.9496315717697144,142.73348999023438,0.1337985436893204,0.4024556616643929,0.0,1.9058690071105957,142.73348999023438,0.3428398058252427,0.4024556616643929,0.0,0.4024556616643929,1.7746819257736206,0.4024556616643929,1.7746819257736206,0.0,0.0,0.0,0
2,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.8396861553192139,136.2486114501953,0.23634708737864077,0.5088676671214188,0.0,1.8411835432052612,136.2486114501953,0.4996966019417476,0.5088676671214188,0.0,0.5088676671214188,1.709388256072998,0.5088676671214188,1.709388256072998,0.0,0.0,0.0,0
3,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.7353794574737549,130.01815795898438,0.34951456310679613,0.5911778080945884,0.0,1.7767207622528076,130.01815795898438,0.6034587378640777,0.5911778080945884,0.0,0.5911778080945884,1.6441657543182373,0.5911778080945884,1.6441657543182373,0.0,0.0,0.0,0
4,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.6366244554519653,124.0237045288086,0.4520631067961165,0.6589358799454298,0.0,1.7131298780441284,124.0237045288086,0.6689927184466019,0.6589358799454298,0.0,0.6589358799454298,1.5789505243301392,0.6589358799454298,1.5789505243301392,0.0,0.0,0.0,0
5,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.542618751525879,118.25894165039062,0.5461165048543689,0.7080491132332879,0.0,1.6502149105072021,118.25894165039062,0.7017597087378641,0.7080491132332879,0.0,0.7080491132332879,1.514127492904663,0.7080491132332879,1.514127492904663,0.0,0.0,0.0,0
6,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.4529027938842773,112.7154541015625,0.6162014563106796,0.7439745338790359,0.0,1.5877718925476074,112.7154541015625,0.7330097087378641,0.7439745338790359,0.0,0.7439745338790359,1.449145793914795,0.7439745338790359,1.449145793914795,0.0,0.0,0.0,0
7,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.368058681488037,107.38915252685547,0.6632281553398058,0.772169167803547,0.0,1.5260261297225952,107.38915252685547,0.7554611650485437,0.772169167803547,0.0,0.772169167803547,1.3841325044631958,0.772169167803547,1.3841325044631958,0.0,0.0,0.0,0
8,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.2880674600601196,102.28213500976562,0.7026699029126213,0.7944520236471123,0.0,1.4645212888717651,102.28213500976562,0.772754854368932,0.7944520236471123,0.0,0.7944520236471123,1.319441556930542,0.7944520236471123,1.319441556930542,0.0,0.0,0.0,0
9,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.2128406763076782,97.39723205566406,0.7360436893203883,0.8085493406093679,0.0,1.4038246870040894,97.39723205566406,0.7824635922330098,0.8085493406093679,0.0,0.8085493406093679,1.2558021545410156,0.8085493406093679,1.2558021545410156,0.0,0.0,0.0,0
10,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.1423135995864868,92.74076843261719,0.7572815533980582,0.8249204183719873,0.0,1.3439475297927856,92.74076843261719,0.7964199029126213,0.8249204183719873,0.0,0.8249204183719873,1.1931778192520142,0.8249204183719873,1.1931778192520142,0.0,0.0,0.0,0
11,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.0764946937561035,88.31055450439453,0.7730582524271845,0.8390177353342428,0.0,1.285343885421753,88.31055450439453,0.8067354368932039,0.8390177353342428,0.0,0.8390177353342428,1.132258653640747,0.8390177353342428,1.132258653640747,0.0,0.0,0.0,0
12,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.0154588222503662,84.10498809814453,0.7830703883495146,0.8453842655752615,0.0,1.2281079292297363,84.10498809814453,0.8173543689320388,0.8453842655752615,0.0,0.8453842655752615,1.0730870962142944,0.8453842655752615,1.0730870962142944,0.0,0.0,0.0,0
13,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.9587913751602173,80.12384033203125,0.7949029126213593,0.8517507958162801,0.0,1.1725982427597046,80.12384033203125,0.8273665048543689,0.8517507958162801,0.0,0.8517507958162801,1.0158790349960327,0.8517507958162801,1.0158790349960327,0.0,0.0,0.0,0
14,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.9065008163452148,76.36031341552734,0.8037014563106796,0.8622100954979536,0.0,1.118792176246643,76.36031341552734,0.8313106796116505,0.8622100954979536,0.0,0.8622100954979536,0.9610818028450012,0.8622100954979536,0.9610818028450012,0.0,0.0,0.0,0
15,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.8584290742874146,72.8081283569336,0.8118932038834952,0.8708503865393361,0.0,1.0668649673461914,72.8081283569336,0.839502427184466,0.8708503865393361,0.0,0.8708503865393361,0.9087125658988953,0.8708503865393361,0.9087125658988953,0.0,0.0,0.0,0
16,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.8140804767608643,69.45697784423828,0.8197815533980582,0.880400181900864,0.0,1.0170660018920898,69.45697784423828,0.8473907766990292,0.880400181900864,0.0,0.880400181900864,0.8587461709976196,0.880400181900864,0.8587461709976196,0.0,0.0,0.0,0
17,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.7733272314071655,66.29942321777344,0.8252427184466019,0.8849477035015917,0.0,0.9694200754165649,66.29942321777344,0.8543689320388349,0.8849477035015917,0.0,0.8849477035015917,0.811183750629425,0.8849477035015917,0.811183750629425,0.0,0.0,0.0,0
18,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.7358108162879944,63.327491760253906,0.8343446601941747,0.8894952251023193,0.0,0.9243038892745972,63.327491760253906,0.8604368932038835,0.8894952251023193,0.0,0.8894952251023193,0.7661800384521484,0.8894952251023193,0.7661800384521484,0.0,0.0,0.0,0
19,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.7014168500900269,60.537593841552734,0.8401092233009708,0.8922237380627558,0.0,0.8813737034797668,60.537593841552734,0.8643810679611651,0.8922237380627558,0.0,0.8922237380627558,0.723783552646637,0.8922237380627558,0.723783552646637,0.0,0.0,0.0,0
20,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.6698265671730042,57.917720794677734,0.847997572815534,0.8972260118235562,0.0,0.8406383991241455,57.917720794677734,0.8692354368932039,0.8972260118235562,0.0,0.8972260118235562,0.6834920644760132,0.8972260118235562,0.6834920644760132,0.0,0.0,0.0,0
21,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.6406168341636658,55.45860290527344,0.8519417475728155,0.9008640291041382,0.0,0.8022754788398743,55.45860290527344,0.8759101941747572,0.9008640291041382,0.0,0.9008640291041382,0.6456090211868286,0.9008640291041382,0.6456090211868286,0.0,0.0,0.0,0
22,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.6135380268096924,53.151023864746094,0.8574029126213593,0.903137789904502,0.0,0.7660778164863586,53.151023864746094,0.8801577669902912,0.903137789904502,0.0,0.903137789904502,0.6101548075675964,0.903137789904502,0.6101548075675964,0.0,0.0,0.0,0
23,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5883046388626099,50.98622512817383,0.8613470873786407,0.9063210550250114,0.0,0.7322591543197632,50.98622512817383,0.883495145631068,0.9063210550250114,0.0,0.9063210550250114,0.5770456194877625,0.9063210550250114,0.5770456194877625,0.0,0.0,0.0,0
24,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5648800134658813,48.9549560546875,0.8655946601941747,0.9085948158253752,0.0,0.7008181810379028,48.9549560546875,0.8889563106796117,0.9085948158253752,0.0,0.9085948158253752,0.5463898777961731,0.9085948158253752,0.5463898777961731,0.0,0.0,0.0,0
25,edad,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.5430281162261963,47.04669952392578,0.8698422330097088,0.9099590723055935,0.0,0.6713601350784302,47.04669952392578,0.8898665048543689,0.9099590723055935,0.0,0.9099590723055935,0.5177976489067078,0.9099590723055935,0.5177976489067078,0.0,0.0,0.0,0
