epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.797498941421509,162.28927612304688,0.013956310679611651,0.09004092769440655,0.0,2.189750909805298,163.78970336914062,0.17141990291262135,0.14051841746248295,0.0,0.10140973169622555,2.2547707557678223,0.15279672578444747,2.264754891395569,0.0,0.0,0.0,0
1,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.4509220123291016,159.06671142578125,0.14684466019417475,0.19236016371077763,0.0,1.9847538471221924,161.64486694335938,0.27275485436893204,0.17917235106866758,0.0,0.15870850386539337,2.1989214420318604,0.2246475670759436,2.2333946228027344,0.0,0.0,0.0,0
2,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.150444269180298,156.97964477539062,0.41656553398058255,0.3015006821282401,0.0,1.8035662174224854,160.305908203125,0.36984223300970875,0.23419736243747158,0.0,0.20009095043201455,2.1450955867767334,0.29786266484765805,2.2159264087677,0.0,0.0,0.0,0
3,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.8867617845535278,155.75131225585938,0.6195388349514563,0.3792633015006821,0.0,1.6411999464035034,159.6214599609375,0.48027912621359226,0.29740791268758526,0.0,0.23874488403819918,2.0916333198547363,0.3829013187812642,2.207703649997711,0.0,0.0,0.0,0
4,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.656304121017456,155.1898651123047,0.7679004854368932,0.440200090950432,0.0,1.4940602779388428,159.4681854248047,0.5810072815533981,0.3451568894952251,0.0,0.28285584356525695,2.0386900901794434,0.46521145975443384,2.206906259059906,0.0,0.0,0.0,0
5,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.4562976360321045,155.14305114746094,0.8486043689320388,0.4620281946339245,0.0,1.3600698709487915,159.749267578125,0.6756674757281553,0.38972260118235563,0.0,0.33196907685311505,1.9859682321548462,0.5497953615279673,2.2117998600006104,0.0,0.0,0.0,0
6,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.2828134298324585,155.51324462890625,0.8892597087378641,0.4715779899954525,0.0,1.238076090812683,160.39772033691406,0.7551577669902912,0.41928149158708505,0.0,0.39608913142337426,1.933447241783142,0.6184629376989541,2.2208820581436157,0.0,0.0,0.0,0
7,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.1327875852584839,156.21812438964844,0.9129247572815534,0.4756707594361073,0.0,1.127670168876648,161.35284423828125,0.8158373786407767,0.4292860391086858,0.0,0.45384265575261484,1.8813649415969849,0.671668940427467,2.233656585216522,0.0,0.0,0.0,0
8,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.0038607120513916,157.19964599609375,0.9277912621359223,0.4793087767166894,0.0,1.0279101133346558,162.56153869628906,0.8498179611650486,0.44247385175079584,0.0,0.5170532060027285,1.8301657438278198,0.7175989085948158,2.250054210424423,0.0,0.0,0.0,0
9,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.8935525417327881,158.42156982421875,0.9390169902912622,0.48203728967712595,0.0,0.9382650256156921,163.98028564453125,0.8734830097087378,0.4529331514324693,0.0,0.5734424738517508,1.7806035280227661,0.7548885857207822,2.269629627466202,0.0,0.0,0.0,0
10,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.7989794611930847,159.85043334960938,0.9456917475728155,0.48249204183719874,0.0,0.8583152890205383,165.57614135742188,0.8913834951456311,0.45929968167348795,0.0,0.6271032287403365,1.7327524423599243,0.7844474761255116,2.29219052195549,0.0,0.0,0.0,0
11,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.7172160744667053,161.4636688232422,0.9496359223300971,0.4829467939972715,0.0,0.7872588634490967,167.32647705078125,0.9050364077669902,0.4638472032742155,0.0,0.6721236925875398,1.6867488622665405,0.8021828103683493,2.317378044128418,0.0,0.0,0.0,0
12,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,0.6461611390113831,163.23385620117188,0.9505461165048543,0.483856298317417,0.0,0.7241391539573669,169.20030212402344,0.9111043689320388,0.4697589813551614,0.0,0.7044110959527058,1.6427502632141113,0.8194633924511141,2.3448349833488464,0.0,0.0,0.0,0
