epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.2558176517486572,151.91722106933594,0.12742718446601942,0.21646202819463392,0.0,2.1979055404663086,151.83560180664062,0.13804611650485438,0.21145975443383355,0.0,0.21509777171441563,2.0943539142608643,0.2155525238744884,2.0943628549575806,0.0,0.0,0.0,0
1,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,2.062765598297119,138.99510192871094,0.28640776699029125,0.39608913142337426,0.0,1.9947443008422852,138.89247131347656,0.2994538834951456,0.396543883583447,0.0,0.3956343792633015,1.947748064994812,0.4029104138244657,1.9477193355560303,0.0,0.0,0.0,0
2,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.8885307312011719,127.08432006835938,0.5115291262135923,0.6016371077762619,0.0,1.8119391202926636,126.94686126708984,0.5157766990291263,0.607094133697135,0.0,0.6057298772169167,1.7951585054397583,0.6139154160982264,1.795156180858612,0.0,0.0,0.0,0
3,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.7280941009521484,115.99149322509766,0.6638349514563107,0.7257844474761255,0.0,1.6448262929916382,115.81297302246094,0.6617111650485437,0.7212369258753979,0.0,0.72487494315598,1.6403040885925293,0.7280582082764893,1.6402571201324463,0.0,0.0,0.0,0
4,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.5812100172042847,105.67823028564453,0.75,0.7871759890859482,0.0,1.492498755455017,105.46257781982422,0.7439320388349514,0.781718963165075,0.0,0.7880854934060937,1.4866636991500854,0.789449749886312,1.486575424671173,0.0,0.0,0.0,0
5,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.4468979835510254,96.1661148071289,0.7952063106796117,0.8258299226921327,0.0,1.3536920547485352,95.9179458618164,0.7915655339805825,0.814006366530241,0.0,0.8203728967712597,1.3385117053985596,0.8217371532514779,1.3382474184036255,0.0,0.0,0.0,0
6,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.3246476650238037,87.4712905883789,0.8197815533980582,0.8549340609367895,0.0,1.2281752824783325,87.18490600585938,0.8270631067961165,0.844474761255116,0.0,0.8512960436562074,1.1978598833084106,0.8517507958162801,1.1974977850914001,0.0,0.0,0.0,0
7,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.2128170728683472,79.58218383789062,0.8431432038834952,0.8767621646202819,0.0,1.1157327890396118,79.2599105834961,0.8452669902912622,0.8717598908594816,0.0,0.872669395179627,1.0686770677566528,0.8740336516598454,1.0684335231781006,0.0,0.0,0.0,0
8,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.1118080615997314,72.47876739501953,0.8537621359223301,0.8940427467030468,0.0,1.0155701637268066,72.12438201904297,0.8643810679611651,0.8858572078217372,0.0,0.8894952251023193,0.9523440003395081,0.8913142337426103,0.9520047008991241,0.0,0.0,0.0,0
9,noshare,1e-06,32,-1,10,gru,tapnet-SpokenArabicDigits,1.021959900856018,66.13710021972656,0.8655946601941747,0.904956798544793,0.0,0.9265871644020081,65.75638580322266,0.8746966019417476,0.9022282855843565,0.0,0.9045020463847203,0.8498458862304688,0.9035925420645748,0.849535197019577,0.0,0.0,0.0,0
