epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,2.327174663543701,81.75806427001953,0.0747876213592233,0.11368804001819009,0.0,0.11368804001819009,2.30254864692688,0.11368804001819009,2.30254864692688,0.0,0.0,0.0,0
1,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,2.2644882202148438,79.04301452636719,0.11286407766990292,0.17598908594815826,0.0,0.17598908594815826,2.237877130508423,0.17598908594815826,2.237877130508423,0.0,0.0,0.0,0
2,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,2.2033562660217285,76.4140853881836,0.16064927184466019,0.22419281491587084,0.0,0.22419281491587084,2.174426794052124,0.22419281491587084,2.174426794052124,0.0,0.0,0.0,0
3,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,2.1432948112487793,73.86994171142578,0.21556432038834952,0.2723965438835834,0.0,0.2723965438835834,2.1115493774414062,0.2723965438835834,2.1115493774414062,0.0,0.0,0.0,0
4,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,2.084096908569336,71.40573120117188,0.2803398058252427,0.35152341973624374,0.0,0.35152341973624374,2.0494847297668457,0.35152341973624374,2.0494847297668457,0.0,0.0,0.0,0
5,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,2.025235652923584,69.01068878173828,0.3457220873786408,0.43656207366984995,0.0,0.43656207366984995,1.9880927801132202,0.43656207366984995,1.9880927801132202,0.0,0.0,0.0,0
6,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.9667372703552246,66.68119812011719,0.43583131067961167,0.516143701682583,0.0,0.516143701682583,1.9269040822982788,0.516143701682583,1.9269040822982788,0.0,0.0,0.0,0
7,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.9082810878753662,64.41312408447266,0.5182038834951457,0.6002728512960437,0.0,0.6002728512960437,1.865756869316101,0.6002728512960437,1.865756869316101,0.0,0.0,0.0,0
8,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.8498890399932861,62.205196380615234,0.5804004854368932,0.6552978626648477,0.0,0.6552978626648477,1.8047561645507812,0.6552978626648477,1.8047561645507812,0.0,0.0,0.0,0
9,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.7916063070297241,60.05479431152344,0.6316747572815534,0.6975898135516144,0.0,0.6975898135516144,1.743949055671692,0.6975898135516144,1.743949055671692,0.0,0.0,0.0,0
10,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.733651876449585,57.96065139770508,0.6703580097087378,0.739881764438381,0.0,0.739881764438381,1.683894157409668,0.739881764438381,1.683894157409668,0.0,0.0,0.0,0
