epoch,mode,lr,batch_size,k,kf,model,dataset,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,2.1804723739624023,75.82489776611328,0.15109223300970873,0.2405638926784902,0.0,0.2405638926784902,2.075542688369751,0.2405638926784902,2.075542688369751,0.0,0.0,0.0,0
1,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.971129298210144,68.27925872802734,0.347997572815534,0.47885402455661663,0.0,0.47885402455661663,1.8994890451431274,0.47885402455661663,1.8994890451431274,0.0,0.0,0.0,0
2,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.7793169021606445,61.33096694946289,0.5885922330097088,0.679399727148704,0.0,0.679399727148704,1.7158730030059814,0.679399727148704,1.7158730030059814,0.0,0.0,0.0,0
3,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.602101445198059,54.8983039855957,0.7192050970873787,0.7739881764438381,0.0,0.7739881764438381,1.5309784412384033,0.7739881764438381,1.5309784412384033,0.0,0.0,0.0,0
4,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.4403564929962158,49.00304412841797,0.7856492718446602,0.8194633924511141,0.0,0.8194633924511141,1.3516545295715332,0.8194633924511141,1.3516545295715332,0.0,0.0,0.0,0
5,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.2937928438186646,43.67306137084961,0.8212985436893204,0.857662573897226,0.0,0.857662573897226,1.182255506515503,0.857662573897226,1.182255506515503,0.0,0.0,0.0,0
6,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.163015604019165,38.91163635253906,0.8467839805825242,0.8808549340609367,0.0,0.8808549340609367,1.0291920900344849,0.8808549340609367,1.0291920900344849,0.0,0.0,0.0,0
7,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,1.0466197729110718,34.713260650634766,0.8627123786407767,0.8999545247839927,0.0,0.8999545247839927,0.8947902917861938,0.8999545247839927,0.8947902917861938,0.0,0.0,0.0,0
8,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.9442487955093384,31.055017471313477,0.8742415048543689,0.91268758526603,0.0,0.91268758526603,0.780640721321106,0.91268758526603,0.780640721321106,0.0,0.0,0.0,0
9,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.8552268147468567,27.898029327392578,0.8841019417475728,0.9185993633469759,0.0,0.9185993633469759,0.6851149797439575,0.9185993633469759,0.6851149797439575,0.0,0.0,0.0,0
10,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.7777988314628601,25.18813133239746,0.8918385922330098,0.9249658935879945,0.0,0.9249658935879945,0.6063933372497559,0.9249658935879945,0.6063933372497559,0.0,0.0,0.0,0
11,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.7109391093254089,22.86966323852539,0.8992718446601942,0.9290586630286494,0.0,0.9290586630286494,0.5411278009414673,0.9290586630286494,0.5411278009414673,0.0,0.0,0.0,0
12,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.6529505848884583,20.88178825378418,0.9057949029126213,0.931787175989086,0.0,0.931787175989086,0.48621052503585815,0.931787175989086,0.48621052503585815,0.0,0.0,0.0,0
13,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.6022250056266785,19.17704963684082,0.9098907766990292,0.9349704411095953,0.0,0.9349704411095953,0.4400276243686676,0.9349704411095953,0.4400276243686676,0.0,0.0,0.0,0
14,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.5580203533172607,17.70730209350586,0.913379854368932,0.935425193269668,0.0,0.935425193269668,0.4014234244823456,0.935425193269668,0.4014234244823456,0.0,0.0,0.0,0
15,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.5192463397979736,16.433103561401367,0.9168689320388349,0.9376989540700318,0.0,0.9376989540700318,0.36799877882003784,0.9376989540700318,0.36799877882003784,0.0,0.0,0.0,0
16,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.4850621819496155,15.3209867477417,0.9203580097087378,0.9395179627103228,0.0,0.9395179627103228,0.33920952677726746,0.9395179627103228,0.33920952677726746,0.0,0.0,0.0,0
17,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.45469239354133606,14.344136238098145,0.9227851941747572,0.9417917235106866,0.0,0.9417917235106866,0.31419694423675537,0.9417917235106866,0.31419694423675537,0.0,0.0,0.0,0
18,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.42758750915527344,13.482320785522461,0.9258191747572816,0.9422464756707595,0.0,0.9422464756707595,0.2919650673866272,0.9422464756707595,0.2919650673866272,0.0,0.0,0.0,0
19,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.4031946659088135,12.716520309448242,0.9280946601941747,0.943155979990905,0.0,0.943155979990905,0.27209702134132385,0.943155979990905,0.27209702134132385,0.0,0.0,0.0,0
20,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.3810621201992035,12.0321626663208,0.9308252427184466,0.9436107321509777,0.0,0.9436107321509777,0.2542625963687897,0.9436107321509777,0.2542625963687897,0.0,0.0,0.0,0
21,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.3609786629676819,11.419408798217773,0.9331007281553398,0.946793997271487,0.0,0.946793997271487,0.23799964785575867,0.946793997271487,0.23799964785575867,0.0,0.0,0.0,0
22,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.34272530674934387,10.866579055786133,0.9362864077669902,0.9481582537517054,0.0,0.9481582537517054,0.22307470440864563,0.9481582537517054,0.22307470440864563,0.0,0.0,0.0,0
23,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.3259902894496918,10.367388725280762,0.9385618932038835,0.9495225102319236,0.0,0.9495225102319236,0.20941834151744843,0.9495225102319236,0.20941834151744843,0.0,0.0,0.0,0
24,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.3105792999267578,9.91467571258545,0.941747572815534,0.9508867667121419,0.0,0.9508867667121419,0.19700314104557037,0.9508867667121419,0.19700314104557037,0.0,0.0,0.0,0
25,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.29637882113456726,9.5028657913208,0.9437196601941747,0.952705775352433,0.0,0.952705775352433,0.1855141669511795,0.952705775352433,0.1855141669511795,0.0,0.0,0.0,0
26,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.28330546617507935,9.12618637084961,0.9458434466019418,0.954524783992724,0.0,0.954524783992724,0.17497265338897705,0.954524783992724,0.17497265338897705,0.0,0.0,0.0,0
27,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.2712009847164154,8.7804536819458,0.9473604368932039,0.9554342883128695,0.0,0.9554342883128695,0.16532424092292786,0.9554342883128695,0.16532424092292786,0.0,0.0,0.0,0
28,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.2599138617515564,8.462217330932617,0.9499393203883495,0.9572532969531605,0.0,0.9572532969531605,0.15626366436481476,0.9572532969531605,0.15626366436481476,0.0,0.0,0.0,0
29,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.24938887357711792,8.167728424072266,0.9511529126213593,0.9577080491132333,0.0,0.9577080491132333,0.14793060719966888,0.9577080491132333,0.14793060719966888,0.0,0.0,0.0,0
30,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.23957419395446777,7.894847393035889,0.9526699029126213,0.9586175534333788,0.0,0.9586175534333788,0.1402052342891693,0.9586175534333788,0.1402052342891693,0.0,0.0,0.0,0
31,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.2303813248872757,7.640946388244629,0.9541868932038835,0.9595270577535243,0.0,0.9595270577535243,0.13296326994895935,0.9595270577535243,0.13296326994895935,0.0,0.0,0.0,0
32,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.2217286080121994,7.403660774230957,0.9554004854368932,0.9595270577535243,0.0,0.9595270577535243,0.12615108489990234,0.9595270577535243,0.12615108489990234,0.0,0.0,0.0,0
33,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.2135973870754242,7.1822590827941895,0.9569174757281553,0.9604365620736699,0.0,0.9604365620736699,0.11982200294733047,0.9604365620736699,0.11982200294733047,0.0,0.0,0.0,0
34,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.2059599608182907,6.9746623039245605,0.9581310679611651,0.9622555707139608,0.0,0.9622555707139608,0.113958440721035,0.9622555707139608,0.113958440721035,0.0,0.0,0.0,0
35,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.19868893921375275,6.779420852661133,0.9599514563106796,0.9627103228740337,0.0,0.9627103228740337,0.1083613857626915,0.9627103228740337,0.1083613857626915,0.0,0.0,0.0,0
36,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.191790372133255,6.595351696014404,0.9610133495145631,0.9622555707139608,0.0,0.9622555707139608,0.10312753915786743,0.9622555707139608,0.10312753915786743,0.0,0.0,0.0,0
37,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.18527752161026,6.421697616577148,0.9626820388349514,0.9627103228740337,0.0,0.9627103228740337,0.0981115847826004,0.9627103228740337,0.0981115847826004,0.0,0.0,0.0,0
38,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.17910104990005493,6.257595062255859,0.9638956310679612,0.9636198271941792,0.0,0.9636198271941792,0.09335934370756149,0.9636198271941792,0.09335934370756149,0.0,0.0,0.0,0
39,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.17323380708694458,6.102407932281494,0.9651092233009708,0.9636198271941792,0.0,0.9636198271941792,0.08892656117677689,0.9636198271941792,0.08892656117677689,0.0,0.0,0.0,0
40,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.16765746474266052,5.955392837524414,0.9657160194174758,0.9640745793542519,0.0,0.9640745793542519,0.08479513972997665,0.9640745793542519,0.08479513972997665,0.0,0.0,0.0,0
41,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.16236244142055511,5.815389156341553,0.9667779126213593,0.9645293315143247,0.0,0.9645293315143247,0.08086907118558884,0.9645293315143247,0.08086907118558884,0.0,0.0,0.0,0
42,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.15733666718006134,5.682310581207275,0.9681432038834952,0.9640745793542519,0.0,0.9640745793542519,0.07714416831731796,0.9640745793542519,0.07714416831731796,0.0,0.0,0.0,0
43,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.15253552794456482,5.555550575256348,0.9685983009708737,0.9640745793542519,0.0,0.9640745793542519,0.07365832477807999,0.9640745793542519,0.07365832477807999,0.0,0.0,0.0,0
44,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.14798830449581146,5.434732437133789,0.9690533980582524,0.9640745793542519,0.0,0.9640745793542519,0.07035891711711884,0.9640745793542519,0.07035891711711884,0.0,0.0,0.0,0
45,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.14366722106933594,5.319522857666016,0.9699635922330098,0.9640745793542519,0.0,0.9640745793542519,0.06730066984891891,0.9640745793542519,0.06730066984891891,0.0,0.0,0.0,0
46,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.13953566551208496,5.209617614746094,0.9710254854368932,0.9649840836743975,0.0,0.9649840836743975,0.0643710047006607,0.9649840836743975,0.0643710047006607,0.0,0.0,0.0,0
47,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.13558697700500488,5.104349136352539,0.9717839805825242,0.9649840836743975,0.0,0.9649840836743975,0.06157410517334938,0.9649840836743975,0.06157410517334938,0.0,0.0,0.0,0
48,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.13181373476982117,5.003171443939209,0.9719356796116505,0.965893587994543,0.0,0.965893587994543,0.058955442160367966,0.965893587994543,0.058955442160367966,0.0,0.0,0.0,0
49,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.12821929156780243,4.9062089920043945,0.9726941747572816,0.965893587994543,0.0,0.965893587994543,0.056447774171829224,0.965893587994543,0.056447774171829224,0.0,0.0,0.0,0
50,pooled,1e-06,64,-1,10,gru,tapnet-SpokenArabicDigits,0.12475042790174484,4.813192367553711,0.9737560679611651,0.965893587994543,0.0,0.965893587994543,0.05404677614569664,0.965893587994543,0.05404677614569664,0.0,0.0,0.0,0
