epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dad,0.0001,16,3,5,transformer,imdb,8,10,0.6183561086654663,1156.191650390625,0.61,0.5,0.0,0.6532200574874878,1178.7462158203125,0.62,0.5,0.0,0.0,1167.468994140625,0.0,0,0.0,0.0,0.0,0
1,dad,0.0001,16,3,5,transformer,imdb,8,10,0.6562768816947937,910.172607421875,0.6711,0.6908,0.0,0.7141637802124023,917.028076171875,0.6742,0.68792,0.0,0.0,913.600341796875,0.0,0,0.0,0.0,0.0,0
2,dad,0.0001,16,3,5,transformer,imdb,8,10,0.5563051700592041,831.3187866210938,0.7484,0.73136,0.0,0.3026029169559479,832.8466186523438,0.7552,0.73104,0.0,0.0,832.0827026367188,0.0,0,0.0,0.0,0.0,0
3,dad,0.0001,16,3,5,transformer,imdb,8,10,0.34611982107162476,808.1898193359375,0.7805,0.74776,0.0,0.33285439014434814,845.4296264648438,0.7942,0.73264,0.0,0.0,826.8096923828125,0.0,0,0.0,0.0,0.0,0
4,dad,0.0001,16,3,5,transformer,imdb,8,10,0.25383681058883667,834.9793701171875,0.8052,0.74076,0.0,0.2964305579662323,834.0593872070312,0.8134,0.74424,0.0,0.0,834.5194091796875,0.0,0,0.0,0.0,0.0,0
5,dad,0.0001,16,3,5,transformer,imdb,8,10,0.27501875162124634,798.9035034179688,0.8251,0.75868,0.0,0.3492588996887207,799.2894287109375,0.8333,0.758,0.0,0.0,799.096435546875,0.0,0,0.0,0.0,0.0,0
6,dad,0.0001,16,3,5,transformer,imdb,8,10,0.2315249741077423,789.4056396484375,0.8376,0.7668,0.0,0.23659570515155792,802.9037475585938,0.8494,0.76708,0.0,0.0,796.1546630859375,0.0,0,0.0,0.0,0.0,0
7,dad,0.0001,16,3,5,transformer,imdb,8,10,0.5362178087234497,788.2472534179688,0.8542,0.774,0.0,0.13435609638690948,794.4902954101562,0.8634,0.77516,0.0,0.0,791.3687744140625,0.0,0,0.0,0.0,0.0,0
8,dad,0.0001,16,3,5,transformer,imdb,8,10,0.6172584891319275,949.5877075195312,0.8666,0.75352,0.0,0.4133336544036865,930.1622924804688,0.8725,0.75552,0.0,0.0,939.875,0.0,0,0.0,0.0,0.0,0
9,dad,0.0001,16,3,5,transformer,imdb,8,10,0.3127395212650299,808.233154296875,0.8769,0.7774,0.0,0.33363109827041626,811.0183715820312,0.8847,0.78044,0.0,0.0,809.625732421875,0.0,0,0.0,0.0,0.0,0
