epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.6772443056106567,1065.225830078125,0.5254,0.58656,0.0,0.698608934879303,1064.5858154296875,0.52,0.60468,0.0,0.0,1064.90576171875,0.0,0,0.0,0.0,0.0,0
1,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.5210580825805664,898.7369995117188,0.6504,0.69888,0.0,0.4002807140350342,898.7133178710938,0.6537,0.6996,0.0,0.0,898.7251586914062,0.0,0,0.0,0.0,0.0,0
2,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.35149499773979187,836.2191772460938,0.7358,0.73184,0.0,0.7120779752731323,840.279052734375,0.7396,0.72952,0.0,0.0,838.2491455078125,0.0,0,0.0,0.0,0.0,0
3,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.4313123822212219,804.0360717773438,0.7752,0.74764,0.0,0.4004048705101013,797.8915405273438,0.7772,0.75152,0.0,0.0,800.9638061523438,0.0,0,0.0,0.0,0.0,0
4,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.3857109546661377,793.56494140625,0.7994,0.75708,0.0,0.2918282449245453,797.6497802734375,0.8015,0.75868,0.0,0.0,795.6073608398438,0.0,0,0.0,0.0,0.0,0
5,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.3143314719200134,780.183349609375,0.8179,0.76412,0.0,0.3439294695854187,777.3397216796875,0.8203,0.76896,0.0,0.0,778.7615356445312,0.0,0,0.0,0.0,0.0,0
6,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.2456052303314209,779.7035522460938,0.8348,0.76864,0.0,0.24381400644779205,779.3792114257812,0.8391,0.77232,0.0,0.0,779.5413818359375,0.0,0,0.0,0.0,0.0,0
7,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.22238270938396454,803.2734375,0.8508,0.768,0.0,0.43649551272392273,806.60009765625,0.8516,0.77068,0.0,0.0,804.936767578125,0.0,0,0.0,0.0,0.0,0
8,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.20672914385795593,807.3511352539062,0.8637,0.77056,0.0,0.49858927726745605,794.6541137695312,0.867,0.77908,0.0,0.0,801.0026245117188,0.0,0,0.0,0.0,0.0,0
9,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.3995027542114258,822.0227661132812,0.8771,0.7792,0.0,0.3900069296360016,814.6553955078125,0.882,0.78196,0.0,0.0,818.339111328125,0.0,0,0.0,0.0,0.0,0
10,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.34779253602027893,860.1456298828125,0.89,0.77876,0.0,0.264917254447937,854.7271118164062,0.8923,0.7836,0.0,0.0,857.4364013671875,0.0,0,0.0,0.0,0.0,0
11,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.5611976385116577,916.8408813476562,0.9008,0.77932,0.0,0.061563845723867416,929.442626953125,0.9077,0.78308,0.0,0.0,923.1417236328125,0.0,0,0.0,0.0,0.0,0
12,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.37024354934692383,911.8361206054688,0.9109,0.78276,0.0,0.16916868090629578,916.2506103515625,0.9172,0.78652,0.0,0.0,914.0433349609375,0.0,0,0.0,0.0,0.0,0
13,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.010164044797420502,1009.6459350585938,0.9217,0.77496,0.0,0.3084198832511902,1006.220947265625,0.9273,0.78048,0.0,0.0,1007.9334716796875,0.0,0,0.0,0.0,0.0,0
14,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.10389214754104614,1069.3363037109375,0.9317,0.76904,0.0,0.20313148200511932,1133.1748046875,0.9372,0.76104,0.0,0.0,1101.255615234375,0.0,0,0.0,0.0,0.0,0
15,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.6898598670959473,1108.787353515625,0.9408,0.78064,0.0,0.2510615289211273,1137.072509765625,0.9467,0.78272,0.0,0.0,1122.929931640625,0.0,0,0.0,0.0,0.0,0
16,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.3336983323097229,1226.1429443359375,0.9503,0.78036,0.0,0.04418487474322319,1228.1751708984375,0.955,0.78732,0.0,0.0,1227.1590576171875,0.0,0,0.0,0.0,0.0,0
17,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.08509104698896408,1296.712646484375,0.9608,0.77876,0.0,0.4518330693244934,1310.4246826171875,0.9606,0.78304,0.0,0.0,1303.568603515625,0.0,0,0.0,0.0,0.0,0
18,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.1559973806142807,1494.2340087890625,0.9665,0.77292,0.0,0.18212004005908966,1503.169677734375,0.9694,0.78152,0.0,0.0,1498.701904296875,0.0,0,0.0,0.0,0.0,0
19,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.06968406587839127,1590.5103759765625,0.9722,0.77652,0.0,0.030504893511533737,1635.616455078125,0.9747,0.78128,0.0,0.0,1613.0634765625,0.0,0,0.0,0.0,0.0,0
20,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.05061545968055725,1697.998291015625,0.9777,0.77656,0.0,0.10813359916210175,1754.4990234375,0.9801,0.78092,0.0,0.0,1726.2486572265625,0.0,0,0.0,0.0,0.0,0
21,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.017295733094215393,1914.6448974609375,0.9834,0.77648,0.0,0.004105024039745331,1971.927978515625,0.985,0.78056,0.0,0.0,1943.286376953125,0.0,0,0.0,0.0,0.0,0
22,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.012224845588207245,2053.964599609375,0.9872,0.77276,0.0,0.00019894540309906006,2119.3544921875,0.9887,0.77756,0.0,0.0,2086.65966796875,0.0,0,0.0,0.0,0.0,0
23,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.003515206277370453,2269.634521484375,0.9897,0.7738,0.0,0.004582718014717102,2303.90625,0.991,0.77708,0.0,0.0,2286.7705078125,0.0,0,0.0,0.0,0.0,0
24,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.005597956478595734,2405.992431640625,0.9925,0.77132,0.0,0.007249288260936737,2438.248291015625,0.9944,0.77652,0.0,0.0,2422.120361328125,0.0,0,0.0,0.0,0.0,0
25,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.0006705969572067261,2587.5283203125,0.9941,0.76904,0.0,0.0067448727786540985,2633.4990234375,0.995,0.77296,0.0,0.0,2610.513671875,0.0,0,0.0,0.0,0.0,0
26,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.0036332830786705017,2739.37109375,0.9954,0.77064,0.0,0.0006738454103469849,2799.99609375,0.9965,0.77612,0.0,0.0,2769.68359375,0.0,0,0.0,0.0,0.0,0
27,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.002018071711063385,2870.939453125,0.9965,0.76764,0.0,0.0023284628987312317,2910.716796875,0.9979,0.7724,0.0,0.0,2890.828125,0.0,0,0.0,0.0,0.0,0
28,dsgd,0.0001,16,2,5,transformer,imdb,8,10,0.002704992890357971,3008.577880859375,0.9975,0.7684,0.0,0.006703123450279236,3058.647216796875,0.998,0.7684,0.0,0.0,3033.612548828125,0.0,0,0.0,0.0,0.0,0
