epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.6718867421150208,1153.5302734375,0.6101,0.5,0.0,0.5212217569351196,1215.4566650390625,0.6187,0.5,0.0,0.0,1184.493408203125,0.0,0,0.0,0.0,0.0,0
1,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.629971981048584,1016.7511596679688,0.6364,0.60672,0.0,0.5854139924049377,1040.0980224609375,0.6481,0.6,0.0,0.0,1028.424560546875,0.0,0,0.0,0.0,0.0,0
2,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.7033529281616211,915.1992797851562,0.7204,0.68672,0.0,0.5371350646018982,930.8687133789062,0.7173,0.68668,0.0,0.0,923.0339965820312,0.0,0,0.0,0.0,0.0,0
3,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.5702594518661499,852.0281372070312,0.766,0.72524,0.0,0.9424256682395935,845.7086791992188,0.7713,0.73096,0.0,0.0,848.868408203125,0.0,0,0.0,0.0,0.0,0
4,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.5441749095916748,857.3675537109375,0.7925,0.73452,0.0,0.7202119827270508,901.9305419921875,0.8011,0.72536,0.0,0.0,879.6490478515625,0.0,0,0.0,0.0,0.0,0
5,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.2168557494878769,912.8711547851562,0.8144,0.7308,0.0,0.46308082342147827,865.2785034179688,0.8214,0.74152,0.0,0.0,889.0748291015625,0.0,0,0.0,0.0,0.0,0
6,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.24219807982444763,907.6319580078125,0.8339,0.7394,0.0,0.4974479377269745,854.8528442382812,0.8402,0.75044,0.0,0.0,881.242431640625,0.0,0,0.0,0.0,0.0,0
7,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.5257601737976074,827.1170654296875,0.8519,0.76232,0.0,0.106229767203331,826.2403564453125,0.8559,0.76676,0.0,0.0,826.6787109375,0.0,0,0.0,0.0,0.0,0
8,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.43188467621803284,915.9307250976562,0.8678,0.75268,0.0,0.2882276177406311,810.3960571289062,0.8709,0.77068,0.0,0.0,863.1633911132812,0.0,0,0.0,0.0,0.0,0
9,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.13711130619049072,832.9268798828125,0.8815,0.76836,0.0,0.3516756594181061,896.4830322265625,0.8851,0.76656,0.0,0.0,864.7049560546875,0.0,0,0.0,0.0,0.0,0
10,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.3909625709056854,904.7097778320312,0.8953,0.76716,0.0,0.12264882773160934,985.0892333984375,0.8961,0.75712,0.0,0.0,944.8995361328125,0.0,0,0.0,0.0,0.0,0
11,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.30609920620918274,968.1209106445312,0.908,0.76296,0.0,0.3200097382068634,963.765380859375,0.9085,0.76864,0.0,0.0,965.943115234375,0.0,0,0.0,0.0,0.0,0
12,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.4393679201602936,975.349853515625,0.9209,0.7662,0.0,0.19530053436756134,942.8969116210938,0.9193,0.77164,0.0,0.0,959.1234130859375,0.0,0,0.0,0.0,0.0,0
13,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.11625704914331436,1080.6973876953125,0.9291,0.7542,0.0,0.2714078426361084,978.4203491210938,0.9319,0.77408,0.0,0.0,1029.558837890625,0.0,0,0.0,0.0,0.0,0
14,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.11903078109025955,1063.7657470703125,0.9401,0.7692,0.0,0.1686166226863861,1031.3270263671875,0.9418,0.77096,0.0,0.0,1047.54638671875,0.0,0,0.0,0.0,0.0,0
15,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.09391658008098602,1054.497314453125,0.9504,0.77168,0.0,0.03258323296904564,1077.8905029296875,0.9512,0.76988,0.0,0.0,1066.19384765625,0.0,0,0.0,0.0,0.0,0
16,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.1968356817960739,1199.745849609375,0.9571,0.76196,0.0,0.025917645543813705,1088.2955322265625,0.9581,0.7734,0.0,0.0,1144.020751953125,0.0,0,0.0,0.0,0.0,0
17,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.030644655227661133,1122.99755859375,0.9643,0.77116,0.0,0.08198922127485275,1234.0484619140625,0.9646,0.76636,0.0,0.0,1178.52294921875,0.0,0,0.0,0.0,0.0,0
18,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.08421259373426437,1264.7099609375,0.9711,0.76656,0.0,0.5353228449821472,1299.1085205078125,0.9722,0.7618,0.0,0.0,1281.9091796875,0.0,0,0.0,0.0,0.0,0
19,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.02153610996901989,1301.3458251953125,0.9764,0.76936,0.0,0.021887898445129395,1325.24755859375,0.9756,0.76336,0.0,0.0,1313.296630859375,0.0,0,0.0,0.0,0.0,0
20,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.008722983300685883,1355.3529052734375,0.9789,0.76932,0.0,0.006463311612606049,1271.4910888671875,0.9799,0.76928,0.0,0.0,1313.4219970703125,0.0,0,0.0,0.0,0.0,0
21,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.012563884258270264,1522.138671875,0.9833,0.76016,0.0,0.018140845000743866,1457.454833984375,0.9837,0.76592,0.0,0.0,1489.7967529296875,0.0,0,0.0,0.0,0.0,0
22,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.03247359022498131,1389.885009765625,0.987,0.76924,0.0,0.0035526007413864136,1466.9967041015625,0.9867,0.7646,0.0,0.0,1428.44091796875,0.0,0,0.0,0.0,0.0,0
23,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.017829377204179764,1570.2703857421875,0.9887,0.76048,0.0,0.005994156002998352,1639.442626953125,0.9904,0.76176,0.0,0.0,1604.8564453125,0.0,0,0.0,0.0,0.0,0
24,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.02194819226861,1469.068359375,0.9919,0.77028,0.0,0.004813000559806824,1545.3692626953125,0.9922,0.76636,0.0,0.0,1507.21875,0.0,0,0.0,0.0,0.0,0
25,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.00964462012052536,1537.5252685546875,0.9933,0.76728,0.0,0.001893550157546997,1600.404541015625,0.9937,0.76488,0.0,0.0,1568.96484375,0.0,0,0.0,0.0,0.0,0
26,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.3965942859649658,1755.6060791015625,0.9945,0.7608,0.0,0.013249747455120087,1682.75537109375,0.9948,0.76576,0.0,0.0,1719.1806640625,0.0,0,0.0,0.0,0.0,0
27,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.001207113265991211,1676.489990234375,0.9955,0.765,0.0,0.002417340874671936,1667.2352294921875,0.9953,0.76616,0.0,0.0,1671.862548828125,0.0,0,0.0,0.0,0.0,0
28,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.003128722310066223,1700.33154296875,0.9957,0.76408,0.0,0.08605847507715225,1775.31884765625,0.9963,0.76356,0.0,0.0,1737.8251953125,0.0,0,0.0,0.0,0.0,0
29,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0006665140390396118,1710.157958984375,0.9965,0.76752,0.0,0.004754461348056793,1793.1319580078125,0.9967,0.75876,0.0,0.0,1751.64501953125,0.0,0,0.0,0.0,0.0,0
30,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.00797455757856369,1880.1925048828125,0.997,0.75912,0.0,0.004369288682937622,1805.6109619140625,0.9973,0.76276,0.0,0.0,1842.9017333984375,0.0,0,0.0,0.0,0.0,0
31,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0005900859832763672,1887.77197265625,0.9969,0.76392,0.0,0.0013596564531326294,1836.0498046875,0.9978,0.76172,0.0,0.0,1861.910888671875,0.0,0,0.0,0.0,0.0,0
32,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0007190406322479248,1867.854248046875,0.998,0.76328,0.0,0.0017930567264556885,1832.1519775390625,0.9978,0.76304,0.0,0.0,1850.003173828125,0.0,0,0.0,0.0,0.0,0
33,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0016241073608398438,1771.00634765625,0.9981,0.7692,0.0,0.000925406813621521,1825.388427734375,0.998,0.7688,0.0,0.0,1798.1973876953125,0.0,0,0.0,0.0,0.0,0
34,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0007500201463699341,1814.729248046875,0.9979,0.76556,0.0,0.0004983991384506226,2047.8857421875,0.9982,0.76368,0.0,0.0,1931.3074951171875,0.0,0,0.0,0.0,0.0,0
35,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0009361505508422852,2053.025634765625,0.9985,0.76168,0.0,0.00045934319496154785,1955.9783935546875,0.9981,0.76584,0.0,0.0,2004.501953125,0.0,0,0.0,0.0,0.0,0
36,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.004655167460441589,1937.3798828125,0.9987,0.76624,0.0,0.0010341256856918335,1960.587890625,0.9988,0.76876,0.0,0.0,1948.98388671875,0.0,0,0.0,0.0,0.0,0
37,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0018415674567222595,1898.0050048828125,0.9988,0.7694,0.0,0.0002926439046859741,2034.3961181640625,0.999,0.76716,0.0,0.0,1966.2005615234375,0.0,0,0.0,0.0,0.0,0
38,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0009794682264328003,1942.3057861328125,0.9989,0.77172,0.0,0.0008621960878372192,1998.1856689453125,0.9991,0.77348,0.0,0.0,1970.2457275390625,0.0,0,0.0,0.0,0.0,0
39,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0033878013491630554,2033.1336669921875,0.9992,0.76612,0.0,0.002336159348487854,2124.96142578125,0.9992,0.76432,0.0,0.0,2079.047607421875,0.0,0,0.0,0.0,0.0,0
40,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.00029312074184417725,2011.9752197265625,0.9991,0.76936,0.0,0.002311818301677704,2214.25927734375,0.9991,0.7558,0.0,0.0,2113.1171875,0.0,0,0.0,0.0,0.0,0
41,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.390502393245697,2075.135986328125,0.9989,0.7666,0.0,0.0002272874116897583,2052.976318359375,0.9992,0.7706,0.0,0.0,2064.05615234375,0.0,0,0.0,0.0,0.0,0
42,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.001237422227859497,1960.490234375,0.9991,0.7728,0.0,0.00046418607234954834,2032.7845458984375,0.9992,0.77148,0.0,0.0,1996.637451171875,0.0,0,0.0,0.0,0.0,0
43,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0011737197637557983,2034.9281005859375,0.9992,0.76764,0.0,0.0002989917993545532,2008.45751953125,0.9991,0.77428,0.0,0.0,2021.69287109375,0.0,0,0.0,0.0,0.0,0
44,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0013439282774925232,2024.3880615234375,0.9995,0.77404,0.0,0.0038796737790107727,2212.74267578125,0.9993,0.76252,0.0,0.0,2118.5654296875,0.0,0,0.0,0.0,0.0,0
45,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.00046403706073760986,2078.1982421875,0.9994,0.768,0.0,0.0001757293939590454,2309.441650390625,0.9998,0.77044,0.0,0.0,2193.81982421875,0.0,0,0.0,0.0,0.0,0
46,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.000377848744392395,2065.974365234375,0.9995,0.7726,0.0,5.173683166503906e-05,2362.063232421875,0.9999,0.77036,0.0,0.0,2214.018798828125,0.0,0,0.0,0.0,0.0,0
47,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.00014105439186096191,2217.968994140625,0.9995,0.76836,0.0,4.604458808898926e-05,2405.48046875,0.9999,0.77108,0.0,0.0,2311.724609375,0.0,0,0.0,0.0,0.0,0
48,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.0027238652110099792,2312.46875,0.9998,0.76476,0.0,0.00010360777378082275,2319.078857421875,0.9994,0.77216,0.0,0.0,2315.77392578125,0.0,0,0.0,0.0,0.0,0
49,noshare,0.0001,16,4,5,transformer,imdb,8,10,0.00014784932136535645,2325.070068359375,0.9996,0.77292,0.0,3.8176774978637695e-05,2443.184814453125,0.9994,0.76664,0.0,0.0,2384.12744140625,0.0,0,0.0,0.0,0.0,0
