epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.6883865594863892,268.212890625,0.51665,0.51004,0.0,0.0,268.212890625,0.0,0,0.0,0.0,0.0,0
1,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.6411696672439575,238.28182983398438,0.6284,0.6702,0.0,0.0,238.28182983398438,0.0,0,0.0,0.0,0.0,0
2,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.629725456237793,212.85250854492188,0.7197,0.72128,0.0,0.0,212.85250854492188,0.0,0,0.0,0.0,0.0,0
3,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.44970691204071045,203.24578857421875,0.76055,0.74324,0.0,0.0,203.24578857421875,0.0,0,0.0,0.0,0.0,0
4,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.5176531076431274,194.71969604492188,0.7893,0.75732,0.0,0.0,194.71969604492188,0.0,0,0.0,0.0,0.0,0
5,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.42670273780822754,189.26092529296875,0.80815,0.7704,0.0,0.0,189.26092529296875,0.0,0,0.0,0.0,0.0,0
6,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.3032827377319336,185.80709838867188,0.82035,0.77756,0.0,0.0,185.80709838867188,0.0,0,0.0,0.0,0.0,0
7,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.3299855887889862,189.01478576660156,0.83365,0.77788,0.0,0.0,189.01478576660156,0.0,0,0.0,0.0,0.0,0
8,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.2952713966369629,184.0555877685547,0.8448,0.7848,0.0,0.0,184.0555877685547,0.0,0,0.0,0.0,0.0,0
9,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.31065845489501953,183.2299041748047,0.85515,0.78712,0.0,0.0,183.2299041748047,0.0,0,0.0,0.0,0.0,0
10,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.46560028195381165,189.55108642578125,0.86505,0.78324,0.0,0.0,189.55108642578125,0.0,0,0.0,0.0,0.0,0
11,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.28374481201171875,188.15579223632812,0.8758,0.79068,0.0,0.0,188.15579223632812,0.0,0,0.0,0.0,0.0,0
12,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.15356044471263885,186.5152130126953,0.88435,0.797,0.0,0.0,186.5152130126953,0.0,0,0.0,0.0,0.0,0
13,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.28503409028053284,189.1117401123047,0.89315,0.80028,0.0,0.0,189.1117401123047,0.0,0,0.0,0.0,0.0,0
14,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.21775224804878235,194.18731689453125,0.89885,0.80044,0.0,0.0,194.18731689453125,0.0,0,0.0,0.0,0.0,0
15,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.28472617268562317,197.282470703125,0.9065,0.79792,0.0,0.0,197.282470703125,0.0,0,0.0,0.0,0.0,0
16,pooled,0.0001,64,2,5,transformer,imdb,8,10,0.36639147996902466,206.47789001464844,0.91345,0.80164,0.0,0.0,206.47789001464844,0.0,0,0.0,0.0,0.0,0
