epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_1_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)7","effective_rank_site_agg_FakeLinear(input_features=128, output_features=2, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=False)1","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=False)3","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)4","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)5","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)6","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.784,5.7344,6.0,3.9888,6.0,6.0,6.0,1.8304,5.7168,6.0,4.0176,6.0,5.9984,6.0,3.6144,11.4512,12.0,8.0064,12.0,11.9984,12.0,0.8039516806602478,1174.3482666015625,0.6132,0.5,0.0,0.7646636366844177,1180.4072265625,0.6175,0.5,0.0,0.0,1177.377685546875,0.0,0,0.0,0.0,0.0,0
1,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.7232,5.9984,6.0,5.6544,5.9984,6.0,6.0,1.8176,5.9904,6.0,5.6736,5.9952,6.0,5.9984,3.5408,11.9888,12.0,11.328,11.9936,12.0,11.9984,0.5863916277885437,909.9952392578125,0.6714,0.68776,0.0,0.44196632504463196,917.7984619140625,0.6789,0.68416,0.0,0.0,913.8968505859375,0.0,0,0.0,0.0,0.0,0
2,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8208,6.0,6.0,5.8688,6.0,6.0,5.9984,1.7808,6.0,6.0,5.856,6.0,6.0,5.9952,3.6016,12.0,12.0,11.7248,12.0,12.0,11.9936,0.5427272915840149,974.5279541015625,0.7493,0.67696,0.0,0.47831299901008606,943.41162109375,0.7558,0.6912,0.0,0.0,958.9697875976562,0.0,0,0.0,0.0,0.0,0
3,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8224,6.0,6.0,5.8144,6.0,6.0,5.9984,1.8656,6.0,6.0,5.8384,6.0,5.9984,6.0,3.688,12.0,12.0,11.6528,12.0,11.9984,11.9984,0.2963823676109314,855.64501953125,0.7771,0.72768,0.0,0.3585652709007263,889.4606323242188,0.7859,0.71952,0.0,0.0,872.5528564453125,0.0,0,0.0,0.0,0.0,0
4,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8688,6.0,6.0,5.8016,6.0,6.0,6.0,1.8368,5.9984,6.0,5.792,6.0,6.0,6.0,3.7056,11.9984,12.0,11.5936,12.0,12.0,12.0,0.3690747618675232,833.712158203125,0.799,0.74224,0.0,0.8085736632347107,853.8159790039062,0.8137,0.7394,0.0,0.0,843.7640380859375,0.0,0,0.0,0.0,0.0,0
5,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8112,6.0,6.0,5.792,6.0,5.9984,6.0,1.8032,5.9936,6.0,5.7584,6.0,6.0,6.0,3.6144,11.9936,12.0,11.5504,12.0,11.9984,12.0,0.1749117225408554,905.2161254882812,0.8172,0.72348,0.0,0.25577858090400696,959.56787109375,0.8321,0.71512,0.0,0.0,932.3919677734375,0.0,0,0.0,0.0,0.0,0
6,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8464,6.0,6.0,5.7648,6.0,6.0,6.0,1.8736,6.0,6.0,5.7632,6.0,6.0,6.0,3.72,12.0,12.0,11.528,12.0,12.0,12.0,0.25278598070144653,824.1910400390625,0.836,0.7556,0.0,0.31959688663482666,809.5061645507812,0.8461,0.76184,0.0,0.0,816.8486328125,0.0,0,0.0,0.0,0.0,0
7,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8112,6.0,6.0,5.768,6.0,5.9968,6.0,1.7776,6.0,6.0,5.7456,6.0,6.0,6.0,3.5888,12.0,12.0,11.5136,12.0,11.9968,12.0,0.21094118058681488,780.763427734375,0.8498,0.77212,0.0,0.3438320755958557,796.3631591796875,0.8572,0.77184,0.0,0.0,788.5632934570312,0.0,0,0.0,0.0,0.0,0
8,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8528,6.0,6.0,5.7888,6.0,5.9968,6.0,1.7792,6.0,6.0,5.7024,6.0,5.9984,6.0,3.632,12.0,12.0,11.4912,12.0,11.9952,12.0,0.379913866519928,811.28369140625,0.8624,0.76792,0.0,0.302873432636261,797.7124633789062,0.869,0.77444,0.0,0.0,804.498046875,0.0,0,0.0,0.0,0.0,0
9,rankdad,0.0001,16,3,5,transformer,imdb,8,10,1.8112,6.0,6.0,5.68,6.0,5.9952,6.0,1.8064,6.0,6.0,5.7216,6.0,6.0,6.0,3.6176,12.0,12.0,11.4016,12.0,11.9952,12.0,0.5709469318389893,858.5052490234375,0.876,0.76556,0.0,0.2566254138946533,870.394775390625,0.883,0.76852,0.0,0.0,864.4500122070312,0.0,0,0.0,0.0,0.0,0
